panel,condition,method,rate,wilson95_low,wilson95_high,p05,median,p95,trial,first_1cm_slot,stopped
exact_first_1cm_slot,exact,main,,,,,,,20,79,True
exact_first_1cm_slot,exact,main,,,,,,,21,114,True
exact_first_1cm_slot,exact,main,,,,,,,22,64,True
exact_first_1cm_slot,exact,main,,,,,,,23,120,True
exact_first_1cm_slot,exact,main,,,,,,,24,86,True
exact_first_1cm_slot,exact,main,,,,,,,25,103,True
exact_first_1cm_slot,exact,main,,,,,,,26,82,True
exact_first_1cm_slot,exact,main,,,,,,,27,92,True
exact_first_1cm_slot,exact,main,,,,,,,28,86,True
exact_first_1cm_slot,exact,main,,,,,,,29,80,True
exact_first_1cm_slot,exact,main,,,,,,,30,76,True
exact_first_1cm_slot,exact,main,,,,,,,31,103,True
exact_first_1cm_slot,exact,main,,,,,,,32,107,True
exact_first_1cm_slot,exact,main,,,,,,,33,120,True
exact_first_1cm_slot,exact,main,,,,,,,34,86,True
exact_first_1cm_slot,exact,main,,,,,,,35,76,True
exact_first_1cm_slot,exact,main,,,,,,,36,75,True
exact_first_1cm_slot,exact,main,,,,,,,37,120,True
exact_first_1cm_slot,exact,main,,,,,,,38,104,True
exact_first_1cm_slot,exact,main,,,,,,,39,110,True
exact_first_1cm_slot,exact,main,,,,,,,40,114,True
exact_first_1cm_slot,exact,main,,,,,,,41,79,True
exact_first_1cm_slot,exact,main,,,,,,,42,114,True
exact_first_1cm_slot,exact,main,,,,,,,43,76,True
exact_first_1cm_slot,exact,main,,,,,,,44,114,True
exact_first_1cm_slot,exact,main,,,,,,,45,103,True
exact_first_1cm_slot,exact,main,,,,,,,46,120,True
exact_first_1cm_slot,exact,main,,,,,,,47,104,True
exact_first_1cm_slot,exact,main,,,,,,,48,75,True
exact_first_1cm_slot,exact,main,,,,,,,49,120,True
exact_first_1cm_slot,exact,main,,,,,,,50,120,True
exact_first_1cm_slot,exact,main,,,,,,,51,86,True
exact_first_1cm_slot,exact,main,,,,,,,52,86,True
exact_first_1cm_slot,exact,main,,,,,,,53,98,True
exact_first_1cm_slot,exact,main,,,,,,,54,103,True
exact_first_1cm_slot,exact,main,,,,,,,55,86,True
exact_first_1cm_slot,exact,main,,,,,,,56,79,True
exact_first_1cm_slot,exact,main,,,,,,,57,92,True
exact_first_1cm_slot,exact,main,,,,,,,58,86,True
exact_first_1cm_slot,exact,main,,,,,,,59,103,True
exact_first_1cm_slot,exact,main,,,,,,,60,120,True
exact_first_1cm_slot,exact,main,,,,,,,61,86,True
exact_first_1cm_slot,exact,main,,,,,,,62,120,True
exact_first_1cm_slot,exact,main,,,,,,,63,104,True
exact_first_1cm_slot,exact,main,,,,,,,64,120,True
exact_first_1cm_slot,exact,main,,,,,,,65,103,True
exact_first_1cm_slot,exact,main,,,,,,,66,86,True
exact_first_1cm_slot,exact,main,,,,,,,67,110,True
exact_first_1cm_slot,exact,main,,,,,,,68,104,True
exact_first_1cm_slot,exact,main,,,,,,,69,114,True
exact_first_1cm_slot,exact,main,,,,,,,70,107,True
exact_first_1cm_slot,exact,main,,,,,,,71,107,True
exact_first_1cm_slot,exact,main,,,,,,,72,104,True
exact_first_1cm_slot,exact,main,,,,,,,73,86,True
exact_first_1cm_slot,exact,main,,,,,,,74,92,True
exact_first_1cm_slot,exact,main,,,,,,,75,98,True
exact_first_1cm_slot,exact,main,,,,,,,76,92,True
exact_first_1cm_slot,exact,main,,,,,,,77,103,True
exact_first_1cm_slot,exact,main,,,,,,,78,86,True
exact_first_1cm_slot,exact,main,,,,,,,79,114,True
exact_first_1cm_slot,exact,main,,,,,,,80,108,True
exact_first_1cm_slot,exact,main,,,,,,,81,86,True
exact_first_1cm_slot,exact,main,,,,,,,82,82,True
exact_first_1cm_slot,exact,main,,,,,,,83,82,True
exact_first_1cm_slot,exact,main,,,,,,,84,82,True
exact_first_1cm_slot,exact,main,,,,,,,85,107,True
exact_first_1cm_slot,exact,main,,,,,,,86,93,True
exact_first_1cm_slot,exact,main,,,,,,,87,120,True
exact_first_1cm_slot,exact,main,,,,,,,88,98,True
exact_first_1cm_slot,exact,main,,,,,,,89,86,True
exact_first_1cm_slot,exact,main,,,,,,,90,114,True
exact_first_1cm_slot,exact,main,,,,,,,91,86,True
exact_first_1cm_slot,exact,main,,,,,,,92,79,True
exact_first_1cm_slot,exact,main,,,,,,,93,120,True
exact_first_1cm_slot,exact,main,,,,,,,94,107,True
exact_first_1cm_slot,exact,main,,,,,,,95,99,True
exact_first_1cm_slot,exact,main,,,,,,,96,114,True
exact_first_1cm_slot,exact,main,,,,,,,97,98,True
exact_first_1cm_slot,exact,main,,,,,,,98,75,True
exact_first_1cm_slot,exact,main,,,,,,,99,93,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,0,26,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,1,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,2,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,3,34,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,4,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,5,27,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,6,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,7,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,8,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,9,30,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,10,27,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,11,34,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,12,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,13,30,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,14,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,15,33,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,16,35,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,17,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,18,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,19,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,20,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,21,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,22,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,23,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,24,41,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,25,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,26,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,27,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,28,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,29,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,30,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,31,26,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,32,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,33,37,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,34,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,35,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,36,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,37,37,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,38,37,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,39,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,40,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,41,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,42,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,43,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,44,32,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,45,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,46,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,47,39,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,48,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,49,38,True
