gain,condition,trial,terminal_max_error_m
0.5,bearing_0.001deg,44,0.008163910841785062
0.5,bearing_0.001deg,45,0.004564829759171516
0.5,bearing_0.001deg,46,0.010007356389469167
0.5,bearing_0.001deg,47,0.0041415919335641965
0.5,bearing_0.001deg,48,0.006472006408787642
0.5,bearing_0.001deg,49,0.007377700768776792
0.5,bearing_0.001deg,50,0.004285964565537675
0.5,bearing_0.001deg,51,0.007621964053785711
0.5,bearing_0.001deg,52,0.007244382467437197
0.5,bearing_0.001deg,53,0.00850326948888537
0.5,bearing_0.001deg,54,0.0070377141752135
0.5,bearing_0.001deg,55,0.006229527156737692
0.5,bearing_0.001deg,56,0.009106667721990746
0.5,bearing_0.001deg,57,0.004689585350669506
0.5,bearing_0.001deg,58,0.005647465434732649
0.5,bearing_0.001deg,59,0.006509807679202399
0.5,bearing_0.001deg,60,0.008393340681981987
0.5,bearing_0.001deg,61,0.007312793789940644
0.5,bearing_0.001deg,62,0.006755477492024292
0.5,bearing_0.001deg,63,0.005357150255287326
0.5,bearing_0.001deg,64,0.00476500734234982
0.5,bearing_0.001deg,65,0.005752114771199018
0.5,bearing_0.001deg,66,0.0062602066043155324
0.5,bearing_0.001deg,67,0.006367059833745031
0.5,bearing_0.001deg,68,0.005882697482310789
0.5,bearing_0.001deg,69,0.005864426468273907
0.5,bearing_0.001deg,70,0.0036420200046325926
0.5,bearing_0.001deg,71,0.004949709895667354
0.5,bearing_0.001deg,72,0.006582855437705582
0.5,bearing_0.001deg,73,0.005958613993951863
0.5,bearing_0.001deg,74,0.006675345474922271
0.5,bearing_0.001deg,75,0.0038117310055451586
0.5,bearing_0.001deg,76,0.003921895848805627
0.5,bearing_0.001deg,77,0.004298019029742651
0.5,bearing_0.001deg,78,0.004710378047191589
0.5,bearing_0.001deg,79,0.004871046022615672
0.5,bearing_0.001deg,80,0.005984098029170457
0.5,bearing_0.001deg,81,0.004420735017438505
0.5,bearing_0.001deg,82,0.0035482826193545544
0.5,bearing_0.001deg,83,0.007116599701859399
0.5,bearing_0.001deg,84,0.004646427096213076
0.5,bearing_0.001deg,85,0.006824688994351719
0.5,bearing_0.001deg,86,0.006677221354136804
0.5,bearing_0.001deg,87,0.006103489700440451
0.5,bearing_0.001deg,88,0.005497075324724014
0.5,bearing_0.001deg,89,0.005409591082849333
0.5,bearing_0.001deg,90,0.004087472209984375
0.5,bearing_0.001deg,91,0.006299604958323938
0.5,bearing_0.001deg,92,0.004805508914440078
0.5,bearing_0.001deg,93,0.005423970485788182
0.5,bearing_0.001deg,94,0.004833513952717877
0.5,bearing_0.001deg,95,0.009700773266928128
0.5,bearing_0.001deg,96,0.007407260994688853
0.5,bearing_0.001deg,97,0.008194843633463088
0.5,bearing_0.001deg,98,0.008678156662764069
0.5,bearing_0.001deg,99,0.008125048406991593
0.5,bearing_0.01deg,0,0.07779352971408268
0.5,bearing_0.01deg,1,0.05389648115934407
0.5,bearing_0.01deg,2,0.0826399598311316
0.5,bearing_0.01deg,3,0.0737656024615808
0.5,bearing_0.01deg,4,0.0597249081890953
0.5,bearing_0.01deg,5,0.04301322720592648
0.5,bearing_0.01deg,6,0.07955138642871827
0.5,bearing_0.01deg,7,0.06723185701914859
0.5,bearing_0.01deg,8,0.0631705379008751
0.5,bearing_0.01deg,9,0.07690653888678986
0.5,bearing_0.01deg,10,0.06426903750635769
0.5,bearing_0.01deg,11,0.05375545888003823
0.5,bearing_0.01deg,12,0.055582273662965996
0.5,bearing_0.01deg,13,0.05369235615046261
0.5,bearing_0.01deg,14,0.046012614623743904
0.5,bearing_0.01deg,15,0.04882724004453258
0.5,bearing_0.01deg,16,0.057726474461141486
0.5,bearing_0.01deg,17,0.0905377198988737
0.5,bearing_0.01deg,18,0.05587132632576623
0.5,bearing_0.01deg,19,0.05832753352874726
0.5,bearing_0.01deg,20,0.05487213974023725
0.5,bearing_0.01deg,21,0.059768319425856524
0.5,bearing_0.01deg,22,0.046781955777761196
0.5,bearing_0.01deg,23,0.08638315205129854
0.5,bearing_0.01deg,24,0.09023020931459504
0.5,bearing_0.01deg,25,0.07065566788467371
0.5,bearing_0.01deg,26,0.050427577397424726
0.5,bearing_0.01deg,27,0.09123035249648075
0.5,bearing_0.01deg,28,0.07598071952628306
0.5,bearing_0.01deg,29,0.07408652175712022
0.5,bearing_0.01deg,30,0.05551580285939343
0.5,bearing_0.01deg,31,0.07069813015152566
0.5,bearing_0.01deg,32,0.08694241323277827
0.5,bearing_0.01deg,33,0.0705882291595191
0.5,bearing_0.01deg,34,0.05262861287423836
0.5,bearing_0.01deg,35,0.044692870168936236
0.5,bearing_0.01deg,36,0.061069284358264427
0.5,bearing_0.01deg,37,0.07815765101856413
0.5,bearing_0.01deg,38,0.09187029820671995
0.5,bearing_0.01deg,39,0.057260335219228964
0.5,bearing_0.01deg,40,0.06749863793155446
0.5,bearing_0.01deg,41,0.08122978474702815
0.5,bearing_0.01deg,42,0.061557151822293
0.5,bearing_0.01deg,43,0.053613529881355336
0.5,bearing_0.01deg,44,0.08032770984960745
0.5,bearing_0.01deg,45,0.055422163445085146
0.5,bearing_0.01deg,46,0.1003607787495165
0.5,bearing_0.01deg,47,0.041162923429698
0.5,bearing_0.01deg,48,0.06518358717133907
0.5,bearing_0.01deg,49,0.07623408182865808
0.5,bearing_0.01deg,50,0.0330477186737015
0.5,bearing_0.01deg,51,0.07245018740325922
0.5,bearing_0.01deg,52,0.07157831459127145
0.5,bearing_0.01deg,53,0.08117234786864772
0.5,bearing_0.01deg,54,0.07171842479458221
0.5,bearing_0.01deg,55,0.05888624600426471
0.5,bearing_0.01deg,56,0.09255199928479091
0.5,bearing_0.01deg,57,0.04689007200204773
0.5,bearing_0.01deg,58,0.05666543103461485
0.5,bearing_0.01deg,59,0.05913963839121949
0.5,bearing_0.01deg,60,0.08710868156483188
0.5,bearing_0.01deg,61,0.08588665561683147
0.5,bearing_0.01deg,62,0.06594979011211628
0.5,bearing_0.01deg,63,0.05026930651442128
0.5,bearing_0.01deg,64,0.04477439017469838
0.5,bearing_0.01deg,65,0.06444358758096345
0.5,bearing_0.01deg,66,0.06316922470384626
0.5,bearing_0.01deg,67,0.051294624882038786
0.5,bearing_0.01deg,68,0.059684585023266665
0.5,bearing_0.01deg,69,0.060251905037537266
0.5,bearing_0.01deg,70,0.036425621754800463
0.5,bearing_0.01deg,71,0.035760750860956196
0.5,bearing_0.01deg,72,0.0678315086524171
0.5,bearing_0.01deg,73,0.05127689075814412
0.5,bearing_0.01deg,74,0.05965819371002378
0.5,bearing_0.01deg,75,0.06364016362228066
0.5,bearing_0.01deg,76,0.04064277547049095
0.5,bearing_0.01deg,77,0.052255335802076475
0.5,bearing_0.01deg,78,0.048149074664368734
0.5,bearing_0.01deg,79,0.04591603729322568
0.5,bearing_0.01deg,80,0.07389060504956595
0.5,bearing_0.01deg,81,0.04622761495630844
0.5,bearing_0.01deg,82,0.03549156690559132
0.5,bearing_0.01deg,83,0.07392760140809586
0.5,bearing_0.01deg,84,0.05142303085708065
0.5,bearing_0.01deg,85,0.06816138531925507
0.5,bearing_0.01deg,86,0.06480031909040397
0.5,bearing_0.01deg,87,0.06104537279544538
0.5,bearing_0.01deg,88,0.05532710149509369
0.5,bearing_0.01deg,89,0.06547005560813418
0.5,bearing_0.01deg,90,0.062485025707856794
0.5,bearing_0.01deg,91,0.06297158697088273
0.5,bearing_0.01deg,92,0.04804934931219749
0.5,bearing_0.01deg,93,0.05388976070841066
0.5,bearing_0.01deg,94,0.05664049872454002
0.5,bearing_0.01deg,95,0.09635347165414343
0.5,bearing_0.01deg,96,0.07393661285362171
0.5,bearing_0.01deg,97,0.08226980869634012
0.5,bearing_0.01deg,98,0.09077156936962254
0.5,bearing_0.01deg,99,0.08184994367607991
0.5,bearing_0.1deg,0,0.7754832147870829
0.5,bearing_0.1deg,1,0.5380152354658722
0.5,bearing_0.1deg,2,0.8259595557027763
0.5,bearing_0.1deg,3,0.7282305398139088
0.5,bearing_0.1deg,4,0.5978510506367085
0.5,bearing_0.1deg,5,0.4292630958266057
0.5,bearing_0.1deg,6,0.796872027124502
0.5,bearing_0.1deg,7,0.6731419690865541
0.5,bearing_0.1deg,8,0.6313236926405655
0.5,bearing_0.1deg,9,0.7703877905948606
0.5,bearing_0.1deg,10,0.6415480631688508
