stage,rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure,estimated_position_error_d,receiver_id,measurement_slot,angle_error_to_target_rad,estimated_x,estimated_y,estimator_success,estimator_residual_rad,delta_x,delta_y
bootstrap,0.1,11,0.5,1,1.0360379629237373,1.0895891597267546,1.0471975511965976,1.0471975511965976,0.042391608530157,2,2,4,2.125944143531268,3.589140344413903,-0.06297207176563391,-0.06251936463807439,True,observe_and_move,,0.17747284611685984,,,,,,,,,
bootstrap,0.1,11,0.5,2,1.0415006370834607,1.0685222835793111,1.0471975511965976,1.0471975511965976,0.021324732382713485,2,2,4,2.0629720717656332,3.5266209797758274,-0.03148603588281662,-0.03125968231903653,True,observe_and_move,,0.08873642305842852,,,,,,,,,
bootstrap,0.1,11,0.5,3,1.0443189048806738,1.0578912431193594,1.0471975511965976,1.0471975511965976,0.010693691922761817,2,2,4,2.0314860358828173,3.4953612974567916,-0.015743017941408644,-0.015629841159518598,True,observe_and_move,,0.044368211529215204,,,,,,,,,
bootstrap,0.1,11,0.5,4,1.0457505630344146,1.0525521109626848,1.0471975511965976,1.0471975511965976,0.005354559766087119,2,2,4,2.015743017941408,3.479731456297273,-0.007871508970703989,-0.007814920579759299,True,observe_and_move,,0.022184105764607127,,,,,,,,,
bootstrap,0.1,11,0.5,5,1.0464721258920069,1.0498767445581172,1.0471975511965976,1.0471975511965976,0.0026791933615195607,2,2,4,2.0078715089707044,3.471916535717514,-0.003935754485352216,-0.003907460289879872,True,observe_and_move,,0.011092052882304191,,,,,,,,,
bootstrap,0.1,11,0.5,6,1.0468343538502407,1.0485376243586426,1.0471975511965976,1.0471975511965976,0.0013400731620449857,2,2,4,2.003935754485352,3.4680090754276347,-0.001967877242676108,-0.001953730144940158,True,observe_and_move,,0.005546026441152409,,,,,,,,,
bootstrap,0.1,11,0.5,7,1.0470158311128315,1.0478677066608555,1.0471975511965976,1.0471975511965976,0.00067015546425786,2,2,4,2.0019678772426754,3.4660553452826948,0.0,0.0,False,stop_estimated_position_threshold,,0.0027730132205758882,,,,,,,,,
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.16496422815023454,2,1,0.17549350185292867,1.660823460160996,2.6348050995892427,True,1.3322676295501878e-15,-0.08041173008049796,-0.01836444411796334
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.09445999596717151,3,1,0.11721849001228302,2.592430939924534,2.6175495824735213,True,0.0,-0.046215469962267,-0.009736685560102654
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.12641669350126908,4,1,0.06592171039615757,1.1099953146333525,1.7943582000235738,True,2.220446049250313e-16,-0.054997657316676274,-0.031153696227348315
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.13052835478386596,5,1,0.11105468510535577,2.1233194841264926,1.6892728198022873,True,8.881784197001252e-16,-0.061659742063246314,0.02138899388329496
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.17219311516599584,6,1,0.15947014228128475,3.1705214420429217,1.7559862773610577,True,4.440892098500626e-16,-0.08526072102146087,-0.011967734896090265
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.11350851270206215,7,1,0.06512425116108567,0.5954771956265497,0.927411783146018,True,2.220446049250313e-16,-0.04773859781327483,-0.030693189680789823
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.08913454319537006,8,1,0.05319550069472001,1.5514984513115626,0.9387775604752053,True,6.616929226765933e-14,-0.025749225655781305,-0.03637607834538348
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.1175657206840109,9,1,0.09076138208556017,2.615627805116386,0.8872835637216941,True,0.0,-0.057813902558192964,-0.010629079968627886
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.09003959427079847,10,1,0.11941041238824823,3.576066881511507,0.9142017265329045,True,1.1746159600534156e-13,-0.038033440755753434,-0.024088161374233086
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.07071624992685946,12,1,0.026470676625482525,1.0676127568220581,0.02071963123801387,True,0.0,-0.03380637841102907,-0.010359815619006936
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.037817240314922965,13,1,0.012327165730158907,1.9622989250370295,-0.0029618594958429265,True,0.0,0.01885053748148524,0.0014809297479214632
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.05666119006059228,14,1,0.05683130548017745,3.038548434438415,-0.04152720387203765,True,0.0,-0.019274217219207523,0.020763601936018825
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.08261118902854958,2,2,0.08395596486407109,1.5805470546721239,2.6164277926572974,True,4.440892098500626e-16,-0.04027352733606193,-0.0091757906519907
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.047359613992506315,3,2,0.059346443324164166,2.546371937110608,2.607697878887014,True,0.0,-0.02318596855530397,-0.004810833766849099
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.06323231975748853,4,2,0.03236546549068886,1.0550306119663286,1.763194956433867,True,4.440892098500626e-16,-0.027515305983164318,-0.015572074432494865
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.06531997708708225,5,2,0.05630233857829037,2.061702873891715,1.710615911717484,True,7.105427357601002e-15,-0.030851436945857458,0.010717447925696622
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.08619594732845651,6,2,0.07978059516360503,3.0854000643263153,1.7437371392820906,True,6.8833827526759706e-15,-0.04270003216315765,-0.0058431658566067135
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.056762569231106265,7,2,0.033589683694907,0.5477590814369645,0.8967020953598597,True,4.440892098500626e-16,-0.02387954071848225,-0.01533834578771065
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.044566445691902545,8,2,0.026754799681185215,1.5257560870291407,0.9023956122325162,True,4.440892098500626e-16,-0.012878043514570336,-0.018185104224038906
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.058799445089467585,9,2,0.04478036253076212,2.5578403473554627,0.8766022161884063,True,3.552713678800501e-15,-0.028920173677731364,-0.005288406201983953
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.044922041389113064,10,2,0.05975869339823259,3.538051535556911,0.889901551805556,True,0.0,-0.01902576777845555,-0.011938074010558797
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.035363305777996276,12,2,0.013523984117662202,1.0338092851279796,0.010368010160249597,True,1.021405182655144e-14,-0.016904642563989825,-0.0051840050801247985
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.018916716750018853,13,2,0.006175231525137104,1.981141347290106,-0.0014810099824286269,True,0.0,0.009429326354946976,0.0007405049912143134
main_budget,,,,2,,,,,,,,3,,,,,True,observe_and_move,,0.02834817644541703,14,2,0.027990428507822518,3.019344844791625,-0.020721874620034733,True,1.7319479184152442e-14,-0.009672422395812452,0.010360937310017367
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.04136893741710283,2,3,0.04123800341098427,1.5403391863247307,2.6072489442982367,True,4.440892098500626e-16,-0.02016959316236533,-0.004586366472460357
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.02374147348377767,3,3,0.029876971155045506,2.523259931687341,2.6028336414454087,True,8.881784197001252e-16,-0.011629965843670487,-0.0023787150460463646
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.031627880001008975,4,3,0.016061704868138627,1.0275313378485407,1.7476183452556064,True,0.0,-0.013765668924270336,-0.007783768843364625
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.0326878533671564,5,3,0.028354586792144865,2.0308732936507274,1.7213113710422865,True,0.0,-0.01543664682536372,0.005369718263295353
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.043144721756014165,6,3,0.039891533866342144,3.0427640321915517,1.7377695981861156,True,0.0,-0.021382016095775835,-0.002859395308619228
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.028385221424186625,7,3,0.01708167844873243,0.5238898871726627,0.8813549206123605,True,7.105427357601002e-15,-0.011944943586331358,-0.007664758413961081
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.022282813477381376,8,3,0.01341681777838133,1.512881165055368,0.8842077953566199,True,0.0,-0.00644058252768398,-0.009091195786090744
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.02940828856665563,9,3,0.022240827004050168,2.5289333845111237,0.8712891189316662,True,2.220446049250313e-16,-0.014466692255561853,-0.002631857573613894
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.022416169504075715,10,3,0.029853518159502546,3.5190339203984293,0.8778657808688775,True,2.220446049250313e-16,-0.009516960199214664,-0.00592018854221954
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.017684135499687986,12,3,0.006841450202641486,1.016905871437403,0.00518846406109975,True,4.440892098500626e-16,-0.008452935718701537,-0.002594232030549875
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.009462404059083603,13,3,0.0030911185134609998,1.9905666170645497,-0.0007405247939925018,True,3.530509218307998e-14,0.0047166914677251315,0.0003702623969962509
main_budget,,,,3,,,,,,,,3,,,,,True,observe_and_move,,0.01418292009240539,14,3,0.013878950550610725,3.0097057640350555,-0.010341826088432319,True,0.0,-0.00485288201752776,0.0051709130442161595
main_budget,,,,4,,,,,,,,3,,,,,True,observe_and_move,,0.020715937144527963,2,4,0.020462232114570433,1.5202020204388058,2.6026618870904463,True,1.3322676295501878e-15,-0.010101010219402906,-0.0022928378685651563
main_budget,,,,4,,,,,,,,3,,,,,True,observe_and_move,,0.011900902858443927,3,4,0.015000966307989305,2.5116659840944835,2.6004291465316363,True,4.440892098500626e-16,-0.005832992047241747,-0.001176467589160124
main_budget,,,,4,,,,,,,,3,,,,,True,observe_and_move,,0.01581973912194837,4,4,0.00803782394837027,1.0137735816008768,1.739832362411612,True,2.220446049250313e-16,-0.006886790800438414,-0.003890777421367453
main_budget,,,,4,,,,,,,,3,,,,,True,observe_and_move,,0.016357859063271907,5,4,0.014233915973237643,2.015447653730273,1.726670329210641,True,0.0,-0.007723826865136507,0.002690239179118148
main_budget,,,,4,,,,,,,,3,,,,,True,observe_and_move,,0.021595160071410185,6,4,0.019944058183969382,3.0214127706946448,1.7348515556275914,True,0.0,-0.010706385347322378,-0.0014003740293571099
