slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,10.534553664385344,5.082568299410878,10.525109375357601,0.2701362024916543,0.44561489096943774
1,0-1-4-5,4,4,4,14.488704306771067,14.488704306771067,6.314042601668433,3.899561046563332,6.299803441521078,0.841189024929282,0.825655512400516
2,0-1-7-8,4,8,8,10.66297469383854,25.151679000609608,4.820175389600868,3.198988301351151,4.701802832604031,1.4658519225195459,1.4658519225195619
3,0-1-4-5,4,12,12,5.1486629505318975,30.300341951141505,4.702177146788993,2.8287411318612716,4.701802832604031,0.9259761487271237,0.9259761487271376
4,0-1-7-8,4,16,16,4.6431282987193585,34.943470249860866,4.184244472399198,2.671784940333267,3.8634898550921264,1.4767918710610732,1.4767918710610672
5,0-1-4-5,4,20,20,4.523173772816861,39.46664402267773,3.5350769503629196,2.2207852059266937,3.491616291598149,0.8285524075382357,0.8285524075382114
6,0-1-7-8,4,24,24,3.1570691151966273,42.623713137874354,3.393373802950422,2.1272318208029435,3.110046219706774,1.2112036117645533,1.211203611764546
7,0-1-4-5,4,28,28,4.101527569607958,46.725240707482314,2.7736341630888157,1.6914148896562708,2.7291935365688005,0.6751466951103284,0.6500706831538849
8,0-1-7-8,4,32,32,2.479585483991231,49.20482619147354,2.6128040003296946,1.615945898073041,2.389472892569131,0.9113358114599088,0.9113358114599208
9,0-1-4-5,4,36,36,3.322182929138,52.527009120611545,2.0718530664453305,1.2521327397372635,2.039537670710132,0.5245020551389694,0.47862778801150796
10,0-1-7-8,4,40,40,1.8700689594523277,54.39707808006387,1.9548555242102819,1.1963296268767667,1.766924480184656,0.6660540951934205,0.6660540951934095
11,0-1-4-5,4,44,44,2.547602021244017,56.94468010130789,1.5115079966993628,0.9135166181643428,1.4885124020381255,0.3955912658537334,0.34079989351217677
12,0-1-7-8,4,48,48,1.3437351623188707,58.28841526362676,1.4423568102833155,0.8733334757009401,1.285915972850617,0.4728041025893914,0.47280410258936456
13,0-1-4-5,4,52,52,1.8725858219508615,60.161001085577624,1.0939043095053251,0.6628217547249987,1.0766715207961255,0.29167532417074815,0.24541371912635412
14,0-1-7-8,4,56,56,0.9674559110943806,61.12845699667201,1.049226524444653,0.6354013067610117,0.9329717139926288,0.33936826617377563,0.33936826617376425
15,0-1-4-5,4,60,60,1.3787541195687603,62.50721111624077,0.7924110788783382,0.480090233115856,0.7791524576738738,0.213641302950487,0.17605961434711048
16,0-1-7-8,4,64,64,0.6989969453443504,63.206208061585116,0.7604294902823648,0.4598312269734672,0.6733477556123404,0.24357147290510697,0.24357147290511705
17,0-1-4-5,4,68,68,1.0097754010305853,64.2159834626157,0.5671703324831376,0.3445405272380956,0.5581525308690516,0.15479147357215337,0.12319792288177212
18,0-1-7-8,4,72,72,0.4898829004074352,64.70586636302313,0.5442489375986587,0.32908981221557176,0.4784933252884258,0.1732510363791789,0.1732510363791775
