receiver_id,start_id,initial_x,initial_y,actual_x,actual_y,candidate_x,candidate_y,accepted,position_error_d,full_residual_rad,message
2,0,1.5,2.598076211353316,1.53,2.578076211353316,1.53,2.5780762113533164,True,4.440892098500626e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,1,1.7,2.798076211353316,1.53,2.578076211353316,1.5300000000000005,2.578076211353317,True,9.930136612989092e-16,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,2,1.3,2.398076211353316,1.53,2.578076211353316,1.5300000000000564,2.5780762113533493,True,6.549977124421484e-14,5.1958437552457326e-14,`gtol` termination condition is satisfied.
2,3,1.5,-2.598076211353316,1.53,2.578076211353316,1.5300000000000025,2.5780762113533178,True,3.0201331455116262e-15,1.9984014443252818e-15,`gtol` termination condition is satisfied.
2,4,2.0,5.0,1.53,2.578076211353316,2.000000000053138,3.464101615148776,False,1.0029661092085103,2.2510222482753903,solver converged but complete-triangle residual 2.251e+00 exceeds 1.000e-08
3,0,2.5,2.598076211353316,2.53,2.578076211353316,2.5299999999999647,2.5780762113533378,True,4.1283580098266624e-14,2.9531932455029164e-14,`gtol` termination condition is satisfied.
3,1,2.7,2.798076211353316,2.53,2.578076211353316,2.529999999999947,2.5780762113533493,True,6.24667949207876e-14,4.418687638008123e-14,`gtol` termination condition is satisfied.
3,2,2.3,2.398076211353316,2.53,2.578076211353316,2.5299999999999994,2.578076211353316,True,4.440892098500626e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
3,3,2.5,-2.598076211353316,2.53,2.578076211353316,2.5299999999999994,2.578076211353316,True,4.440892098500626e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
3,4,2.0,5.0,2.53,2.578076211353316,1.9999999998845261,3.4641016151694477,False,1.0324441952618755,2.3413980440991815,solver converged but complete-triangle residual 2.341e+00 exceeds 1.000e-08
4,0,1.0,1.7320508075688772,1.03,1.7120508075688772,1.0300000000000002,1.7120508075688774,True,3.1401849173675503e-16,0.0,`gtol` termination condition is satisfied.
4,1,1.2,1.9320508075688771,1.03,1.7120508075688772,1.0300000000000005,1.7120508075688772,True,4.440892098500626e-16,2.220446049250313e-16,`gtol` termination condition is satisfied.
4,2,0.8,1.5320508075688772,1.03,1.7120508075688772,1.0300000000000002,1.7120508075688772,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
4,3,1.0,-1.7320508075688772,1.03,1.7120508075688772,1.0300000000000002,1.712050807568877,True,3.1401849173675503e-16,2.220446049250313e-16,`gtol` termination condition is satisfied.
4,4,2.0,5.0,1.03,1.7120508075688772,1.0300000000000005,1.7120508075688774,True,4.965068306494546e-16,2.220446049250313e-16,`gtol` termination condition is satisfied.
5,0,2.0,1.7320508075688772,2.03,1.7120508075688772,2.03,1.7120508075688774,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
5,1,2.2,1.9320508075688771,2.03,1.7120508075688772,2.03,1.7120508075688774,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
5,2,1.8,1.5320508075688772,2.03,1.7120508075688772,2.0299999999999994,1.7120508075688774,True,4.965068306494546e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
