amplitude_d,direction_deg,delta_c_x,delta_c_y,receiver_id,candidate_bias_x,candidate_bias_y,candidate_bias_norm_d,linear_prediction_x,linear_prediction_y,linear_error_d,accepted,full_residual_rad,message
1e-05,0,1e-05,0.0,14,-1.0000000000509601e-05,-4.1713487717525928e-22,1.0000000000509601e-05,-1e-05,0.0,5.096004320567754e-16,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,2,-2.614991000848832e-06,-6.47044263502039e-07,2.6938530422892917e-06,-2.6150117938234882e-06,-6.470476127563019e-07,2.1060989985614566e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,3,-9.759269417486394e-06,2.41476791540407e-06,1.0053578648836948e-05,-9.759356876941094e-06,2.414814565722671e-06,9.91231983043521e-11,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,4,-2.241429529981076e-06,-1.2940918765469434e-06,2.5881808520302396e-06,-2.241438680420134e-06,-1.2940952255126046e-06,9.744029246180256e-12,True,0.0,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,5,-4.949727261172043e-06,-6.062261803663205e-12,4.949727261175756e-06,-4.949747468305833e-06,0.0,2.109690200424273e-11,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,6,-8.365128886911322e-06,4.829582480825323e-06,9.659205362437074e-06,-8.365163037378081e-06,4.829629131445345e-06,5.781465842083483e-11,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,7,-1.8678599251198413e-06,-1.941139488925714e-06,2.6938677056112984e-06,-1.8678655670167783e-06,-1.9411428382689064e-06,6.561181362285966e-12,True,0.0,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,8,-3.8544016291997e-06,-7.417829042122293e-07,3.9251310546475805e-06,-3.854412119465505e-06,-7.41781958247055e-07,1.0532830900556911e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,9,-5.691513936589843e-06,1.095325902644717e-06,5.795952874497934e-06,-5.691529426552888e-06,1.0953353488403287e-06,1.8143030802239132e-11,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,10,-6.970958000174221e-06,7.2443970465796426e-06,1.005363337349661e-05,-6.970969197815067e-06,7.244443697168013e-06,4.7975666288832365e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,12,-5.029816092183559e-06,-1.665334979240127e-16,5.029816092183559e-06,-5.029826359546161e-06,0.0,1.0267362603529694e-11,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,45,7.071067811865476e-06,7.0710678118654756e-06,13,-7.071053378160386e-06,-4.070567076956591e-22,7.071053378160386e-06,-7.071067811865476e-06,0.0,1.4433705090711297e-11,True,0.0,`gtol` termination condition is satisfied.
