height_d,sigma_min,condition
3.4641016151377544,0.17677669529663692,1.732050807568877
1.0,0.28284271247461906,1.9999999999999996
0.1,0.03526717113149863,20.0
0.01,0.003535445519794744,199.9999999999999
0.001,0.0003535533022049482,2000.0
