condition,runs,stopped_count,final_below_1cm_count,joint_success_count,joint_success_rate,wilson95_low,wilson95_high,final_below_10cm_count,first_1cm_count,fit_failure_runs,budget_exhausted_runs,max_position_error_m_p05,max_position_error_m_median,max_position_error_m_p95,rms_position_error_m_p05,rms_position_error_m_median,rms_position_error_m_p95,last28_mean_max_error_m_p05,last28_mean_max_error_m_median,last28_mean_max_error_m_p95,measurement_slots_p05,measurement_slots_median,measurement_slots_p95,transmitter_uses_p05,transmitter_uses_median,transmitter_uses_p95,movement_m_p05,movement_m_median,movement_m_p95,first_1cm_slot_median_among_hits
exact,100,100,100,100,1.0,0.9630065017930143,1.0,100,100,0,0,3.6823167066433234e-05,5.898650231792069e-05,8.684070416325994e-05,2.1220203286757833e-05,3.410040822974183e-05,4.9838645677727166e-05,3.6823167066433234e-05,5.898650231792069e-05,8.684070416325993e-05,168.0,196.0,224.0,672.0,784.0,896.0,148.30831337873332,401.38903208789793,739.0513688878109,98.0
bearing_0.001deg,100,0,78,0,0.0,3.469446951953614e-18,0.03699349820698568,100,100,0,100,0.0041698749825943215,0.0071988445105742585,0.013196816277723263,0.0025155521041910706,0.003972891221703318,0.0070436577431231785,0.00568178147110474,0.006829691424063504,0.009618364759988163,560.0,560.0,560.0,2240.0,2240.0,2240.0,156.79301404599042,410.09882268723004,746.7023543316807,99.0
bearing_0.01deg,100,0,0,0,0.0,3.469446951953614e-18,0.03699349820698568,74,0,0,100,0.04247369408204973,0.07275040889122905,0.1362759993435515,0.025345691798784237,0.040934275780524124,0.0737882896120314,0.05708022963038465,0.06786315173602711,0.09743581505746708,560.0,560.0,560.0,2240.0,2240.0,2240.0,235.4277088433099,490.0520761997504,823.471305719331,
bearing_0.1deg,100,0,0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,100,0.4254151296217316,0.7240337917464014,1.355893753397118,0.25267804422869616,0.4085697600161026,0.7427442661009559,0.5698274080231885,0.6778780165584066,0.9702746336916654,560.0,560.0,560.0,2240.0,2240.0,2240.0,1091.2287510629565,1329.7148008867487,1637.1945104251922,
actuation_1pct,100,100,100,100,1.0,0.9630065017930143,1.0,100,100,0,0,3.743242644142386e-05,5.654097345888287e-05,8.811753211831296e-05,2.2095316997646615e-05,3.200073333190973e-05,5.2608214742416213e-05,3.743242644142385e-05,5.654097345888286e-05,8.811753211831294e-05,168.0,196.0,224.0,672.0,784.0,896.0,149.56119796128363,401.91409110583743,742.097345779036,98.0
