condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,joint_success_1cm,final_below_10cm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,max_position_error_m,rms_position_error_m,last28_mean_max_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds
exact,31,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,7.459612397051298e-05,4.890053391416264e-05,7.459612397051298e-05,196,784,284.6930597508056,0,1.928777708002599
exact,32,0.0,0.0,quiet_full_cycle,True,True,True,True,107,428,107,6.409803788031651e-05,3.9073328172527175e-05,6.409803788031653e-05,224,896,548.4173566618188,0,2.2464747080011875
exact,33,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.399679807099008e-05,2.823209272742954e-05,5.399679807099009e-05,224,896,744.1208841189504,0,2.3292087500012713
exact,34,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.8100060859217484e-05,2.1888859647636917e-05,3.8100060859217484e-05,196,784,233.75919856609687,0,1.881668375004665
exact,35,0.0,0.0,quiet_full_cycle,True,True,True,True,76,304,76,6.045458760401258e-05,3.6326189089188423e-05,6.045458760401257e-05,168,672,230.3806941645764,0,1.6160326250028447
exact,36,0.0,0.0,quiet_full_cycle,True,True,True,True,75,300,75,8.9491993512193e-05,5.429699860302702e-05,8.949199351219297e-05,168,672,393.58995616067534,0,1.7025540409958921
exact,37,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.301317574528171e-05,2.7717767615955428e-05,5.3013175745281726e-05,224,896,738.7845522966983,0,2.4230107499970472
exact,38,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,107,6.44971967146273e-05,3.6762785952264016e-05,6.449719671462731e-05,196,784,724.5112968040601,0,2.1292017080049845
exact,39,0.0,0.0,quiet_full_cycle,True,True,True,True,110,440,110,3.265805590688863e-05,1.923781887160639e-05,3.265805590688862e-05,224,896,602.1287654951618,0,2.309251583996229
exact,40,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,3.716252496091193e-05,2.2463643559274046e-05,3.716252496091192e-05,224,896,554.1694435260238,0,2.428318666999985
exact,41,0.0,0.0,quiet_full_cycle,True,True,True,True,79,316,79,7.53285706292529e-05,4.0748106788048887e-05,7.532857062925291e-05,168,672,93.66512425912585,0,1.7293063329998404
exact,42,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,4.002352233292737e-05,2.2996708969968136e-05,4.002352233292736e-05,224,896,695.51413668866,0,2.4808820840044064
exact,43,0.0,0.0,quiet_full_cycle,True,True,True,True,76,304,76,5.262824892617943e-05,3.271970402676339e-05,5.262824892617944e-05,168,672,94.43993495207445,0,1.7053927079978166
exact,44,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,3.792473294736782e-05,2.292436079701813e-05,3.792473294736783e-05,224,896,566.0650268428886,0,2.3857800839978154
exact,45,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,7.614781634894726e-05,4.9917754729565936e-05,7.614781634894726e-05,196,784,253.4752387784017,0,2.030474790997687
exact,46,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.242779497888517e-05,2.7908395595274174e-05,5.2427794978885155e-05,224,896,780.8017517837046,0,2.4884498750034254
exact,47,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,104,5.9802557319777616e-05,3.59342908119344e-05,5.980255731977762e-05,196,784,693.5279119816767,0,2.149656582994794
exact,48,0.0,0.0,quiet_full_cycle,True,True,True,True,75,300,75,6.792750565327938e-05,4.080501732446348e-05,6.792750565327938e-05,168,672,516.3595215974254,0,1.771094791998621
exact,49,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.385565067606221e-05,2.8158288205181492e-05,5.385565067606222e-05,224,896,732.3115982841067,0,2.405803999994532
exact,50,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.470797469682436e-05,2.8603960197284568e-05,5.4707974696824354e-05,224,896,714.393962133254,0,2.3901011670022854
exact,51,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,4.7089983078358915e-05,3.438105631194054e-05,4.708998307835891e-05,196,784,175.17904276887722,0,1.9116191670036642
exact,52,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.886970990054464e-05,2.2330950466497487e-05,3.8869709900544636e-05,196,784,299.9517113392211,0,1.9572701659999439
exact,53,0.0,0.0,quiet_full_cycle,True,True,True,True,98,392,98,9.438002268289823e-05,6.203300456839167e-05,9.438002268289824e-05,196,784,254.6792538974862,0,1.97430345799512
exact,54,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,7.765591649594159e-05,4.650020340320792e-05,7.765591649594159e-05,196,784,281.63965769602294,0,2.024271250003949
exact,55,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,4.6761071820447317e-05,3.4140264627741305e-05,4.676107182044732e-05,196,784,396.2391803865311,0,1.949091665999731
exact,56,0.0,0.0,quiet_full_cycle,True,True,True,True,79,316,79,6.336391902669335e-05,3.611437334049314e-05,6.336391902669335e-05,168,672,441.5127601356354,0,1.723591583999223
exact,57,0.0,0.0,quiet_full_cycle,True,True,True,True,92,368,92,5.1448116131638925e-05,2.7386861596333265e-05,5.144811613163893e-05,196,784,177.5794048358483,0,1.9108581250038696
exact,58,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,4.6650971943219215e-05,3.406055183174235e-05,4.66509719432192e-05,196,784,166.5374583304158,0,1.9304022919968702
exact,59,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,8.285602894990045e-05,4.8713120451606364e-05,8.285602894990043e-05,196,784,290.18314327285907,0,2.021419333999802
exact,60,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.162129747723917e-05,2.747905049780897e-05,5.162129747723918e-05,224,896,752.509330184929,0,2.480694542005949
exact,61,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,4.773207807620986e-05,3.4745284288266546e-05,4.773207807620985e-05,196,784,152.21887319260844,0,1.9811250830025529
exact,62,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.413060740682879e-05,2.8302060332327344e-05,5.413060740682878e-05,224,896,736.3876904909713,0,2.47847187500156
exact,63,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,104,5.903200750210432e-05,3.547128180712996e-05,5.903200750210432e-05,196,784,693.3467261445287,0,2.1640257079998264
exact,64,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.491154042798313e-05,2.871040277725504e-05,5.491154042798313e-05,224,896,744.6431795690106,0,2.3851271669991547
exact,65,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,8.676342171203916e-05,4.883559626181627e-05,8.676342171203915e-05,196,784,565.5746162707702,0,2.08366116599791
exact,66,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.720443441593377e-05,2.1374242683618666e-05,3.720443441593377e-05,196,784,251.49626064940037,0,1.9660356250024051
exact,67,0.0,0.0,quiet_full_cycle,True,True,True,True,110,440,110,5.799067328544982e-05,3.0439417495394485e-05,5.799067328544984e-05,224,896,513.0245878670156,0,2.381488334001915
exact,68,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,104,4.5139894617113147e-05,2.816132796403247e-05,4.513989461711313e-05,196,784,324.20426203921227,0,2.077333417000773
exact,69,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,4.155371842868636e-05,2.3875973785241303e-05,4.155371842868635e-05,224,896,676.0313271660308,0,2.461382916997536
exact,70,0.0,0.0,quiet_full_cycle,True,True,True,True,107,428,107,7.47335131057112e-05,4.042622120746998e-05,7.47335131057112e-05,196,784,424.1407686231775,0,2.133314999999129
exact,71,0.0,0.0,quiet_full_cycle,True,True,True,True,107,428,107,6.133450467748924e-05,3.996943699914554e-05,6.133450467748923e-05,196,784,708.2189707930762,0,2.3168974590007565
exact,72,0.0,0.0,quiet_full_cycle,True,True,True,True,104,416,104,5.7988833708787466e-05,3.4844458266604786e-05,5.7988833708787466e-05,196,784,685.9842038548142,0,2.3000696250019246
exact,73,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.683856240080113e-05,2.116419077878026e-05,3.683856240080113e-05,196,784,266.5811784022748,0,2.1285657919943333
exact,74,0.0,0.0,quiet_full_cycle,True,True,True,True,92,368,92,6.823751576656329e-05,3.553339278856193e-05,6.823751576656328e-05,196,784,515.4783828604251,0,2.232095457999094
exact,75,0.0,0.0,quiet_full_cycle,True,True,True,True,98,392,98,7.730994463130986e-05,4.5963193207637016e-05,7.730994463130986e-05,196,784,215.8504051953275,0,2.202026917002513
exact,76,0.0,0.0,quiet_full_cycle,True,True,True,True,92,368,92,6.249136071122139e-05,3.2110177991419274e-05,6.249136071122137e-05,196,784,152.6514913627281,0,2.1451215830020374
exact,77,0.0,0.0,quiet_full_cycle,True,True,True,True,103,412,103,8.830907073645489e-05,4.970568627473829e-05,8.830907073645487e-05,196,784,271.1093556095798,0,2.261664625002595
exact,78,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.710549879412343e-05,2.1317288686287267e-05,3.710549879412343e-05,196,784,275.66231116404765,0,2.224565958000312
exact,79,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,4.714366737510479e-05,3.4421708120611574e-05,4.714366737510479e-05,224,896,578.4689367769724,0,3.0622315000000526
exact,80,0.0,0.0,quiet_full_cycle,True,True,True,True,108,432,108,6.593315796195829e-05,3.1605934495321227e-05,6.593315796195827e-05,224,896,475.13034992981756,0,2.9767548750023707
exact,81,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,4.689723975798525e-05,3.2633945757662185e-05,4.6897239757985263e-05,196,784,304.6427140200018,0,2.562058083000011
exact,82,0.0,0.0,quiet_full_cycle,True,True,True,True,82,328,82,5.888184461015243e-05,2.9567893048728545e-05,5.888184461015243e-05,196,784,195.54644779278206,0,2.596061374999408
exact,83,0.0,0.0,quiet_full_cycle,True,True,True,True,82,328,82,5.818174960550896e-05,2.9216699731456926e-05,5.818174960550897e-05,196,784,326.4920662331714,0,2.3381423329992685
exact,84,0.0,0.0,quiet_full_cycle,True,True,True,True,82,328,82,7.42452124139131e-05,3.441290082393048e-05,7.42452124139131e-05,196,784,351.6865225136841,0,2.307111874994007
exact,85,0.0,0.0,quiet_full_cycle,True,True,True,True,107,428,107,6.189116603438845e-05,3.685327655850283e-05,6.189116603438843e-05,224,896,491.7246008060159,0,2.701159917000041
exact,86,0.0,0.0,quiet_full_cycle,True,True,True,True,93,372,93,6.76802515012979e-05,3.5124929271907516e-05,6.768025150129791e-05,196,784,548.3600044808044,0,2.2410485000000335
exact,87,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.425801830244314e-05,2.8368682563013993e-05,5.4258018302443126e-05,224,896,766.9010053386846,0,2.7056866659986554
exact,88,0.0,0.0,quiet_full_cycle,True,True,True,True,98,392,98,7.598398483947113e-05,4.33037024578687e-05,7.598398483947113e-05,196,784,192.04595741198972,0,2.1203616249986226
exact,89,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.731379765902543e-05,2.143699844682967e-05,3.731379765902543e-05,196,784,251.7185491034175,0,2.172770582998055
exact,90,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,120,4.234886420164305e-05,2.433287312953773e-05,4.2348864201643036e-05,224,896,699.7912451895111,0,2.7026595000061207
exact,91,0.0,0.0,quiet_full_cycle,True,True,True,True,86,344,86,3.694178249248566e-05,2.1223151313493494e-05,3.694178249248567e-05,196,784,383.3591691737824,0,2.3827837920034654
exact,92,0.0,0.0,quiet_full_cycle,True,True,True,True,79,316,79,5.894099713373707e-05,3.794500272216025e-05,5.894099713373707e-05,168,672,442.09482006588564,0,2.120161000006192
exact,93,0.0,0.0,quiet_full_cycle,True,True,True,True,120,480,120,5.4808347518778695e-05,2.8656444030461293e-05,5.480834751877869e-05,224,896,712.404093338262,0,2.9698417079998762
exact,94,0.0,0.0,quiet_full_cycle,True,True,True,True,107,428,107,6.80454616022605e-05,3.8140797812521184e-05,6.804546160226049e-05,196,784,457.3814502027277,0,2.5844100000031176
exact,95,0.0,0.0,quiet_full_cycle,True,True,True,True,99,396,99,6.920557562525765e-05,4.9081719422726355e-05,6.920557562525765e-05,196,784,313.50454045656727,0,2.522630332998233
exact,96,0.0,0.0,quiet_full_cycle,True,True,True,True,114,456,114,4.710871851453516e-05,3.2780625234841095e-05,4.710871851453515e-05,224,896,610.2817882926742,0,3.0054857499999343
exact,97,0.0,0.0,quiet_full_cycle,True,True,True,True,98,392,98,7.72090612028637e-05,4.5903213490569425e-05,7.72090612028637e-05,196,784,194.74971296489824,0,2.536788750003325
exact,98,0.0,0.0,quiet_full_cycle,True,True,True,True,75,300,75,6.606065991698598e-05,3.9683760471700646e-05,6.6060659916986e-05,168,672,414.8820634941727,0,2.2726700830025948
exact,99,0.0,0.0,quiet_full_cycle,True,True,True,True,93,372,93,6.663202076216172e-05,3.6374325020295746e-05,6.663202076216173e-05,196,784,194.63589954144402,0,2.673679584004276
bearing_0.001deg,-1,0.001,0.0,max_epochs_reached,False,True,False,True,98,392,541,0.007481006846921627,0.0038582723956057854,0.006299709200088688,560,2240,262.65754087021287,0,8.1193185000011
bearing_0.001deg,0,0.001,0.0,max_epochs_reached,False,True,False,True,76,304,544,0.0059870632874979195,0.0036855495420642544,0.00781667527025987,560,2240,101.76725374637306,0,8.001011291002214
bearing_0.001deg,1,0.001,0.0,max_epochs_reached,False,True,False,True,100,400,534,0.005903121341246886,0.0031724973528385373,0.0062828756370936914,560,2240,596.0592179648071,0,8.17320437500166
