real,imaginary,modulus
0.24999999999999978,0.0,0.24999999999999978
0.25000000000000006,0.0,0.25000000000000006
0.25,0.0,0.25
0.24999999999999994,0.0,0.24999999999999994
0.24999999999999967,0.0,0.24999999999999967
0.25000000000000017,0.0,0.25000000000000017
0.4999784720060398,2.1525233894145186e-05,0.4999784724693954
0.4999784720060398,-2.1525233894145186e-05,0.4999784724693954
0.5000215279939597,2.1530754721838206e-05,0.5000215284575131
0.5000215279939597,-2.1530754721838206e-05,0.5000215284575131
0.49999999945440726,0.0,0.49999999945440726
0.5000000005455949,0.0,0.5000000005455949
0.49999999999999906,0.0,0.49999999999999906
0.5000000000000009,0.0,0.5000000000000009
0.24999999999999958,0.0,0.24999999999999958
0.2499999999999998,0.0,0.2499999999999998
