gain,difference_step_m,absolute_frobenius_error,relative_frobenius_error,max_entry_error,selection_changes,clipped_decisions,failed_fits
0.25,0.001,7.26334483527504e-08,2.6169484134659604e-08,3.8487883033400117e-08,0,0,0
0.25,0.0001,1.1470188722231418e-06,4.132654150332932e-07,4.178000381216407e-07,0,0,0
0.25,1e-05,1.863085967845129e-07,6.712609656124609e-08,5.773159712702658e-08,0,0,0
0.5,0.001,7.44118944789251e-08,3.565667291044139e-08,3.754297406982632e-08,0,0,0
0.5,0.0001,1.9769602083723836e-06,9.473192962027973e-07,6.251520973110658e-07,0,0,0
0.5,1e-05,2.720081310799286e-07,1.3034078794545946e-07,7.405515123348749e-08,0,0,0
1.0,0.001,5.80452887556532e-10,2.346138582885915e-10,2.678574029246761e-10,0,0,0
1.0,0.0001,4.367911754926932e-06,1.765470809872911e-06,1.3355361264714868e-06,0,0,0
1.0,1e-05,7.630542580179471e-07,3.0841969674876226e-07,2.6201263313680506e-07,0,0,0
