gain,input_component,output_component,operator_norm,frobenius_norm
0.25,radial,radial,0.9478075961468605,1.914888955431765
0.25,tangential,radial,0.27496188908555336,0.4096826890304846
0.25,radial,tangential,0.2715746240012127,0.3519110231062456
0.25,tangential,tangential,0.9407958576778591,1.9351818619530505
0.5,radial,radial,0.830812031082484,1.2585203741885096
0.5,tangential,radial,0.5052882324544177,0.7198716524248965
0.5,radial,tangential,0.424697170402006,0.517475617452268
0.5,tangential,tangential,0.890339710357642,1.4089996340464364
1.0,radial,radial,0.7221364599247302,0.8262697993320619
1.0,tangential,radial,1.2507770385875585,1.4311412732028717
1.0,radial,tangential,0.7512943499440548,0.9206210897724019
1.0,tangential,tangential,1.3012799855425345,1.5945625020052279
