phase,receiver_id,reference_id,b_rr,b_rt,b_tr,b_tt,operator_norm,source_phase,two_configuration_phase
14,2,4,-0.30253457818265084,0.25385665297143634,0.8312069221610618,-0.6974654218173493,1.1547005383792517,14,1
14,3,5,-0.4999999999999999,0.4195498155886399,0.5958767962971052,-0.5000000000000003,1.0154266118857451,14,1
14,6,5,-0.939692620785908,-0.34202014332566855,-0.16569316261720443,-0.06030737921409178,1.0154266118857447,14,1
14,7,4,-0.5000000000000006,-0.8660254037844393,-0.28867513459481275,-0.49999999999999967,1.1547005383792524,14,1
14,8,5,-0.3263518223330697,-0.565257937423568,-0.3889309567151031,-0.6736481776669303,1.0154266118857451,14,1
14,9,5,-0.06030737921409172,-0.34202014332566916,-0.16569316261720402,-0.9396926207859092,1.0154266118857462,14,1
26,2,7,0.06857902130162873,0.38893095671510297,-0.18841931247452254,-1.0685790213016295,1.1547005383792521,26,2
26,3,7,-0.12888640051572078,0.7309511000407716,0.15360083085114676,-0.8711135994842796,1.1547005383792512,26,2
26,4,7,-0.5000000000000001,0.8660254037844384,0.2886751345948129,-0.4999999999999998,1.1547005383792515,26,2
26,5,7,-0.8711135994842798,0.7309511000407716,0.1536008308511455,-0.12888640051571987,1.1547005383792512,26,2
26,6,7,-1.0685790213016286,0.3889309567151028,-0.18841931247452073,0.0685790213016279,1.154700538379251,26,2
26,9,8,-0.5,-0.18198511713310134,-1.3737387097273108,-0.5,1.5557238268604119,26,2
