method,sigma_deg,theory_m,empirical_m,low_m,high_m,samples
main,0.001,0.004542727620151138,0.004530241238728908,,,100
main,0.01,0.04542727620151138,0.04553686703915737,,,100
main,0.1,0.45427276201511374,0.4554929189351557,,,100
two_configuration_gain_0.5,0.001,0.003769330707958449,0.0037893281750974077,0.003619487062564751,0.0039546856966363175,100
two_configuration_gain_0.5,0.01,0.03769330707958449,0.038709417093356555,0.036949644184705706,0.04049597696836248,100
two_configuration_gain_0.5,0.1,0.37693307079584487,0.387001870978653,0.36941073115027645,0.40510494995084584,100
two_configuration_gain_1,0.001,0.007725304330851395,0.007622739736819202,0.0071760863066633925,0.008078931062349649,100
two_configuration_gain_1,0.01,0.07725304330851396,0.076824354386932,0.0723599080840537,0.08162288541816076,100
two_configuration_gain_1,0.1,0.7725304330851396,0.7681090780750472,0.7235022677130819,0.8168201720884394,100
