slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,10.47396339593197,7.581524697111044,10.472672817058694,0.16263754475661205,0.3221559838398349
1,0-1-4-5,4,4,4,30.452991691985183,30.452991691985183,10.47396339593197,6.49544740637612,10.472672817058694,2.1258770170914634,2.1433550279743585
2,0-1-7-8,4,8,8,26.893202571255834,57.34619426324102,7.8113776187945705,4.285519191233439,7.062672468563193,1.944711273629489,3.012530495104805
3,0-1-4-5,4,12,12,18.28443425371536,75.63062851695638,5.516462612297836,3.1309401014866336,5.472672817058694,1.102376101579246,1.0761952884432162
4,0-1-7-8,4,16,16,18.197962022267383,93.82859053922377,3.855835746859328,2.1643270492923,3.323065160765154,1.3668967283720161,1.3668967283719908
5,0-1-4-5,4,20,20,11.645282664558087,105.47387320378185,1.5570050765920016,0.798554944941317,1.5334296430941947,0.2962800029340283,0.29162683344095086
6,0-1-7-8,4,24,24,3.5971905325523967,109.07106373633425,1.0331207891274259,0.6141482168379927,0.89305787259444,0.41649955342719935,0.4164995534271938
7,0-1-4-5,4,28,28,3.4335449785820855,112.50460871491634,0.4130344031504175,0.209398161405059,0.40622529560214105,0.0750712806101834,0.07463076241930366
8,0-1-7-8,4,32,32,0.9392310003025391,113.44383971521889,0.2658379416033696,0.15882214966872543,0.23122025005270075,0.10552896480062192,0.10552896480063367
9,0-1-4-5,4,36,36,0.862962618416744,114.30680233363563,0.10690408002429795,0.05629505437543666,0.10607565583670464,0.022432085874973293,0.016592019402011715
10,0-1-7-8,4,40,40,0.25578672353553844,114.56258905717117,0.07444085570119578,0.046905686100591766,0.06330592727854878,0.03366505343994587,0.033665053439918324
11,0-1-4-5,4,44,44,0.24924421757817133,114.81183327474933,0.030827136523517186,0.017211395586160826,0.030767953627844236,0.005289914512594622,0.004812761870219617
12,0-1-7-8,4,48,48,0.08023816591472166,114.89207144066405,0.028800071115900102,0.01810130558708105,0.025930108804374186,0.013730586491016411,0.013730586491035979
13,0-1-4-5,4,52,52,0.11690749626972709,115.00897893693379,0.01624712333937311,0.008113898892297399,0.014569324949093243,0.004138939283012422,0.005132386741955486
14,0-1-7-8,4,56,56,0.06486653810961428,115.0738454750434,0.011266903747490313,0.005260141841889718,0.004964860430476392,0.005795047073723963,0.0037167089188159252
15,0-1-4-5,4,60,60,0.03419052138428934,115.10803599642769,0.0067483149299803384,0.0038919284887796906,0.004859421949447551,0.00268280764030557,0.004234474221227913
16,0-1-7-8,4,64,64,0.04647394470718082,115.15450994113488,0.011067300257891093,0.0068632159435449555,0.008282074678859885,0.006212732102273188,0.006212732102270024
17,0-1-4-5,4,68,68,0.041473564457987354,115.19598350559286,0.009843075686724953,0.005233752548250691,0.005963579374423489,0.005561185043123476,0.005561185043134742
18,0-1-7-8,4,72,72,0.0613002385691135,115.25728374416198,0.01545225496717455,0.007113912845894164,0.004767331801730279,0.008601466048778534,0.008601466048773432
19,0-1-4-5,4,76,76,0.059978986345424964,115.31726273050741,0.011552037242586615,0.005308237837476911,0.004095206808045759,0.006434628558157766,0.008615148881432333
20,0-1-7-8,4,80,80,0.07091718382134453,115.38817991432876,0.014233242472683521,0.009543932810875287,0.013851741644558047,0.006816693517128788,0.008302216822286823
21,0-1-4-5,4,84,84,0.07343030118187985,115.46161021551065,0.016117971827673175,0.013234687350441827,0.016115949632720117,0.007437060702354026,0.007583354432632916
22,0-1-7-8,4,88,88,0.043382212333417304,115.50499242784406,0.016359726599868556,0.012076219533571493,0.016115949632720117,0.007437060702354026,0.007583354432632916
23,0-1-4-5,4,92,92,0.0530038021646904,115.55799623000875,0.0205666471816595,0.013350713301315107,0.015171006443978285,0.010716310120270217,0.00650638797343106
24,0-1-7-8,4,96,96,0.08040064784470742,115.63839687785347,0.021241262146910314,0.011065381204087442,0.01144207927004004,0.011620038700575118,0.01162003870057049
25,0-1-4-5,4,100,100,0.07207574222631455,115.71047262007978,0.00993788106795599,0.007176694764344556,0.007424874364232892,0.005609575730589676,0.009732432355342269
26,0-1-7-8,4,104,104,0.06008970598369617,115.77056232606348,0.009138259245593828,0.006895763576015532,0.007654047120297491,0.004727364859889085,0.008850221484642873
27,0-1-4-5,4,108,108,0.03813526293664829,115.80869758900013,0.008480330191272242,0.0055383639954190945,0.007654047120297491,0.00434726942792979,0.004347269427924516
28,0-1-7-8,4,112,112,0.02139794971742756,115.83009553871756,0.0080970841927711,0.005039927057293718,0.005075499225355884,0.004529401596828206,0.004529401596826688
29,0-1-4-5,4,116,116,0.04012886603564032,115.8702244047532,0.009858124353920415,0.005602420952108445,0.006826605887425785,0.005202082303630224,0.007940196595761506
30,0-1-7-8,4,120,120,0.041039223276820684,115.91126362803003,0.014750679131412753,0.006999246899906513,0.005425808107858643,0.008449654637335362,0.008449654637317394
31,0-1-4-5,4,124,124,0.03196013492411474,115.94322376295415,0.009665400780025686,0.005851556008332199,0.0052636905466840744,0.0054236363277158,0.006163032971706173
32,0-1-7-8,4,128,128,0.03379537126564905,115.9770191342198,0.00689594056372192,0.0044364624709090725,0.005386449668520754,0.003742121994105913,0.0054273237071740255
33,0-1-4-5,4,132,132,0.041904598910297186,116.0189237331301,0.007142285264271447,0.004349607033514226,0.005635359507252247,0.003531974664842951,0.0035319746648383443
34,0-1-7-8,4,136,136,0.04339288719255549,116.06231662032265,0.01067156045240097,0.005909808514148281,0.006561293557325598,0.005953006781249991,0.005953006781254544
35,0-1-4-5,4,140,140,0.07626193981875166,116.1385785601414,0.013531086199953876,0.008414427591355581,0.006561293557325598,0.007059773705750796,0.007184927533614882
36,0-1-7-8,4,144,144,0.04807886778164529,116.18665742792304,0.012572223184965925,0.006996994105534178,0.00962621643878947,0.0046331869347085285,0.00834368247181061
37,0-1-4-5,4,148,148,0.0677237087219934,116.25438113664504,0.013984065855777522,0.009000002868744842,0.009073163133294315,0.00796275300846484,0.01167324854552021
38,0-1-7-8,4,152,152,0.07851715014628985,116.33289828679133,0.005713882394294213,0.004294985695458364,0.005246691271565851,0.0030877591301531624,0.004766053521940705
39,0-1-4-5,4,156,156,0.03444673246216967,116.3673450192535,0.010779861753742653,0.006426092770688044,0.007446389817843624,0.005378447537572531,0.005378447537566444
40,0-1-7-8,4,160,160,0.04925456171033563,116.41659958096385,0.007471483280624241,0.00441788421057155,0.006970442683922329,0.0028259654735307274,0.003620623480237839
41,0-1-4-5,4,164,164,0.040871993721310694,116.45747157468516,0.007471483280624241,0.004849611873576893,0.006970442683922329,0.003970370621358653,0.00423935715576107
42,0-1-7-8,4,168,168,0.03338540769611075,116.49085698238127,0.00857512209806861,0.005451866919342785,0.005712210685743457,0.0038521362376499396,0.004828838876157704
43,0-1-4-5,4,172,172,0.04021789869469418,116.53107488107597,0.013318132880753971,0.008311631820795943,0.005322431362330349,0.0076029976620757165,0.010589295946651589
44,0-1-7-8,4,176,176,0.049717002103241474,116.5807918831792,0.015336119253616314,0.008911368428841564,0.014627381151811392,0.006580152013580906,0.005646977789659502
45,0-1-4-5,4,180,180,0.06396185778210396,116.6447537409613,0.021589648952671934,0.013642294152777842,0.014627381151811392,0.010812357974334094,0.010812357974344877
46,0-1-7-8,4,184,184,0.08222427992050077,116.7269780208818,0.014374349988165894,0.008460393443407759,0.012761303447760497,0.003790430294722755,0.005139917335526434
47,0-1-4-5,4,188,188,0.05907806343650633,116.7860560843183,0.01456342097081258,0.008146335875062851,0.014557568199265347,0.006544061078784886,0.007485414909297106
48,0-1-7-8,4,192,192,0.09345370831662636,116.87950979263493,0.017375993233809613,0.010169665439695896,0.011620748930539548,0.008248307994959429,0.007485414909297106
49,0-1-4-5,4,196,196,0.05708693376188815,116.93659672639683,0.019575878048138647,0.011102601725140077,0.011620748930539548,0.010851644072124673,0.010851644072133126
50,0-1-7-8,4,200,200,0.08988962338377289,117.0264863497806,0.012455401310182397,0.006794668323143086,0.005132122506196879,0.006620323500850826,0.0066203235008615025
51,0-1-4-5,4,204,204,0.043772533605032776,117.07025888338563,0.007868734786166752,0.0038378501410780935,0.002612660982009629,0.004507984709993076,0.006267752540345839
52,0-1-7-8,4,208,208,0.03639078152571403,117.10664966491134,0.009395677368426992,0.005211935529782887,0.00939489124138504,0.002516954792108098,0.004276722622471141
53,0-1-4-5,4,212,212,0.03814048286432745,117.14479014777567,0.01181651531984698,0.007940354668582198,0.00955811997739886,0.005544812914447593,0.006943298704648271
54,0-1-7-8,4,216,216,0.08206065297866004,117.22685080075432,0.017757212487220692,0.011195046688558204,0.008599769252128908,0.009585165059731993,0.009585165059739609
55,0-1-4-5,4,220,220,0.05786154146209549,117.28471234221641,0.0189270132276264,0.011293728097714494,0.008659704232854892,0.009770194386704312,0.009770194386696573
56,0-1-7-8,4,224,224,0.09124746680354369,117.37595980901995,0.013447098527747357,0.006532638382701146,0.012426397092525576,0.004915981495174971,0.008160624346643885
57,0-1-4-5,4,228,228,0.048164331363242316,117.42412414038319,0.019382544833113143,0.00950882860789698,0.012426397092525576,0.00899163756549757,0.0062827935876299534
58,0-1-7-8,4,232,232,0.08521296226482639,117.50933710264802,0.009170199932763558,0.004848886860250018,0.00425265890361004,0.0052327722094929075,0.0055494247799003915
59,0-1-4-5,4,236,236,0.04917208199918586,117.5585091846472,0.013572577224406867,0.008311073579323367,0.01023312883259564,0.005653551979449957,0.009489207353027496
60,0-1-7-8,4,240,240,0.06629735869067814,117.62480654333788,0.01773046046930858,0.011763522983224386,0.01178996190367343,0.008371976079149721,0.008371976079153853
61,0-1-4-5,4,244,244,0.08146294918954221,117.70626949252743,0.015288494069456484,0.007461579012869766,0.008844252919146811,0.008563230374640718,0.010699888813626046
62,0-1-7-8,4,248,248,0.05888000982723525,117.76514950235466,0.011525342817161974,0.00642589092387346,0.008844252919146811,0.006419599164353535,0.007771084463193745
63,0-1-4-5,4,252,252,0.04538229287570565,117.81053179523036,0.006442474690206891,0.0030310582506457443,0.004612861142149427,0.0025769043762280826,0.0035653496477578983
64,0-1-7-8,4,256,256,0.028814856947884174,117.83934665217825,0.008207325197552759,0.004839284985734518,0.005839262832935788,0.004648572502343542,0.008359074423914592
65,0-1-4-5,4,260,260,0.03252733120269154,117.87187398338094,0.007104027689050211,0.004429262686313686,0.004111112180041232,0.0037105019215156387,0.0057511546016968396
66,0-1-7-8,4,264,264,0.029358867911705066,117.90123285129265,0.007786021888223112,0.004247434934046704,0.003973577269306361,0.004301031580296494,0.002795377407302624
67,0-1-4-5,4,268,268,0.0481011789965718,117.94933403028922,0.010155562824564267,0.007314437606977231,0.007989608515160285,0.0055580397676634275,0.007380779028196116
68,0-1-7-8,4,272,272,0.03903418093654423,117.98836821122576,0.013156484119111725,0.008005578027971184,0.011614358372909805,0.0055580397676634275,0.004154148880985531
69,0-1-4-5,4,276,276,0.05708397271237677,118.04545218393814,0.009838958934443564,0.006681948813670003,0.009530657945759913,0.005629885914543954,0.005629885914558486
70,0-1-7-8,4,280,280,0.053568324876553386,118.09902050881469,0.01130817176955507,0.00683195471872624,0.005972625266650766,0.005971310741537851,0.005971310741522018
71,0-1-4-5,4,284,284,0.041594027273830866,118.14061453608852,0.0073627248346623975,0.0045568051226651165,0.005554013751932985,0.003298547262484795,0.003014601995893429
72,0-1-7-8,4,288,288,0.05073726535661686,118.19135180144514,0.012129200042441397,0.007114820383672008,0.0051873779834892275,0.00628172824364263,0.011372199864759125
73,0-1-4-5,4,292,292,0.08531648564148694,118.27666828708662,0.01490109247566768,0.010390105197440243,0.009037936823702353,0.008142552866895563,0.008539665456723355
74,0-1-7-8,4,296,296,0.06259390337346371,118.33926219046009,0.02211442267735944,0.01282128183874698,0.01060330409727328,0.0117332071681334,0.011733207168127535
75,0-1-4-5,4,300,300,0.0835530582612434,118.42281524872134,0.017938115749962593,0.00920522107538933,0.01060330409727328,0.009654575775539388,0.00882092583302807
76,0-1-7-8,4,304,304,0.04706388368794973,118.46987913240929,0.00764637493602853,0.004944286818739887,0.007646373423270347,0.003243713002549331,0.0032464689229598775
77,0-1-4-5,4,308,308,0.03813231230165649,118.50801144471095,0.011756509246854122,0.005420312861587613,0.004600718112683921,0.0066995100218918205,0.006699510021903166
78,0-1-7-8,4,312,312,0.06587498408119828,118.57388642879215,0.011308620377244012,0.005949020447972544,0.00827079950050802,0.004418609933534834,0.008833617020414408
79,0-1-4-5,4,316,316,0.059789679390530176,118.63367610818268,0.01262849509809814,0.008556604198945966,0.012377425270827302,0.0066137014601558314,0.0073274955256792396
80,0-1-7-8,4,320,320,0.05080316936539542,118.68447927754808,0.016455344725777848,0.010865339347331348,0.014228218537553516,0.007440095905381214,0.009024162709721395
81,0-1-4-5,4,324,324,0.07681860817850933,118.76129788572659,0.017347529703411184,0.010593740946343244,0.012273720319313952,0.00931584273634617,0.009315842736342006
82,0-1-7-8,4,328,328,0.07611151968009901,118.83740940540669,0.011819397510857414,0.006880129514425609,0.009315037246551583,0.004726466611554389,0.004726466611550961
