condition,metric,contrast,paired_trials,conditional_pair_count,mean_difference,median_difference,bootstrap95_low,bootstrap95_high,bootstrap_replicates,bootstrap_seed
combined_0.01deg_1pct,rms_position_error_m,gain_1_minus_gain_0.5,100,,0.03616638792339794,0.03461691477179507,0.03269771003950186,0.03974756244391976,10000,20260906
combined_0.01deg_1pct,measurement_slots,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
combined_0.01deg_1pct,transmitter_uses,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
combined_0.01deg_1pct,movement_m,gain_1_minus_gain_0.5,100,,211.946172349463,212.01378298058376,209.42457903329208,214.43371288524014,10000,20260906
link_bias_0.001deg,max_position_error_m,gain_1_minus_gain_0.5,100,,0.0010534296771124254,0.0006934399309325009,0.0007649894207884095,0.0013554364395241697,10000,20260906
link_bias_0.001deg,rms_position_error_m,gain_1_minus_gain_0.5,100,,0.000442744562959955,0.00039832088368323745,0.00034291907319906623,0.0005407882044137695,10000,20260906
link_bias_0.001deg,measurement_slots,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
link_bias_0.001deg,transmitter_uses,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
link_bias_0.001deg,movement_m,gain_1_minus_gain_0.5,100,,18.72676900827914,18.425038397768862,16.176719019805184,21.394501619981888,10000,20260906
link_bias_0.001deg,first_1cm_slot,gain_1_minus_gain_0.5_conditional_both_first_events,41,41,-28.804878048780488,-28.0,-30.75670731707317,-26.853658536585368,10000,20260906
