x,y,joint_rank,joint_sigma_min_rad_per_m,joint_condition_number,x_own_rank,y_own_rank,x_nuisance_rank,y_nuisance_rank,joint_fitted_bias_map_sigma_min,alternating_cycle_rho_gain_half
2,3,4,0.0023399830611282616,19.41956360750438,2,2,1,1,0.1862841569160386,0.5000065142958727
2,4,4,0.00345198109888901,8.07968103876223,2,2,1,1,0.43865619524276755,0.5000000000000004
2,5,4,0.004082482904638634,5.638155724715446,2,2,1,1,0.5666791557182471,0.5
2,6,4,0.0015104073658332026,13.784876531503679,2,2,1,1,0.23323784421066665,0.5000015693229112
2,7,4,0.00150438292271441,12.981923154670179,2,2,1,1,0.2614795699142818,1.3489618018471428
2,8,4,0.004082482904638631,4.596266658713869,2,2,1,1,0.8446155224621141,1.9763742725004025
2,9,4,0.005485789317795774,3.5414409885392635,2,2,1,1,0.6840402866513383,2.5029879055017585
3,4,4,0.0016021873381449343,25.481756076677488,2,2,1,1,0.13498247310922015,0.860860033109067
3,5,4,0.0028548133406114833,7.168051016782723,2,2,1,1,0.3684084971932562,0.5000016379521058
3,6,4,0.00408248290463863,3.411474127809774,2,2,1,1,0.545829704445558,0.5000000000000006
3,7,4,0.0014995234273721839,8.167560766542188,2,2,1,1,0.22738416233822514,0.7769699417731417
3,8,4,0.0014975584066892636,8.178277828236444,2,2,1,1,0.27014860748733305,1.2545229264711817
3,9,4,0.0040824829046386246,4.596266658713872,2,2,1,1,0.8446155224621147,1.9763742725004032
4,5,4,0.0013228585169737992,30.146653263241642,2,2,1,1,0.1134647666047825,0.9111904463669678
4,6,4,0.0026030958826908303,7.282292766586729,2,2,1,1,0.3381043241732899,0.7145943822094779
4,7,4,0.004082482904638629,3.0000000000000018,2,2,1,1,0.5773502691896253,0.5000000025893958
4,8,4,0.0014995234273721806,8.167560766542197,2,2,1,1,0.22738416233822475,0.7769699417731424
4,9,4,0.001504382922714415,12.98192315467013,2,2,1,1,0.26147956991428284,1.348961801847144
5,6,4,0.0012468200376510468,31.81737766424857,2,2,1,1,0.10741884202179314,0.9222548555491197
5,7,4,0.002603095882690829,7.282292766586735,2,2,1,1,0.3381043241732899,0.7145943822094784
5,8,4,0.004082482904638632,3.411474127809771,2,2,1,1,0.545829704445558,0.5000000000000004
5,9,4,0.0015104073658332036,13.784876531503656,2,2,1,1,0.23323784421066676,0.5000025018940346
6,7,4,0.0013228585169737935,30.14665326324181,2,2,1,1,0.11346476660478252,0.9111904463669678
6,8,4,0.0028548133406114794,7.168051016782734,2,2,1,1,0.36840849719325613,0.5000004029266206
6,9,4,0.004082482904638638,5.638155724715437,2,2,1,1,0.5666791557182473,0.5000000000000004
7,8,4,0.001602187338144933,25.4817560766775,2,2,1,1,0.13498247310921982,0.8608600331090672
7,9,4,0.0034519810988890122,8.07968103876222,2,2,1,1,0.43865619524276706,0.5
8,9,4,0.0023399830611282695,19.41956360750433,2,2,1,1,0.18628415691603858,0.500000008589106
