case_id,receiver_id,reference_id,construction_parameter_rad,own_true_error_m,reference_true_error_m,max_own_angle_difference_rad,other_max_angle_difference_rad,estimated_radial_m,estimated_tangential_m,fit_residual_rad,fit_success,fixed_reference_max_difference_m
receiver_02_rotation_0.0001,2,5,0.0001,0.005320888860157376,0.006638824950787015,6.661338147750939e-16,3.36827865776157e-05,0.0,0.0,8.005932084973442e-16,True,0.0
receiver_02_rotation_0.001,2,5,0.001,0.05320888640675478,0.06640021273594901,4.440892098500626e-16,0.00033686183489428645,0.0,0.0,4.577566798522237e-16,True,0.0
receiver_05_rotation_0.0001,5,2,0.0001,0.028793852403739384,0.024156195504072404,1.304512053934559e-15,0.00034262920540961694,0.0,0.0,1.3463600052204709e-15,True,0.0
receiver_05_rotation_0.001,5,2,0.001,0.2879385121597706,0.24157973793759682,3.3306690738754696e-16,0.003432671100260576,0.0,0.0,3.3306690738754696e-16,True,0.0
