receiver_id,transmitters,selected_pair,status,ratio,small_count_before,small_count_after,holding_before,holding_after,estimated_radial_bias_m,estimated_angular_bias_rad,consistency_rad,radial_clipped,angular_clipped,slot,nominal_selected_pair,matches_nominal_selected_pair
2,0-1-4-5,1-4,adjust,6.156279420279786,0,0,False,False,-0.003116605567773499,-6.156279420279786e-05,4.3242411883481854e-05,False,False,461,1-4,True
3,0-1-4-5,1-5,adjust,8.119244876922567,0,0,False,False,-0.0023709524963574868,8.119244876922567e-05,1.6946316635150875e-05,False,False,461,1-5,True
6,0-1-4-5,1-5,adjust,12.020263998370773,0,0,False,False,-0.0012167464592263881,-4.464966012463112e-05,0.00012020263998370774,False,False,461,1-5,True
7,0-1-4-5,1-4,adjust,5.937139061763977,0,0,False,False,0.005937139061763978,4.1193194361890775e-05,4.395936211789285e-05,False,False,461,1-4,True
8,0-1-4-5,1-5,adjust,4.251296669531203,0,0,False,False,-0.004184458627263962,1.2925264301118008e-05,4.251296669531203e-05,False,False,461,1-5,True
9,0-1-4-5,1-5,adjust,3.438716477289204,0,0,False,False,0.003438716477289204,1.7786612216893926e-05,3.122283572113369e-05,False,False,461,1-5,True
2,0-1-7-8,1-7,adjust,4.054515440423996,0,0,False,False,-0.00039583916459333716,4.054515440423997e-05,3.674604189807227e-05,False,False,462,1-7,True
3,0-1-7-8,1-7,adjust,5.990544028698556,0,0,False,False,-0.0024519270431274235,-5.9905440286985564e-05,7.940244364407695e-06,False,False,462,1-7,True
4,0-1-7-8,1-7,adjust,3.662106224159208,0,0,False,False,0.003662106224159208,-3.5240196291522936e-06,2.567311295653901e-06,False,False,462,1-7,True
5,0-1-7-8,1-7,adjust,11.57698186602263,0,0,False,False,0.01157698186602263,9.771152864549276e-05,7.738025941557033e-05,False,False,462,1-7,True
6,0-1-7-8,1-7,adjust,3.8456917552715675,0,0,False,False,0.002048234668974671,-3.845691755271568e-05,2.4420502144804182e-05,False,False,462,1-7,True
9,0-1-7-8,1-8,adjust,6.120713582982139,0,0,False,False,-0.0033359282972154135,-2.9445126476158987e-05,6.12071358298214e-05,False,False,462,1-8,True
2,0-1-4-5,1-4,adjust,7.829953616111972,0,0,False,False,0.0005873981197220046,7.829953616111972e-05,9.700699536478367e-06,False,False,463,1-4,True
