slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,9.597354649584952,5.410159672316701,9.596513006027038,0.25100978445763455,0.3327210955845814
1,1,0-1-2-3,4,4,25.58250179395619,25.58250179395619,9.597354649584952,5.095534531547813,9.596513006027038,1.9001242263062013,1.9302298008241934
2,1,0-1-2-4,4,8,12.010441913836393,37.592943707792585,7.742286189512367,4.395424148664354,6.914289139330947,2.27209126963507,2.2720912696350553
3,1,0-1-2-5,4,12,11.241986435266412,48.834930143059,6.4898318019014445,3.8342741504497515,5.47531132487407,2.371158390036666,2.179120342411302
4,1,0-1-2-6,4,16,10.342888589716246,59.17781873277524,4.02397125137338,2.593914083044667,3.785451930753922,1.3735026423160421,1.0898960776682216
5,1,0-1-2-7,4,20,8.431021590094499,67.60884032286974,2.4687486170679867,1.832020081141439,2.3061535507175392,0.8795538456936987,0.7094853280363935
6,1,0-1-2-8,4,24,7.492000600241585,75.10084092311132,2.17282307736155,1.3205266618383338,1.52600128765377,1.157521435487932,1.1575214354879293
7,1,0-1-2-9,4,28,9.746470882135025,84.84731180524635,2.1162814409051234,1.1259840928276823,0.7691182104435939,1.157521435487932,1.1575214354879293
8,1,0-1-3-4,4,32,3.037670046488269,87.88498185173462,1.8054573436659853,0.9942279050019414,0.695899527886553,0.9820804808254895,0.9820804808254806
9,1,0-1-3-5,4,36,2.231000395960895,90.11598224769551,1.5836640145257583,0.8539460103176093,0.38038190228147073,0.8952767733964418,0.7498342676335525
10,1,0-1-3-6,4,40,2.3144839435457953,92.43046619124131,1.5836640145257583,0.7567366307645575,0.24589962706147617,0.8952767733964418,0.695941395755284
11,1,0-1-3-7,4,44,2.07508543310565,94.50555162434696,1.5836640145257583,0.7494980909966169,0.43052143093470363,0.8952767733964418,0.6651300444968911
12,1,0-1-3-8,4,48,2.046551464361106,96.55210308870807,1.5836640145257583,0.8346528199940104,0.711501083329253,0.8952767733964418,0.6488526430097465
13,1,0-1-3-9,4,52,2.314353699702458,98.86645678841052,1.5836640145257583,0.9929824340220682,0.9727670088606573,0.8952767733964418,0.7449800137534268
14,1,0-1-4-5,4,56,2.561720727697972,101.42817751610849,1.1842368115198507,0.8255197224599774,1.0373609128926091,0.47386395713948903,0.2921894031485621
15,1,0-1-4-6,4,60,1.6379034478346939,103.06608096394318,1.1842368115198507,0.8183521384655694,1.0373609128926091,0.485582387204143,0.40031269369616496
16,1,0-1-4-7,4,64,1.1664631410080568,104.23254410495123,1.1726941213706354,0.838870655231843,0.9319587008578765,0.5632942860137591,0.5632942860137646
17,1,0-1-4-8,4,68,1.2225723178538015,105.45511642280503,1.2969175135823414,0.8308764458832408,0.7273125692220503,0.6969965129677843,0.6969965129678073
18,1,0-1-4-9,4,72,1.6252421802546746,107.08035860305971,1.2969175135823414,0.783071401586357,0.6908581483842369,0.6969965129677843,0.6969965129678073
19,1,0-1-5-6,4,76,1.6091594265435811,108.68951802960329,1.0658786877789728,0.6714724649252888,0.4933656231051913,0.5737364418682324,0.5737364418682205
20,1,0-1-5-7,4,80,0.910433865551669,109.59995189515496,1.0084603438946536,0.6372099183810787,0.4933656231051913,0.5026997666745684,0.5034342790983999
21,1,0-1-5-8,4,84,0.5680562031945084,110.16800809834946,1.0084603438946536,0.6691562606701543,0.5075063088144276,0.5026997666745684,0.5289220570991588
22,1,0-1-5-9,4,88,0.653696922958622,110.82170502130808,1.0084603438946536,0.7213728190297488,0.4933656231051913,0.5026997666745684,0.5391877293556249
23,1,0-1-6-7,4,92,1.1085044615999786,111.93020948290805,0.9730351409660756,0.6819140584812312,0.4865478513500676,0.516235737985748,0.5162357379857667
24,1,0-1-6-8,4,96,0.5516162709113455,112.4818257538194,0.9982787842045074,0.6875665161424726,0.4865478513500676,0.537299470285516,0.5372994702854967
25,1,0-1-6-9,4,100,0.517084457454857,112.99891021127425,1.0201392606905502,0.719036625677019,0.4865478513500676,0.537299470285516,0.5372994702854967
26,1,0-1-7-8,4,104,1.4535982115258728,114.45250842280012,1.023528186158484,0.7287227819557068,0.4519257072286962,0.5509012366229294,0.5509012366229129
27,1,0-1-7-9,4,108,0.8218054241013492,115.27431384690148,1.041066704089272,0.7691272259350016,0.5336156769359235,0.5540798247427523,0.5540798247427574
28,1,0-1-8-9,4,112,2.3616340931328117,117.63594794003428,1.3158795694297922,0.8745767509095536,0.8247916516775433,0.7093333493643297,0.7093333493643144
29,2,0-1-2-3,4,116,1.9699270409975558,119.60587498103185,1.437047258774655,0.9719523639733371,0.7775820142685177,0.7719550581045337,0.7719550581045311
30,2,0-1-2-4,4,120,1.9729878905558205,121.57886287158766,1.3158795694297922,0.8098436687955959,0.6920226077787532,0.7093333493643297,0.7093333493643144
31,2,0-1-2-5,4,124,2.267706780603664,123.84656965219132,1.3158795694297922,0.6341658731626,0.4536714668185624,0.7093333493643297,0.7093333493643144
32,2,0-1-2-6,4,128,1.9076425475410015,125.75421219973232,1.3158795694297922,0.5387637442771495,0.4536714668185624,0.7093333493643297,0.7093333493643144
33,2,0-1-2-7,4,132,1.7148298121527827,127.46904201188511,1.3158795694297922,0.540310884257678,0.4536714668185624,0.7093333493643297,0.7093333493643144
34,2,0-1-2-8,4,136,1.9429732399332218,129.41201525181833,1.3158795694297922,0.6484329022345661,0.5069585351773185,0.7093333493643297,0.7093333493643144
35,2,0-1-2-9,4,140,2.9182051387224557,132.33022039054077,1.3449029690311805,0.9067664840908979,0.9772904433270924,0.7093333493643297,0.7093333493643144
36,2,0-1-3-4,4,144,2.32552665353218,134.65574704407297,0.8630036910523213,0.5838391674319837,0.7301032489289412,0.38127701256961605,0.381277012569619
37,2,0-1-3-5,4,148,1.3627608724270708,136.01850791650003,0.7849636452174439,0.5284150209077869,0.7279905418965598,0.2804966433459194,0.3317616690186327
38,2,0-1-3-6,4,152,1.1035484558428932,137.1220563723429,0.7849636452174439,0.5199381966895404,0.7279905418965598,0.2989399105511627,0.2788460903437411
39,2,0-1-3-7,4,156,1.2286292564180576,138.35068562876097,0.7579098627272901,0.47873038833236853,0.6146855261007858,0.3355200076175299,0.335520007617518
40,2,0-1-3-8,4,160,1.4623940277226994,139.81307965648367,0.8035942597864256,0.41818757599166967,0.4583172574305081,0.43224051568121896,0.43224051568120814
41,2,0-1-3-9,4,164,1.9185020884441322,141.7315817449278,0.8035942597864256,0.38667789539063585,0.2740156110119898,0.43224051568121896,0.43224051568120814
42,2,0-1-4-5,4,168,0.9243325499961661,142.65591429492397,0.5436368178572443,0.3338261706084734,0.204756909831886,0.2925864805857092,0.2925864805856975
43,2,0-1-4-6,4,172,0.7860061752068428,143.4419204701308,0.5355727252432103,0.2923652091407781,0.2002395009386504,0.28950082365508073,0.22956340156035537
44,2,0-1-4-7,4,176,0.49940666542200646,143.94132713555283,0.5355727252432103,0.2833152717069303,0.22724827161900407,0.28950082365508073,0.2578047622692381
45,2,0-1-4-8,4,180,0.3599872549167189,144.30131439046954,0.5355727252432103,0.2944507841261328,0.24013369273748708,0.28950082365508073,0.2727291624577006
