phase_a,phase_b,tx_a,tx_b,rho_cycle,rho_per_slot,cycle_norm_2,two_cycle_norm_2
13,19,0-1-3-9,0-1-5-6,0.854896617497646,0.9246061959005283,1.586121134680377,1.3987472076735097
16,19,0-1-4-7,0-1-5-6,0.8608600331090663,0.927825432454331,1.2782259696958782,1.1445059816670489
20,28,0-1-5-7,0-1-8-9,0.8608600331090677,0.9278254324543317,1.4684943525516831,1.6305836336928732
5,28,0-1-2-7,0-1-8-9,0.8608600331090684,0.9278254324543321,1.4421442884607172,1.6919438365394734
1,16,0-1-2-3,0-1-4-7,0.8608600331090692,0.9278254324543326,1.794009480461534,1.7064527136017362
11,28,0-1-3-7,0-1-8-9,0.8608600331090677,0.9278254324543317,1.457749493674074,1.710016372218831
16,28,0-1-4-7,0-1-8-9,0.8608600331090677,0.9278254324543317,1.4863785691545264,1.7143586501667996
1,15,0-1-2-3,0-1-4-6,0.8608600331090662,0.9278254324543309,1.7299828850435193,1.7257373215685343
1,17,0-1-2-3,0-1-4-8,0.8608600331090692,0.9278254324543326,1.5666849591011258,1.8195566987754486
1,18,0-1-2-3,0-1-4-9,0.8608600331090672,0.9278254324543315,1.600695408484826,1.978830592895347
6,14,0-1-2-8,0-1-4-5,0.8627164866430315,0.9288253262282589,1.5374120175487132,1.2247301963293633
13,23,0-1-3-9,0-1-6-7,0.86271648664303,0.9288253262282581,1.5374120175487134,1.224730196329364
12,15,0-1-3-8,0-1-4-6,0.8661268238334954,0.9306593489744222,1.4013402793751633,1.38642847507777
12,20,0-1-3-8,0-1-5-7,0.8661268238334944,0.9306593489744217,1.4013402793751637,1.386428475077771
12,27,0-1-3-8,0-1-7-9,0.878647798173148,0.9373621488907838,1.428669506752289,1.464940316227592
3,13,0-1-2-5,0-1-3-9,0.8786477981731498,0.9373621488907847,1.375019703706589,1.5696884798707382
2,12,0-1-2-4,0-1-3-8,0.8786477981731489,0.9373621488907843,1.5699103074090701,1.6464684102958211
6,23,0-1-2-8,0-1-6-7,0.8786477981731482,0.937362148890784,1.5790239578192782,1.681799090030843
13,14,0-1-3-9,0-1-4-5,0.8786477981731494,0.9373621488907846,1.5790239578192786,1.6817990900308448
6,25,0-1-2-8,0-1-6-9,0.8786477981731473,0.9373621488907835,1.6852620438003465,1.7813329178983743
15,22,0-1-4-6,0-1-5-9,0.8872465454413847,0.9419376547528954,1.4863009244254517,1.3634250859738457
4,20,0-1-2-6,0-1-5-7,0.8872465454413836,0.9419376547528948,1.3740486951996744,1.4726763245476318
9,15,0-1-3-5,0-1-4-6,0.8970302372111723,0.9471168023064379,1.526847565507033,1.6490400545630761
20,24,0-1-5-7,0-1-6-8,0.8970302372111728,0.9471168023064382,1.6829630183436879,1.6732028942981727
9,18,0-1-3-5,0-1-4-9,0.9044051557391339,0.9510021849286856,1.5192807113363613,1.5237945083839912
5,24,0-1-2-7,0-1-6-8,0.9044051557391346,0.9510021849286859,1.4309072643542113,1.5264636108625143
10,26,0-1-3-6,0-1-7-8,0.911190446366968,0.9545629609234626,1.3183579558260485,1.414016608930275
