section,method,slot,max_radial_error_m,max_angular_error_deg,gain,input_component,output_component,operator_norm,period_slots,input_drone,input_amplitude_m,largest_cross_output_drone,largest_cross_output_component,signed_cross_output_m,linear_predicted_cross_output_m,center_difference_max_error,selection_changes
trajectory,main,0,12.000000000000014,0.2799999999999826,,,,,,,,,,,,,
trajectory,main,1,12.0,2.249999999999987,,,,,,,,,,,,,
trajectory,main,2,10.000000000000014,2.5830056817558567,,,,,,,,,,,,,
trajectory,main,3,7.023182337131928,3.354214065160753,,,,,,,,,,,,,
trajectory,main,4,6.714719765740497,3.0167386128474867,,,,,,,,,,,,,
trajectory,main,5,5.008062336024665,1.7241406184092702,,,,,,,,,,,,,
trajectory,main,6,2.9868909823604497,2.2381345913804944,,,,,,,,,,,,,
trajectory,main,7,3.6860621599013115,2.539553629472593,,,,,,,,,,,,,
trajectory,main,8,3.6860621599013115,2.539553629472593,,,,,,,,,,,,,
trajectory,main,9,3.1469630555366592,2.8224650774846007,,,,,,,,,,,,,
trajectory,main,10,3.1469630555366592,3.244012479667633,,,,,,,,,,,,,
trajectory,main,11,3.1469630555366592,3.4441988560695473,,,,,,,,,,,,,
trajectory,main,12,3.1469630555366592,3.538744654848326,,,,,,,,,,,,,
trajectory,main,13,3.1469630555366592,3.5831332984251127,,,,,,,,,,,,,
trajectory,main,14,2.040195265403298,2.0594840407109163,,,,,,,,,,,,,
trajectory,main,15,1.5176371370469468,1.3007633477939697,,,,,,,,,,,,,
trajectory,main,16,1.5176371370469468,0.92689090954046,,,,,,,,,,,,,
trajectory,main,17,1.5176371370469468,0.7579921202968501,,,,,,,,,,,,,
trajectory,main,18,1.5276925979426181,0.7025964691706361,,,,,,,,,,,,,
trajectory,main,19,1.5276925979426181,0.5977382385216787,,,,,,,,,,,,,
trajectory,main,20,1.5276925979426181,0.5664831311402,,,,,,,,,,,,,
trajectory,main,21,1.5276925979426181,0.6665502733747368,,,,,,,,,,,,,
trajectory,main,22,1.5276925979426181,0.6750860267194255,,,,,,,,,,,,,
trajectory,main,23,1.112025455109702,0.6750860267194255,,,,,,,,,,,,,
trajectory,main,24,1.112025455109702,0.7934190536428376,,,,,,,,,,,,,
trajectory,main,25,1.112025455109702,0.8838235860096414,,,,,,,,,,,,,
trajectory,main,26,0.8573118493817873,0.8838235860096414,,,,,,,,,,,,,
trajectory,main,27,0.8573118493817873,0.921024177304445,,,,,,,,,,,,,
trajectory,main,28,1.2865381319191442,1.1563720776913935,,,,,,,,,,,,,
trajectory,main,29,1.2438787559182884,1.1563720776913935,,,,,,,,,,,,,
trajectory,main,30,1.0907304451457946,1.1563720776913935,,,,,,,,,,,,,
trajectory,main,31,0.7297964962591692,1.1563720776913935,,,,,,,,,,,,,
trajectory,main,32,0.7297964962591692,1.1563720776913935,,,,,,,,,,,,,
trajectory,main,33,0.7297964962591692,1.1563720776913935,,,,,,,,,,,,,
trajectory,main,34,0.8490767650801274,1.1563720776913935,,,,,,,,,,,,,
