stage,rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure,estimated_position_error_d,receiver_id,measurement_slot,angle_error_to_target_rad,estimated_x,estimated_y,estimator_success,estimator_residual_rad,delta_x,delta_y
bootstrap,0.1,47,0.75,1,1.0529838406939658,1.0604426200611654,1.0471975511965976,1.0471975511965976,0.013245068864567777,2,2,4,2.0174196998584177,3.541440156410471,-0.013064774893813302,-0.058003905954537416,True,observe_and_move,,0.07927607400312557,,,,,,,,,
bootstrap,0.1,47,0.75,2,1.0486645709965632,1.0505450463824444,1.0471975511965976,1.0471975511965976,0.0033474951858467605,2,2,4,2.0043549249646038,3.483436250455934,-0.003266193723452826,-0.014500976488634687,True,observe_and_move,,0.019819018500781677,,,,,,,,,
bootstrap,0.1,47,0.75,3,1.04756560604041,1.048036711587519,1.0471975511965976,1.0471975511965976,0.0008391603909214673,2,2,4,2.0010887312411505,3.4689352739672987,-0.0008165484308628734,-0.0036252441221582554,True,observe_and_move,,0.00495475462519478,,,,,,,,,
bootstrap,0.1,47,0.75,4,1.0472896464995258,1.047407484556762,1.0471975511965976,1.0471975511965976,0.0002099333601643938,2,2,4,2.0002721828102876,3.4653100298451402,0.0,0.0,False,stop_estimated_position_threshold,,0.0012386886562984784,,,,,,,,,
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.05879752469506419,2,1,0.04775567444933215,1.446564732727529,2.573544168597233,True,2.220446049250313e-16,0.04007645045435321,0.01839903206706217
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.010903069993018825,3,1,0.004350006507119364,2.4976004000629,2.608711946185218,True,2.220446049250313e-16,0.001799699952825029,-0.007976801123926625
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.03315854894216047,4,1,0.031517556100464805,0.9675551296650347,1.7388933039625143,True,0.0,0.02433365275122401,-0.005131872295227824
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.027327171982655267,5,1,0.022138647801673628,2.020919053809733,1.7144676475492697,True,4.440892098500626e-16,-0.0156892903572996,0.013187370014705602
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.0687372965757759,6,1,0.06857533149660533,3.0615671062379346,1.7626172494624481,True,0.0,-0.04617532967845095,-0.022924831420178204
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.03714584795945244,7,1,0.041537015273042766,0.4824578163624709,0.8987681253245603,True,8.79296635503124e-14,0.013156637728146806,-0.02455704115509144
main_budget,,,,1,,,,,,,,3,,,,,True,observe_and_move,,0.08160608551400751,8,1,0.06702689122240679,1.5743349959965203,0.8323525428558386,True,4.6629367034256575e-14,-0.0557512469973902,0.025254645696449834
