drone_id,target_x_m,target_y_m,stage0_x_m,stage0_y_m,stage1_x_m,stage1_y_m,stage2_x_m,stage2_y_m
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2,76.60444431189781,64.27876096865393,74.96229729000632,63.124115716615876,74.96229729000632,63.124115716615876,76.60444431189782,64.27876096865394
3,17.36481776669304,98.4807753012208,19.044201170560154,110.36901015128855,17.36481776669305,98.48077530122082,17.36481776669305,98.48077530122082
4,-49.999999999999986,86.60254037844388,-52.10273288589687,91.16087552135994,-49.99999999999999,86.60254037844389,-49.99999999999997,86.60254037844389
5,-93.96926207859083,34.20201433256689,-92.00770214648452,33.74289178069639,-93.96926207859083,34.20201433256688,-93.9692620785908,34.20201433256688
6,-93.96926207859084,-34.20201433256687,-105.2722906898315,-38.23277145219291,-93.96926207859083,-34.202014332566876,-93.96926207859077,-34.20201433256684
7,-50.00000000000004,-86.60254037844383,-52.38886563516721,-90.99674036722632,-50.00000000000005,-86.60254037844382,-50.00000000000003,-86.60254037844378
8,17.364817766692997,-98.48077530122082,17.30380046043861,-96.46024305186735,17.30380046043861,-96.46024305186735,17.36481776669301,-98.48077530122079
9,76.60444431189778,-64.27876096865396,86.14777204829525,-71.57207116686621,76.60444431189778,-64.27876096865396,76.60444431189778,-64.27876096865396
