slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,10.392198421722092,5.942661965678859,10.384481785868985,0.2754764197459002,0.4759237659245983
1,0-1-4-5,4,4,4,28.853262543446284,28.853262543446284,10.392198421722092,5.729389714961206,10.384481785868985,1.9813959566877177,1.981395956687706
2,0-1-7-8,4,8,8,27.764071802843052,56.61733434628934,5.3851050366186,3.1298134807939273,5.384481785868985,1.9427566772183977,1.9427566772183766
3,0-1-4-5,4,12,12,18.374189454588326,74.99152380087767,5.3851050366186,2.9402580208693814,5.384481785868985,1.9813959566876922,1.9813959566876989
4,0-1-7-8,4,16,16,17.38845591069518,92.37997971157284,1.3468026925387835,0.7594750333398415,1.1791489887027353,0.5264532121300844,0.5264532121300718
5,0-1-4-5,4,20,20,4.344186776263579,96.72416648783643,0.6030260374957876,0.3634506959385014,0.5981543628493569,0.17311746009013362,0.17311746009013973
6,0-1-7-8,4,24,24,2.4652533225733886,99.18941981040982,0.3696205582250287,0.2098402177408835,0.32115153474636315,0.1340041186095987,0.13400411860961015
7,0-1-4-5,4,28,28,1.1200815420622012,100.30950135247201,0.15483725796304346,0.09198771842489088,0.1457367314640834,0.06189224696920248,0.08043075265907618
8,0-1-7-8,4,32,32,0.5526395772109286,100.86214092968294,0.19860354875174857,0.09349452698404843,0.09575035032241885,0.09974118033000813,0.09974118033000678
9,0-1-4-5,4,36,36,0.45093658080216925,101.3130775104851,0.07009577748411817,0.04660281516433396,0.0525198513155658,0.03141468279342989,0.03107078415218467
10,0-1-7-8,4,40,40,0.12934916529621052,101.4424266757813,0.09463829887337694,0.05688215766445707,0.06788845049645431,0.03776577134882333,0.0371785028977385
11,0-1-4-5,4,44,44,0.40376860307281104,101.84619527885411,0.10680499915350179,0.06065966036152147,0.06975253531224723,0.05841240843953173,0.0830978891202534
12,0-1-7-8,4,48,48,0.5695484811096286,102.41574375996375,0.1306240690183176,0.08629721386122527,0.08311956247852947,0.07274878437935924,0.14202192970974892
13,0-1-4-5,4,52,52,0.5348440135016009,102.95058777346534,0.14364926205254516,0.07721549079797203,0.08311956247852947,0.07719179802906413,0.0866216466390739
14,0-1-7-8,4,56,56,0.6682307563745521,103.6188185298399,0.12520101145991805,0.06480782931768236,0.07776726454365246,0.05630833852061049,0.051192003555108556
15,0-1-4-5,4,60,60,0.44009857829920107,104.0589171081391,0.17090094447711698,0.09413729623961788,0.08956926799203302,0.0922401507814176,0.09224015078140724
16,0-1-7-8,4,64,64,0.6586790417393384,104.71759614987843,0.1769632175668845,0.08910575653341511,0.17105064177434315,0.05502168103255956,0.05502168103254945
17,0-1-4-5,4,68,68,0.3392565309033301,105.05685268078176,0.18954999611722634,0.11688575223529223,0.17105064177434315,0.05986997584894533,0.05768985933919879
18,0-1-7-8,4,72,72,0.6347877792706305,105.69164046005238,0.18954999611722634,0.1129135186740265,0.15820153660219205,0.09388434935195686,0.09388434935195278
19,0-1-4-5,4,76,76,1.075069054920355,106.76670951497273,0.18776903624994642,0.0775259283370443,0.05416034608477105,0.10512428874871808,0.10512428874869784
20,0-1-7-8,4,80,80,0.4155862741218479,107.18229578909458,0.0963688575550106,0.058232211103772503,0.058561281799271114,0.05483809810152963,0.054838098101498645
21,0-1-4-5,4,84,84,0.6204361934679887,107.80273198256258,0.15560973195534536,0.08821030596044933,0.07395684667790192,0.08661587670551571,0.0866158767055154
22,0-1-7-8,4,88,88,0.7093529521882218,108.5120849347508,0.14595330120886682,0.0822179666215987,0.095547525958807,0.07937190719482941,0.0793719071948189
23,0-1-4-5,4,92,92,0.5556394068060185,109.06772434155683,0.15383376104339597,0.09762156351924227,0.14599539669076478,0.07510805587923135,0.07840299811135765
24,0-1-7-8,4,96,96,0.6968401454654712,109.7645644870223,0.25941483292293116,0.14550649368359841,0.16075400168335818,0.14373802648355097,0.14373802648353973
25,0-1-4-5,4,100,100,0.81214157525678,110.57670606227907,0.16085369642481134,0.102045005224133,0.16075400168335818,0.057583915266318904,0.04544946593340882
26,0-1-7-8,4,104,104,0.8494033194791671,111.42610938175824,0.15053131845748788,0.09178879738509507,0.09499368570887157,0.07857776236940718,0.07857776236940595
27,0-1-4-5,4,108,108,0.7125185913012014,112.13862797305944,0.06706783751601945,0.039931021766962504,0.0444405880636225,0.033729090102503634,0.02755025576772141
28,0-1-7-8,4,112,112,0.2803937971946173,112.41902177025406,0.07942549777883627,0.05694133816929105,0.0700682781447739,0.04421452904992251,0.0575882180017544
29,0-1-4-5,4,116,116,0.25549792961580026,112.67451969986986,0.0703680157126491,0.04725872053708668,0.04242529609133783,0.036539246815497875,0.060844659506152254
