stage,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,source
dynamic_calibration,1,1,-0.06078063652661658,0.02346533210548052,2.060780636526616,3.4406362830322736,current_C_hat
dynamic_main,1,2,-0.037328529622607354,0.059747448322714725,1.5373285296226071,2.5383287630306013,known_current_anchors
dynamic_main,1,3,-0.044591583706775406,0.0705811641705103,2.5445915837067754,2.5274950471828057,known_current_anchors
dynamic_main,1,4,-0.044529688040785054,0.00018620009646741487,1.044529688040774,1.7318646074723938,known_current_anchors
dynamic_main,1,5,-0.041733832856658326,0.010222591518968871,2.0417338328565604,1.7218282160499558,known_current_anchors
dynamic_main,1,6,-0.030159323289316475,0.04806756664486955,3.0301593232893165,1.6839832409240074,known_current_anchors
dynamic_main,1,7,-0.01206898020406827,-0.02467176875707272,0.5120689802040677,0.8906971725415105,known_current_anchors
dynamic_main,1,8,-0.0048448841568988765,0.0199087708934218,1.5048448841568987,0.8461166328910166,known_current_anchors
dynamic_main,1,9,-0.0006908161061349727,0.03895264701390477,2.5006908161061423,0.8270727567705609,known_current_anchors
dynamic_main,1,10,-0.006977092139014873,0.0394687654184831,3.5069770921390147,0.8265566383659553,known_current_anchors
dynamic_main,1,12,0.006986291565667713,0.0059779040338889065,0.9930137084343322,-0.005977904033889352,known_current_anchors
dynamic_main,1,13,0.021366722547155326,0.020277360272393647,1.9786332774528455,-0.02027736027239394,known_current_anchors
dynamic_main,1,14,-0.023693313746948164,0.05008734477380252,3.0236933137469473,-0.050087344773802396,known_current_anchors
dynamic_calibration,2,1,-0.03039031826330807,0.011732666052740592,2.030390318263308,3.452368949085014,current_C_hat
dynamic_main,2,2,-0.018664264811303677,0.02987372416135714,1.5186642648113033,2.568202487191958,known_current_anchors
dynamic_main,2,3,-0.02229579185338748,0.03529058208525493,2.522295791853388,2.5627856292680606,known_current_anchors
dynamic_main,2,4,-0.022264844020387087,9.310004824170104e-05,1.0222648440203868,1.7319577075206354,known_current_anchors
dynamic_main,2,5,-0.020866916428280424,0.005111295759460677,2.0208669164282798,1.7269395118094164,known_current_anchors
dynamic_main,2,6,-0.015079661644658238,0.024033783322434776,3.0150796616446582,1.708017024246442,known_current_anchors
dynamic_main,2,7,-0.006034490102033774,-0.012335884378535944,0.5060344901020339,0.8783612881629745,known_current_anchors
dynamic_main,2,8,-0.0024224420784493272,0.009954385446710678,1.5024224420784493,0.8560710183377273,known_current_anchors
dynamic_main,2,9,-0.00034540805307092803,0.01947632350693873,2.5003454080530716,0.8465490802774996,known_current_anchors
dynamic_main,2,10,-0.0034885460695071036,0.019734382709268306,3.5034885460695078,0.8462910210752236,known_current_anchors
dynamic_main,2,12,0.0034931457828338286,0.002988952016944642,0.996506854217166,-0.0029889520169447104,known_current_anchors
dynamic_main,2,13,0.010683361273577163,0.010138680136196945,1.9893166387264225,-0.010138680136196994,known_current_anchors
dynamic_main,2,14,-0.011846656873473638,0.02504367238690124,3.0118466568734736,-0.025043672386901156,known_current_anchors
dynamic_calibration,3,1,-0.015195159131653702,0.005866333026370407,2.015195159131654,3.458235282111384,current_C_hat
dynamic_main,3,2,-0.009332132405670324,0.014936862080667579,1.509332132405633,2.583139349272626,known_current_anchors
dynamic_main,3,3,-0.011147895926693518,0.017645291042627465,2.5111478959266944,2.580430920310688,known_current_anchors
dynamic_main,3,4,-0.011132422010193266,4.6550024121128075e-05,1.0111324220101934,1.7320042575447565,known_current_anchors
dynamic_main,3,5,-0.010433458214139879,0.002555647879730172,2.01043345821414,1.7294951596891466,known_current_anchors
dynamic_main,3,6,-0.007539830822328675,0.012016891661217333,3.0075398308223296,1.7200339159076594,known_current_anchors
dynamic_main,3,7,-0.0030172450510170257,-0.006167942189268083,0.5030172450510169,0.8721933459737065,known_current_anchors
dynamic_main,3,8,-0.0012112210392244416,0.004977192723355617,1.5012112210392248,0.8610482110610829,known_current_anchors
dynamic_main,3,9,-0.00017270402653557504,0.009738161753469365,2.500172704026536,0.8562872420309691,known_current_anchors
dynamic_main,3,10,-0.0017442730347538848,0.009867191354607396,3.501744273034754,0.856158212429831,known_current_anchors
dynamic_main,3,12,0.0017465728914172196,0.001494476008472438,0.9982534271085832,-0.0014944760084722724,known_current_anchors
