noise_kind,gain,phase,slot,statistic,root_expected_rms_squared_m,trace_covariance_m2,minimum_covariance_eigenvalue_m2,periodic_relative_residual,link_bias_std_deg,response_loading_frobenius_m_per_radian,conditional_mean
fixed_receiver_tx_link_bias,0.5,559,559,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.0071215218782281564,0.00045644466475874054,5.578689413795422e-07,1.1375556993241045e-16,0.001,1224.0994419976569,E[x | b] = S_phase b; unconditional mean is zero
fixed_receiver_tx_link_bias,0.5,560,560,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.007245716377562917,0.00047250365241675125,6.148731081056656e-07,1.1375556993241045e-16,0.001,1245.4469039495232,E[x | b] = S_phase b; unconditional mean is zero
fixed_receiver_tx_link_bias,1.0,559,559,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.007370707640265469,0.0004889459800644098,9.75231587988075e-07,1.2701117843871332e-16,0.001,1266.9313194361246,E[x | b] = S_phase b; unconditional mean is zero
fixed_receiver_tx_link_bias,1.0,560,560,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.007725304330851396,0.000537122943038442,6.06260908137414e-07,1.2701117843871332e-16,0.001,1327.8820008357645,E[x | b] = S_phase b; unconditional mean is zero
