noise_kind,gain,phase,slot,statistic,root_expected_rms_squared_m,trace_covariance_m2,minimum_covariance_eigenvalue_m2,periodic_relative_residual,bearing_std_deg,actuation_relative_std,two_slot_second_moment_spectral_radius
combined_iid_bearing_and_independent_actuation,0.5,559,559,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.0036914966273718887,0.00012264432614908226,6.042867379029679e-07,1.987499559225696e-16,0.001,0.01,0.25921899819808447
combined_iid_bearing_and_independent_actuation,0.5,560,560,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.003769618640816701,0.00012789022227473477,3.974386948396419e-07,1.987499559225696e-16,0.001,0.01,0.25921899819808447
combined_iid_bearing_and_independent_actuation,0.5,559,559,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.03691496627371889,0.012264432614908227,6.042867379029674e-05,2.7411125293897334e-16,0.01,0.01,0.25921899819808447
combined_iid_bearing_and_independent_actuation,0.5,560,560,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.037696186408167014,0.01278902222747348,3.9743869483964044e-05,2.7411125293897334e-16,0.01,0.01,0.25921899819808447
combined_iid_bearing_and_independent_actuation,1.0,559,559,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.007372014761798814,0.0004891194148336166,1.0040606117819596e-06,1.9718973101359784e-16,0.001,0.01,0.0014259699195353446
combined_iid_bearing_and_independent_actuation,1.0,560,560,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.007726604276190184,0.0005373037227675639,6.132847935355277e-07,1.9718973101359784e-16,0.001,0.01,0.0014259699195353446
combined_iid_bearing_and_independent_actuation,1.0,559,559,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.07372014761798815,0.04891194148336167,0.00010040606117819664,1.9317444805167657e-16,0.01,0.01,0.0014259699195353446
combined_iid_bearing_and_independent_actuation,1.0,560,560,sqrt(E[geometric_RMS_m^2]); FY01-FY09 denominator 9,0.07726604276190185,0.05373037227675642,6.132847935355707e-05,1.9317444805167657e-16,0.01,0.01,0.0014259699195353446
