2.661506142317569902e+04,-5.756704200896892871e+04,2.168249246729014703e+04,-2.584018829428994286e+04,1.815207469095899069e+04,-1.048010520917537360e+04,5.574346680644601292e+03,-9.829077196203124913e+02,-1.016543284175074587e+04,-1.792440080580567155e+03,-2.170244610953403753e+04,-3.349012352176357672e+04,-1.882101001022824175e-12,-3.152876044544856480e-12,-1.656995578697584961e-12,-4.809802231946900715e-12
-5.756704200896892871e+04,1.954209871723728429e+05,-5.957215845137468568e+04,7.099533385301733506e+04,-4.987241532966362138e+04,2.879385241571813094e+04,-1.531539163328288851e+04,2.700516765064446645e+03,2.792929719169261080e+04,4.924688647120536189e+03,5.962698063287563855e+04,9.201335815079162421e+04,6.835568786482991767e-12,9.151610504910713917e-12,5.576974434747406617e-12,1.240415953918194380e-11
2.168249246729014703e+04,-5.957215845137468568e+04,8.095268976601658505e+04,-6.723761485718391486e+04,4.184792530904088926e+04,-2.416091094220211380e+04,3.089523554302418779e+04,-5.447663601578284215e+03,1.047634488300842895e+04,1.847262262081425433e+03,-9.854520800493010029e+03,-5.401133212130365428e+04,-4.274167281181150137e-12,-4.557049792370488049e-12,-3.124966793598891034e-12,-6.650696055051693446e-12
-2.584018829428994286e+04,7.099533385301733506e+04,-6.723761485718391486e+04,1.252861250841433794e+05,-4.987241532966365048e+04,2.879385241571814549e+04,-3.681950795244343317e+04,6.492272668425640404e+03,-1.248522165158129428e+04,-2.201481437299250501e+03,1.174416056728189506e+04,6.436819909636268858e+04,3.441950833506762136e-12,5.474661819353741337e-12,2.823387699682496369e-12,7.787995389501431042e-12
1.815207469095899069e+04,-4.987241532966362138e+04,4.184792530904088926e+04,-4.987241532966365048e+04,1.199999999999998981e+05,-3.464101615137753106e+04,6.411474127809776110e+04,-1.130515874847132181e+04,5.226681596905685001e+04,9.216049851068673888e+03,3.000000000000013824e+04,-5.196152422706619836e+04,4.642805523145384252e-13,6.534076366212052045e-13,2.688470364677441448e-13,-8.399562498423721551e-14
-1.048010520917537360e+04,2.879385241571813094e+04,-2.416091094220211380e+04,2.879385241571814549e+04,-3.464101615137753106e+04,7.999999999999994179e+04,-3.701666313593292580e+04,6.527036446661366426e+03,-3.017626026941957389e+04,-5.320888862379504644e+03,-1.732050807568881282e+04,2.999999999999994543e+04,-1.961487862526744766e-12,-2.283129964029971684e-12,-1.308283526581162173e-12,-4.642133973232846159e-12
5.574346680644601292e+03,-1.531539163328288851e+04,3.089523554302418779e+04,-3.681950795244343317e+04,6.411474127809776110e+04,-3.701666313593292580e+04,1.324322488108075340e+05,5.886665420388950224e+03,9.565175454588116554e+04,1.686598507854223863e+04,7.921274307573414990e+04,-2.829982773384211032e+04,1.071653020913472019e-11,1.073911007062689069e-11,7.680995271498264754e-12,2.324086899398351427e-11
-9.829077196203124913e+02,2.700516765064446645e+03,-5.447663601578284215e+03,6.492272668425640404e+03,-1.130515874847132181e+04,6.527036446661366426e+03,5.886665420388950224e+03,7.380656603935283783e+04,-1.686598507854234776e+04,-2.973928225573363761e+03,-1.396734382017951611e+04,4.990023178878039289e+03,1.771708234699795437e-12,2.316243809043492538e-12,1.173748867672935592e-12,3.313643558961854929e-12
-1.016543284175074587e+04,2.792929719169261080e+04,1.047634488300842895e+04,-1.248522165158129428e+04,5.226681596905685001e+04,-3.017626026941957389e+04,9.565175454588116554e+04,-1.686598507854234776e+04,1.324322488108075922e+05,3.890861684984572639e+04,1.147565190028569777e+05,5.902186598724700161e+03,-9.913252786859830450e-12,-1.068301797737154650e-11,-8.541970114320790799e-12,-1.659290074586525707e-11
-1.792440080580567155e+03,4.924688647120536189e+03,1.847262262081425433e+03,-2.201481437299250501e+03,9.216049851068673888e+03,-5.320888862379504644e+03,1.686598507854223863e+04,-2.973928225573363761e+03,3.890861684984572639e+04,8.960379978474063682e+04,2.023467051238715067e+04,1.040714742531092952e+03,4.267921976632393625e-11,5.113937321729219521e-11,3.064708707611114747e-11,8.490849703992955815e-11
-2.170244610953403753e+04,5.962698063287563855e+04,-9.854520800493010029e+03,1.174416056728189506e+04,3.000000000000013824e+04,-1.732050807568881282e+04,7.921274307573414990e+04,-1.396734382017951611e+04,1.147565190028569777e+05,2.023467051238715067e+04,1.200000000000001164e+05,3.464101615137749468e+04,6.471100044244653186e-12,7.372431092548852916e-12,3.999648939238638751e-12,1.224450095354177889e-11
-3.349012352176357672e+04,9.201335815079162421e+04,-5.401133212130365428e+04,6.436819909636268858e+04,-5.196152422706619836e+04,2.999999999999994543e+04,-2.829982773384211032e+04,4.990023178878039289e+03,5.902186598724700161e+03,1.040714742531092952e+03,3.464101615137749468e+04,7.999999999999988358e+04,6.204249247385710936e-12,8.555021341709150145e-12,5.663781550867132478e-12,1.304296849026396348e-11
-1.882101001022824175e-12,6.835568786482991767e-12,-4.274167281181150137e-12,3.441950833506762136e-12,4.642805523145384252e-13,-1.961487862526744766e-12,1.071653020913472019e-11,1.771708234699795437e-12,-9.913252786859830450e-12,4.267921976632393625e-11,6.471100044244653186e-12,6.204249247385710936e-12,6.542036678960865538e+04,5.535463965340432333e+04,4.278390397598971322e+04,1.175478100901465077e+05
