case,gain,slot,phase_of_current_state,statistic,root_expected_rms_lin_squared_m,trace_second_moment_m2,minimum_second_moment_eigenvalue_m2,initial_true_geometric_root_expected_rms_squared_m
bearing_0.001deg_local,0.5,9,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.7030877885635249,4.448991945844331,3.7552142745625798e-06,
combined_0.001deg_1pct_local,0.5,9,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.7031769131737475,4.45011994098504,8.567065653520868e-06,
exact_local,0.5,10,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.5626891692743697,2.8495719109681232,2.4872730900851512e-08,
bearing_0.001deg_local,0.5,10,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.5627016065736932,2.849697882365539,2.5423543850689574e-06,
combined_0.001deg_1pct_local,0.5,10,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.5627724382549529,2.8504153553348237,8.20820995206472e-06,
exact_local,0.5,11,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.44267703853504986,1.7636666440154585,6.016387858238587e-09,
bearing_0.001deg_local,0.5,11,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.4426922940061698,1.7637882045520055,3.4160139654653185e-06,
combined_0.001deg_1pct_local,0.5,11,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.4427578113768437,1.7643103158169144,6.419648524839939e-06,
exact_local,0.5,12,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.35279563341514564,1.1201828306111443,1.4527524442844716e-09,
bearing_0.001deg_local,0.5,12,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.35281565568197104,1.1203099820486921,2.1410664977646086e-06,
