2.001967877242675886e+00,3.466055345282694322e+00
1.502528493410999255e+00,2.598652675977785265e+00
2.501491262532798743e+00,2.598366553971963810e+00
1.001729525482508709e+00,1.733029748827037642e+00
2.001949743699350304e+00,1.731380999408791199e+00
3.002704782468931910e+00,1.732395693072735776e+00
5.015006743293656255e-01,8.669925417089815456e-01
1.500821649811795666e+00,8.671652087446940493e-01
2.501832224607269950e+00,8.663512241699625749e-01
3.501219279906863768e+00,8.667404397914165726e-01
0.000000000000000000e+00,0.000000000000000000e+00
1.001078466144178503e+00,3.240157194086728046e-04
1.997765660729069026e+00,-1.851228549015493125e-04
3.002576022764110064e+00,-2.590523589273694034e-03
4.000000000000000000e+00,0.000000000000000000e+00
