gap_deg,circular_pair_count,receiver_case_count,exact_max_error_m,ideal_worst_angle_sigma_min_per_m,table_worst_angle_sigma_min_per_m,noise_std_deg,noise_trials_per_case,noise_sample_count,noise_median_error_m,noise_p95_error_m,noise_max_error_m,noise_solver_failures
40,9,63,1.7140339912233615e-08,0.002159555653106548,0.0019218055175103332,0.1,200,12600,0.4912659345211634,1.4095849120091781,3.2172340952759217,0
80,9,63,1.9263601476974298e-10,0.004468205281232849,0.003330462900374637,0.1,200,12600,0.31276647063385415,0.7919399021338287,1.8428078029513835,0
120,9,63,1.7419493118829331e-09,0.00577715810443921,0.0046765699566740275,0.1,200,12600,0.25462152125094634,0.6404828437221104,1.4496190996596856,0
160,9,63,2.2501992022516228e-10,0.006218192675908004,0.005047514584573767,0.1,200,12600,0.23425233849797356,0.5899738555706853,1.2361867861656806,0
