gap_deg,transmitters,receiver_count,exact_max_error_m,ideal_worst_sigma_min_per_m,table_worst_sigma_min_per_m,table_median_sigma_min_per_m,noise_std_deg,noise_trials_per_receiver,noise_sample_count,noise_median_error_m,noise_p95_error_m,noise_max_error_m,noise_solver_failures
40,FY00-FY01-FY02,7,4.5379522718071336e-10,0.0006407602708526044,0.0005387284363395286,0.0010827271546338126,0.1,200,1400,0.5740673317328314,1.5486974752068496,2.82673378184159,0
80,FY00-FY01-FY03,7,3.36248762289194e-10,0.001994941372616711,0.001636094818889924,0.0020912073901365675,0.1,200,1400,0.3384728715505686,1.0023830849081055,1.9401250729865314,0
120,FY00-FY01-FY04,7,2.750894222962969e-10,0.0030018624087352263,0.002418201974812795,0.003177920948000468,0.1,200,1400,0.3166950288293226,0.9117210327400374,1.456246730181633,0
160,FY00-FY01-FY05,7,5.463628768851559e-10,0.003562392887349157,0.002784561533604997,0.003931437026510625,0.1,200,1400,0.28215353745898586,0.8238083914656193,2.0085384570205593,0
