gap_deg,transmitters,receiver,true_x_m,true_y_m,estimate_x_m,estimate_y_m,position_error_m,angle_residual_norm_rad,angle_sigma_min_per_m,angle_jacobian_condition_number
160,FY00-FY01-FY06,FY03,19.044201170560154,110.36901015128855,19.04420117056012,110.36901015128852,4.2780337774645346e-14,3.7238012298709097e-16,0.005577414003023287,1.7623011482872273
160,FY00-FY01-FY06,FY04,-52.10273288589687,91.16087552135994,-52.10273288601401,91.16087552126619,1.5003557536152773e-10,1.0235564842800744e-12,0.006280762645055631,1.6845538495566135
160,FY00-FY01-FY06,FY05,-92.00770214648452,33.74289178069639,-92.00770214648446,33.74289178069647,9.664426065637204e-14,4.440892098500626e-16,0.006407622604151768,3.246057081870851
160,FY00-FY01-FY06,FY07,-52.38886563516721,-90.99674036722632,-52.388865635241274,-90.99674036701384,2.2501992022516228e-10,3.37742533679852e-12,0.00589748006031623,3.4982312577790373
160,FY00-FY01-FY06,FY08,17.30380046043861,-96.46024305186735,17.30380046043875,-96.46024305186751,2.1125954315434834e-13,2.9036099814798757e-15,0.007391730454757804,2.0144471539755013
160,FY00-FY01-FY06,FY09,86.14777204829525,-71.57207116686621,86.14777204829525,-71.5720711668662,1.4210854715202004e-14,2.220446049250313e-16,0.005047514584573767,3.778835062740366
120,FY00-FY01-FY07,FY02,74.96229729000632,63.124115716615876,74.96229729000645,63.12411571661577,1.664854851506445e-13,8.005932084973442e-16,0.005883511086852549,3.354819043899628
120,FY00-FY01-FY07,FY03,19.044201170560154,110.36901015128855,19.044201170560186,110.36901015128858,4.2780337774645346e-14,2.482534153247273e-16,0.005183313371740116,1.622637658696953
120,FY00-FY01-FY07,FY04,-52.10273288589687,91.16087552135994,-52.102732885961885,91.16087552132528,7.367659530428268e-11,4.800505762267451e-13,0.006514991789499553,1.0329199323629135
120,FY00-FY01-FY07,FY05,-92.00770214648452,33.74289178069639,-92.00770214648449,33.742891780696496,1.103058955909832e-13,1.3668035872266427e-15,0.0061751645358635475,1.6349596901396868
120,FY00-FY01-FY07,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983154,-38.232771452192765,1.4836567898030567e-13,8.308148362110449e-16,0.005113659994292335,3.198150457875652
120,FY00-FY01-FY07,FY08,17.30380046043861,-96.46024305186735,17.30380046043787,-96.46024305186762,7.867476219681981e-13,6.0768866309697284e-15,0.007314784064815171,3.4521919880924914
120,FY00-FY01-FY07,FY09,86.14777204829525,-71.57207116686621,86.14777204829522,-71.57207116686624,4.0194366942304644e-14,2.220446049250313e-16,0.0046765699566740275,4.643137053090288
80,FY00-FY01-FY08,FY02,74.96229729000632,63.124115716615876,74.96229729000629,63.12411571661588,2.929642751054232e-14,2.220446049250313e-16,0.005130692063588645,3.6805687709243817
80,FY00-FY01-FY08,FY03,19.044201170560154,110.36901015128855,19.0442011705602,110.36901015128859,6.28539212249071e-14,6.753223014464259e-16,0.00414269875551261,1.9294024098116993
80,FY00-FY01-FY08,FY04,-52.10273288589687,91.16087552135994,-52.10273288594113,91.1608755213438,4.711194388260257e-11,3.164269538000095e-13,0.0042536936659989455,1.5922418612335878
80,FY00-FY01-FY08,FY05,-92.00770214648452,33.74289178069639,-92.00770214648432,33.74289178069661,2.9681641783277857e-13,1.5683742298862787e-15,0.004558210178307123,1.6526689657075289
80,FY00-FY01-FY08,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983155,-38.232771452192665,2.481819080425819e-13,9.742167503148516e-16,0.0041441474354377145,1.932168610575231
80,FY00-FY01-FY08,FY07,-52.38886563516721,-90.99674036722632,-52.38886563517182,-90.9967403672133,1.3809823529425955e-11,1.295514675808524e-13,0.005017131799369518,3.4205538436184946
80,FY00-FY01-FY08,FY09,86.14777204829525,-71.57207116686621,86.14777204829561,-71.5720711668659,4.732449328158371e-13,2.682975169497797e-15,0.003330462900374637,8.780285709189485
40,FY00-FY01-FY09,FY02,74.96229729000632,63.124115716615876,74.96229729000628,63.124115716615876,4.263256414560601e-14,2.220446049250313e-16,0.0037065881193133142,4.96507914866353
40,FY00-FY01-FY09,FY03,19.044201170560154,110.36901015128855,19.044201170560072,110.36901015128849,9.953940410498703e-14,4.47545209131181e-16,0.0025040468627819602,3.2747319568014284
40,FY00-FY01-FY09,FY04,-52.10273288589687,91.16087552135994,-52.102732885928646,91.16087552135265,3.26010294726521e-11,2.3047444004357156e-13,0.002180073688937028,3.244027629432932
40,FY00-FY01-FY09,FY05,-92.00770214648452,33.74289178069639,-92.0077021464845,33.74289178069654,1.498891543130937e-13,0.0,0.0022033978195370152,3.308767024073888
40,FY00-FY01-FY09,FY06,-105.2722906898315,-38.23277145219291,-105.2722906898312,-38.23277145219249,5.145919049738241e-13,1.0068810866857322e-15,0.002044274695962568,3.1284146742818204
40,FY00-FY01-FY09,FY07,-52.38886563516721,-90.99674036722632,-52.388865635168635,-90.99674036720963,1.6758720941198102e-11,5.506236127973916e-14,0.0026309147522846797,3.456544778328878
40,FY00-FY01-FY09,FY08,17.30380046043861,-96.46024305186735,17.303800460438687,-96.46024305186725,1.2650853743966804e-13,2.375981029593432e-15,0.0037154732332374675,4.985343202753657
40,FY00-FY02-FY03,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.0037624365965285658,4.758770483143628
40,FY00-FY02-FY03,FY04,-52.10273288589687,91.16087552135994,-52.10273288589796,91.16087552135942,1.2076091353694584e-12,8.095688135018258e-15,0.0038681892957736193,4.317067800438841
40,FY00-FY02-FY03,FY05,-92.00770214648452,33.74289178069639,-92.00770214648438,33.742891780696404,1.4281732235759946e-13,1.6392246515987586e-15,0.0027536371594054526,3.6713502246151863
40,FY00-FY02-FY03,FY06,-105.2722906898315,-38.23277145219291,-105.2722906898311,-38.232771452193255,5.287221021116476e-13,1.3475038966801862e-15,0.002044792076162347,3.12856618331558
40,FY00-FY02-FY03,FY07,-52.38886563516721,-90.99674036722632,-52.388865635169715,-90.99674036719685,2.9579846299126854e-11,1.2084134076888347e-13,0.0020554585023867815,3.1939324503603115
40,FY00-FY02-FY03,FY08,17.30380046043861,-96.46024305186735,17.303800460438747,-96.46024305186724,1.7922727487913106e-13,1.2670655869532562e-15,0.002325764387106267,3.376178016263379
40,FY00-FY02-FY03,FY09,86.14777204829525,-71.57207116686621,86.14777204829511,-71.57207116686621,1.4210854715202004e-13,3.885780586188048e-16,0.002513103075158737,3.2778318165795874
80,FY00-FY02-FY04,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.005105851043008838,3.6045373927158537
80,FY00-FY02-FY04,FY03,19.044201170560154,110.36901015128855,19.044201170559944,110.36901015128863,2.2628861897962592e-13,1.7342238036525468e-15,0.003330527783841587,8.779902963169292
80,FY00-FY02-FY04,FY05,-92.00770214648452,33.74289178069639,-92.00770214648432,33.742891780696375,1.9945885082418896e-13,3.815356980893987e-15,0.00513419294053895,3.7005252153093746
80,FY00-FY02-FY04,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983131,-38.232771452193134,2.929642751054232e-13,1.0934428697813141e-15,0.004144832100789968,1.9334746143425625
80,FY00-FY02-FY04,FY07,-52.38886563516721,-90.99674036722632,-52.3888656351694,-90.99674036719074,3.565165081676399e-11,2.1250100827032531e-13,0.004253302546516912,1.590707832043946
80,FY00-FY02-FY04,FY08,17.30380046043861,-96.46024305186735,17.303800460438648,-96.46024305186728,8.10921975650084e-14,4.002966042486721e-16,0.00455856107576442,1.654192747921388
80,FY00-FY02-FY04,FY09,86.14777204829525,-71.57207116686621,86.1477720482955,-71.57207116686605,2.8774787681579407e-13,6.280369834735101e-16,0.0041468974055019325,1.937409072911595
120,FY00-FY02-FY05,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.00577715810443921,3.335797031623191
120,FY00-FY02-FY05,FY03,19.044201170560154,110.36901015128855,19.044201170560125,110.36901015128855,2.842170943040401e-14,4.002966042486721e-16,0.004687308362118742,4.598553631886086
120,FY00-FY02-FY05,FY04,-52.10273288589687,91.16087552135994,-52.10273288741899,91.16087552051286,1.7419493118829331e-09,1.0261640714409325e-11,0.005887293259782913,3.9710799671493486
120,FY00-FY02-FY05,FY06,-105.2722906898315,-38.23277145219291,-105.2722906898314,-38.23277145219314,2.547075201979243e-13,7.108895957933346e-16,0.005114318781311639,3.2040631924757697
120,FY00-FY02-FY05,FY07,-52.38886563516721,-90.99674036722632,-52.388865635168,-90.99674036717619,5.014221097288262e-11,4.599749389356108e-13,0.005655039440793022,1.627422201404288
120,FY00-FY02-FY05,FY08,17.30380046043861,-96.46024305186735,17.303800460438726,-96.46024305186734,1.180976748471683e-13,8.308148362110449e-16,0.007213881341822277,1.0137524005489722
120,FY00-FY02-FY05,FY09,86.14777204829525,-71.57207116686621,86.14777204829517,-71.57207116686624,8.987733679556355e-14,4.002966042486721e-16,0.005178181795497132,1.6331382875021072
160,FY00-FY02-FY06,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.0062181926759080275,3.274316085206511
160,FY00-FY02-FY06,FY03,19.044201170560154,110.36901015128855,19.044201170560157,110.36901015128856,1.464821375527116e-14,7.870063977598499e-16,0.005055894859922157,3.7350206679588087
160,FY00-FY02-FY06,FY04,-52.10273288589687,91.16087552135994,-52.10273288607745,91.16087552132417,1.8408577850407465e-10,1.3737538166179525e-12,0.006337124774986438,2.190442944097992
160,FY00-FY02-FY06,FY05,-92.00770214648452,33.74289178069639,-92.00770214648453,33.742891780696326,6.550880341146756e-14,8.308148362110449e-16,0.006857487710218051,3.2599419964749776
160,FY00-FY02-FY06,FY07,-52.38886563516721,-90.99674036722632,-52.38886563515751,-90.99674036708231,1.4433903100645473e-10,2.5996133651238823e-12,0.005762033960031131,3.312361080587677
160,FY00-FY02-FY06,FY08,17.30380046043861,-96.46024305186735,17.30380046043864,-96.46024305186744,9.106319693313691e-14,9.678699938266253e-16,0.007093781692323706,1.6102909946842585
160,FY00-FY02-FY06,FY09,86.14777204829525,-71.57207116686621,86.14777204829524,-71.57207116686618,3.1776437161565096e-14,2.482534153247273e-16,0.005571950141588109,1.7703963382011318
160,FY00-FY02-FY07,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.0065695418018536615,3.3357970316231778
160,FY00-FY02-FY07,FY03,19.044201170560154,110.36901015128855,19.044201170560196,110.36901015128855,4.263256414560601e-14,2.220446049250313e-16,0.005161829557990006,3.366845556635748
160,FY00-FY02-FY07,FY04,-52.10273288589687,91.16087552135994,-52.102732885969615,91.16087552135599,7.28525603548932e-11,5.86267446689411e-13,0.006273392678797994,1.6930634852671516
160,FY00-FY02-FY07,FY05,-92.00770214648452,33.74289178069639,-92.00770214648452,33.742891780696475,8.526512829121202e-14,8.08254562088053e-16,0.0070931823608144755,1.6108190836275373
160,FY00-FY02-FY07,FY06,-105.2722906898315,-38.23277145219291,-105.2722906898315,-38.23277145219292,1.4210854715202004e-14,0.0,0.005160660599908454,3.3808514138873917
160,FY00-FY02-FY07,FY08,17.30380046043861,-96.46024305186735,17.303800460438413,-96.46024305186737,1.9591532917164383e-13,1.8444410139024814e-15,0.00685800227487642,3.2576061038290343
160,FY00-FY02-FY07,FY09,86.14777204829525,-71.57207116686621,86.14777204829524,-71.57207116686621,1.4210854715202004e-14,4.002966042486721e-16,0.005452423545869244,2.371738962678686
120,FY00-FY02-FY08,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.006879094501123394,3.6045373927158564
120,FY00-FY02-FY08,FY03,19.044201170560154,110.36901015128855,19.04420117056016,110.36901015128856,1.5888218580782548e-14,2.220446049250313e-16,0.0051122732778238365,3.185656140356462
120,FY00-FY02-FY08,FY04,-52.10273288589687,91.16087552135994,-52.10273288593684,91.1608755213611,3.9985012617962064e-11,3.3207403535886144e-13,0.005650992460828293,1.6344696255995632
120,FY00-FY02-FY08,FY05,-92.00770214648452,33.74289178069639,-92.00770214648448,33.742891780696525,1.4157463713481829e-13,9.930136612989092e-16,0.00721404562872341,1.0137052778606646
120,FY00-FY02-FY08,FY06,-105.2722906898315,-38.23277145219291,-105.2722906898315,-38.23277145219301,1.0658141036401503e-13,2.220446049250313e-16,0.00518152128808795,1.6262680641798901
120,FY00-FY02-FY08,FY07,-52.38886563516721,-90.99674036722632,-52.38886563517312,-90.9967403672095,1.783398288455608e-11,1.9159979425757105e-13,0.00550437144413557,3.2794136177120206
120,FY00-FY02-FY08,FY09,86.14777204829525,-71.57207116686621,86.14777204829527,-71.5720711668662,2.0097183471152322e-14,2.220446049250313e-16,0.004688818440491104,4.592321674394662
80,FY00-FY02-FY09,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.0070710678118654745,4.758770483143633
80,FY00-FY02-FY09,FY03,19.044201170560154,110.36901015128855,19.044201170560147,110.36901015128853,1.5888218580782548e-14,4.965068306494546e-16,0.004834850161414036,3.1820817623708817
80,FY00-FY02-FY09,FY04,-52.10273288589687,91.16087552135994,-52.10273288592052,91.1608755213622,2.3754569063178966e-11,2.0406329754362725e-13,0.004415055292473325,2.0095367355732705
80,FY00-FY02-FY09,FY05,-92.00770214648452,33.74289178069639,-92.00770214648439,33.74289178069654,1.9652641023440268e-13,1.1433814963738287e-15,0.004558526792240679,1.6540442205930075
80,FY00-FY02-FY09,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983158,-38.23277145219303,1.4785436552731435e-13,6.661338147750939e-16,0.003976091720079891,1.5365889765204699
80,FY00-FY02-FY09,FY07,-52.38886563516721,-90.99674036722632,-52.388865635170895,-90.99674036720769,1.8991898193190802e-11,8.914926703184353e-14,0.004413625030877243,2.006391797855579
80,FY00-FY02-FY09,FY08,17.30380046043861,-96.46024305186735,17.303800460438648,-96.46024305186707,2.8689125362607255e-13,5.471721533801425e-15,0.005134630940213041,3.703037671706852
40,FY00-FY03-FY04,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.0027167665947714806,3.6045373927158497
40,FY00-FY03-FY04,FY02,74.96229729000632,63.124115716615876,74.96229729000626,63.12411571661584,6.703246762680666e-14,1.1281198993241301e-15,0.0037131669311939587,4.980057702611326
40,FY00-FY03-FY04,FY05,-92.00770214648452,33.74289178069639,-92.0077021464844,33.742891780696255,1.764951541129878e-13,2.0327998643932593e-15,0.00371448458313738,4.9830752394001845
40,FY00-FY03-FY04,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983127,-38.232771452192985,2.404323753877496e-13,2.482534153247273e-16,0.0025086531633655242,3.276307686641712
40,FY00-FY03-FY04,FY07,-52.38886563516721,-90.99674036722632,-52.38886563516406,-90.99674036718798,3.846987891071339e-11,2.1167921260206602e-13,0.002178005898445334,3.2431668394335165
40,FY00-FY03-FY04,FY08,17.30380046043861,-96.46024305186735,17.303800460438744,-96.46024305186687,5.016753763159117e-13,2.11762491544448e-15,0.002203398497526995,3.3087673799128487
40,FY00-FY03-FY04,FY09,86.14777204829525,-71.57207116686621,86.14777204829517,-71.57207116686612,1.2058310082691391e-13,7.711855592701269e-16,0.0020463517757606854,3.1290231150030134
80,FY00-FY03-FY05,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.004615311732486,2.06417777247592
80,FY00-FY03-FY05,FY02,74.96229729000632,63.124115716615876,74.96229729000622,63.124115716615755,1.5648080552598201e-13,2.475075345743422e-15,0.005133609074163445,3.6971814937696794
80,FY00-FY03-FY05,FY04,-52.10273288589687,91.16087552135994,-52.10273288589688,91.16087552135996,1.5888218580782548e-14,3.1401849173675503e-16,0.005336409927252213,5.975269859715213
80,FY00-FY03-FY05,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983148,-38.2327714521929,1.5888218580782548e-14,7.631521572941402e-16,0.004842697324002858,3.19686530478999
80,FY00-FY03-FY05,FY07,-52.38886563516721,-90.99674036722632,-52.38886563515707,-90.99674036717805,4.932761721863415e-11,4.1728624910104626e-13,0.004412518367718891,2.0039564827658327
80,FY00-FY03-FY05,FY08,17.30380046043861,-96.46024305186735,17.3038004604388,-96.46024305186724,2.2300177457843823e-13,1.3668035872266427e-15,0.004558176614494203,1.6525227948192511
80,FY00-FY03-FY05,FY09,86.14777204829525,-71.57207116686621,86.1477720482952,-71.57207116686622,5.859285502108464e-14,4.440892098500626e-16,0.0039764800580741255,1.538093299353806
120,FY00-FY03-FY06,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.0060199966902885396,1.634631286726639
120,FY00-FY03-FY06,FY02,74.96229729000632,63.124115716615876,74.96229729000616,63.12411571661577,1.89196597314298e-13,3.969823616854013e-15,0.005883391810951295,3.3718315171635926
120,FY00-FY03-FY06,FY04,-52.10273288589687,91.16087552135994,-52.10273288589687,91.16087552135993,1.4210854715202004e-14,3.1401849173675503e-16,0.005877960322849109,4.008767067324961
120,FY00-FY03-FY06,FY05,-92.00770214648452,33.74289178069639,-92.00770214648482,33.74289178069603,4.69442416577946e-13,4.577566798522238e-15,0.007314277448273297,3.4540905410794553
120,FY00-FY03-FY06,FY07,-52.38886563516721,-90.99674036722632,-52.3888656351253,-90.99674036713711,9.856832098794098e-11,1.7697079687989749e-12,0.005503584095399518,3.2683493072556216
120,FY00-FY03-FY06,FY08,17.30380046043861,-96.46024305186735,17.303800460438897,-96.4602430518672,3.274862100709082e-13,1.6288526917397583e-15,0.00617562632254341,1.6342863449111915
120,FY00-FY03-FY06,FY09,86.14777204829525,-71.57207116686621,86.14777204829527,-71.57207116686614,7.246142549764705e-14,5.087681048627601e-16,0.00583729700011973,1.0769974384084182
160,FY00-FY03-FY07,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.006845687652806598,1.6346312867266404
160,FY00-FY03-FY07,FY02,74.96229729000632,63.124115716615876,74.96229729000608,63.1241157166158,2.5391341843609377e-13,5.37634885190139e-15,0.006404999429674178,3.266123141388182
160,FY00-FY03-FY07,FY04,-52.10273288589687,91.16087552135994,-52.10273288592336,91.16087552141053,5.710588425729773e-11,1.1812265649280245e-12,0.005892363807106704,3.5251003664879605
160,FY00-FY03-FY07,FY05,-92.00770214648452,33.74289178069639,-92.00770214648458,33.74289178069657,1.8650900910311475e-13,1.824282583346435e-15,0.007391735380719765,2.014441005296394
160,FY00-FY03-FY07,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983148,-38.232771452192935,3.1776437161565096e-14,0.0,0.00505299688889139,3.750084519377044
160,FY00-FY03-FY07,FY08,17.30380046043861,-96.46024305186735,17.30380046043876,-96.46024305186725,1.8229956723796902e-13,1.6857942418746735e-15,0.006407951869338886,3.2435656296232627
160,FY00-FY03-FY07,FY09,86.14777204829525,-71.57207116686621,86.14777204829524,-71.57207116686622,2.0097183471152322e-14,1.1102230246251565e-16,0.005578189897317805,1.7611607377668015
160,FY00-FY03-FY08,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.007071067811865476,2.064177772475912
160,FY00-FY03-FY08,FY02,74.96229729000632,63.124115716615876,74.96229729000588,63.12411571661609,4.893983986483637e-13,6.6881147206339236e-15,0.006853377834643482,3.278764581260105
160,FY00-FY03-FY08,FY04,-52.10273288589687,91.16087552135994,-52.102732885912985,91.16087552137787,2.4110757774340408e-11,4.609998411060147e-13,0.005759646611859565,3.339113571553416
160,FY00-FY03-FY08,FY05,-92.00770214648452,33.74289178069639,-92.00770214648446,33.74289178069652,1.399606873320082e-13,9.222205069512407e-16,0.007087577200552131,1.615782531811884
160,FY00-FY03-FY08,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983151,-38.23277145219294,3.8263897345803626e-14,3.8459253727671276e-16,0.00557552476974707,1.7650874058798123
160,FY00-FY03-FY08,FY07,-52.38886563516721,-90.99674036722632,-52.38886563517771,-90.99674036720728,2.1746420161621395e-11,2.1187538204683296e-13,0.005760985097892571,3.324013204455012
160,FY00-FY03-FY08,FY09,86.14777204829525,-71.57207116686621,86.14777204829524,-71.57207116686622,2.0097183471152322e-14,0.0,0.005057085252965712,3.728859663242338
120,FY00-FY03-FY09,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.006879094501123398,3.6045373927158515
120,FY00-FY03-FY09,FY02,74.96229729000632,63.124115716615876,74.96229729000576,63.12411571661651,8.408756189637665e-13,6.616780201862999e-15,0.007310211631288384,3.469425868530892
120,FY00-FY03-FY09,FY04,-52.10273288589687,91.16087552135994,-52.10273288590682,91.160875521368,1.2801519380992429e-11,2.2674856132425944e-13,0.005505399836318072,3.2937475050856984
120,FY00-FY03-FY09,FY05,-92.00770214648452,33.74289178069639,-92.00770214648443,33.74289178069673,3.515571301265078e-13,1.7972672875024106e-15,0.006170875205588895,1.6412660235027499
120,FY00-FY03-FY09,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983151,-38.232771452192914,1.5888218580782548e-14,4.965068306494546e-16,0.005837471068972164,1.0769245951384454
120,FY00-FY03-FY09,FY07,-52.38886563516721,-90.99674036722632,-52.38886563517465,-90.99674036720474,2.2834579582623534e-11,1.3750700706776838e-13,0.00565326300096691,1.630499376739599
120,FY00-FY03-FY09,FY08,17.30380046043861,-96.46024305186735,17.303800460438843,-96.46024305186688,5.243112131658241e-13,9.735206325051264e-15,0.005883352317349123,3.3778262270452464
40,FY00-FY04-FY05,FY01,100.0,0.0,100.0,0.0,0.0,0.0,0.0022815779239972103,3.335797031623189
40,FY00-FY04-FY05,FY02,74.96229729000632,63.124115716615876,74.96229729000618,63.12411571661564,2.74181124120428e-13,1.383330760426861e-15,0.0027529967542744213,3.6708259536813626
40,FY00-FY04-FY05,FY03,19.044201170560154,110.36901015128855,19.04420117055999,110.36901015128866,1.9907880820997406e-13,6.377745716588144e-16,0.00391736221182027,3.823455517235516
40,FY00-FY04-FY05,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983151,-38.23277145219289,2.0097183471152322e-14,0.0,0.003906364517093855,3.81890015280315
40,FY00-FY04-FY05,FY07,-52.38886563516721,-90.99674036722632,-52.388865635147496,-90.99674036718207,4.844372820601989e-11,3.611544449758753e-13,0.0026284580001791503,3.4552484546796673
40,FY00-FY04-FY05,FY08,17.30380046043861,-96.46024305186735,17.303800460438662,-96.46024305186731,6.824540119616012e-14,5.551115123125783e-16,0.0023236209153397257,3.374940443099114
