2.000000000000000000e+00,3.464101615137754386e+00
1.500000000000000000e+00,2.598076211353316012e+00
2.500000000000000000e+00,2.598076211353316012e+00
1.000000000000000000e+00,1.732050807568877193e+00
2.000000000000000000e+00,1.732050807568877193e+00
3.000000000000000000e+00,1.732050807568877193e+00
5.000000000000000000e-01,8.660254037844383745e-01
1.500000000000000000e+00,8.660254037844383745e-01
2.500000000000000000e+00,8.660254037844383745e-01
3.500000000000000000e+00,8.660254037844383745e-01
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
