path,path_index,x_d,h_d,alpha_rad,beta_rad,angle_sum_rad,min_triangle_interior_angle_rad,apex_interior_angle_rad,sigma_min_rad_per_d,sigma_max_rad_per_d,condition_number,angle_box_inverse_amplification_d_per_rad,inverse_reconstruction_error_d
base_interior_x2,0,2.0,0.1,0.049958395721942765,0.049958395721942765,0.09991679144388553,0.049958395721942765,3.0416758621459077,0.03526717113149863,0.7053434226299726,20.0,40.1,0.0
base_interior_x2,1,2.0,0.01,0.0049999583339583225,0.0049999583339583225,0.009999916667916645,0.0049999583339583225,3.1315927369218763,0.003535445519794744,0.7070891039589484,199.9999999999999,400.01,0.0
base_interior_x2,2,2.0,0.001,0.0004999999583333395,0.0004999999583333395,0.000999999916666679,0.0004999999583333395,3.1405926536731266,0.0003535533022049482,0.7071066044098964,2000.0,4000.0010000000007,2.168404344971009e-19
base_interior_x2,3,2.0,0.0001,4.9999999958333334e-05,4.9999999958333334e-05,9.999999991666667e-05,4.9999999958333334e-05,3.1414926535898764,3.5355338970939035e-05,0.7071067794187805,19999.999999999996,40000.0001,0.0
base_interior_x2,4,2.0,1e-06,4.999999999999583e-07,4.999999999999583e-07,9.999999999999165e-07,4.999999999999583e-07,3.141591653589793,3.5355339059318533e-07,0.7071067811863707,2000000.0000000002,4000000.0000010007,2.117582368135751e-22
base_interior_x2,5,2.0,1e-08,5e-09,5e-09,1e-08,5e-09,3.141592643589793,3.535533905932738e-09,0.7071067811865476,200000000.0,400000000.0,0.0
base_exterior_x_minus1,6,-1.0,0.1,3.0419240010986313,0.019997333973150535,3.0619213350717818,0.019997333973150535,0.07967131851801135,0.015604151114502647,1.0148100939419287,65.03462357518151,75.43101169280445,4.443059973708341e-16
base_exterior_x_minus1,7,-1.0,0.01,3.131592986903128,0.0019999973333397333,3.1335929842364676,0.0019999973333397333,0.007999669353325523,0.0015688433254447468,1.0197535921634504,650.0034615466548,750.0431660077988,1.754286397988663e-14
base_exterior_x_minus1,8,-1.0,0.001,3.1405926539231266,0.0001999999973333334,3.14079265392046,0.0001999999973333334,0.0007999996693333067,0.00015689282234867592,1.019803399575449,6500.000346153856,7500.004316666007,1.3034021080787092e-13
base_exterior_x_minus1,9,-1.0,0.0001,3.1414926535901264,1.9999999997333335e-05,3.141512653590124,1.9999999997333335e-05,7.999999966923355e-05,1.5689290725292793e-05,1.019803897687122,65000.00003461536,75000.00043166666,2.834399668522983e-13
base_exterior_x_minus1,10,-1.0,1e-06,3.1415916535897934,1.9999999999999732e-07,3.1415918535897935,1.9999999999999732e-07,7.999999995789153e-07,1.5689290811046158e-07,1.0198039027180532,6500000.000000337,7500000.000004318,3.728617414822602e-10
base_exterior_x_minus1,11,-1.0,1e-08,3.141592643589793,2e-09,3.1415926455897933,2e-09,7.999999773744548e-09,1.5689290811054722e-09,1.0198039027185573,650000000.0000002,750000000.0,1.297384666365531e-08
high_vertical_x2,12,2.0,4.0,1.1071487177940904,1.1071487177940904,2.214297435588181,0.9272952180016123,0.9272952180016123,0.1414213562373095,0.28284271247461906,2.0000000000000004,10.0,8.881784197001252e-16
high_vertical_x2,13,2.0,10.0,1.373400766945016,1.373400766945016,2.746801533890032,0.39479111969976133,0.39479111969976133,0.02719641466102106,0.1359820733051053,5.000000000000001,52.0,2.220446049250313e-16
high_vertical_x2,14,2.0,100.0,1.550798992821746,1.550798992821746,3.101597985643492,0.03999466794630102,0.03999466794630102,0.00028272962062636845,0.014136481031318425,50.00000000000001,5002.0,1.9895196601282805e-13
high_vertical_x2,15,2.0,1000.0,1.5687963294615568,1.5687963294615568,3.1375926589231136,0.003999994666679552,0.003999994666679552,2.8284158110829455e-06,0.001414207905541473,500.0000000000001,500002.00000000006,5.1727511163335294e-11
far_diagonal_x2t_h_t,16,20.0,10.0,0.4636476090008061,2.5829933382462307,3.046640947247037,0.09495170634275629,0.09495170634275629,0.0032440596449572192,0.06927095236146896,21.35316854273882,434.37311150668626,1.5888218580782548e-14
far_diagonal_x2t_h_t,17,200.0,100.0,0.4636476090008061,2.669815142409043,3.133462751409849,0.008129902179943915,0.008129902179943915,2.5915003291295684e-05,0.006376022079635053,246.03593555307893,54569.461056528395,3.400078776287465e-12
far_diagonal_x2t_h_t,18,2000.0,1000.0,0.4636476090008061,2.6771437627091936,3.14079137171,0.0008012818797933363,0.0008012818797933363,2.5359032245531646e-07,0.000632962357611343,2496.00359936004,5576762.928445219,4.555470031481972e-10
far_horizontal_h1,19,10.0,1.0,0.09966865249116202,2.976443976175166,3.076112628666328,0.06548002492346505,0.06548002492346505,0.005572390817459447,0.1920858286980443,34.47099009929452,246.42696686848214,4.463041323674983e-14
far_horizontal_h1,20,100.0,1.0,0.009999666686665238,3.1311763636588235,3.1411760303454885,0.0004166232443045814,0.0004166232443045814,3.0053108468277905e-06,0.014439015338064234,4804.499791861835,470473.53254061955,6.641064387888242e-11
far_horizontal_h1,21,1000.0,1.0,0.0009999996666668666,3.1405886378629018,3.1415886375295687,4.016060224376616e-06,4.016060224376616e-06,2.8454672251553355e-09,0.0014170554827242338,498004.49999801914,497004748.5032092,7.908515133505999e-08
