receiver_id,offset_label,offset_x_d,offset_y_d,sign,amplitude_d,delta_c_x_d,delta_c_y_d,right_singular_vector_x,right_singular_vector_y,g_spectral_norm,predicted_bias_x_d,predicted_bias_y_d,candidate_bias_x_d,candidate_bias_y_d,candidate_linear_error_d,accepted,candidate_x,candidate_y,full_residual_rad,message
2,Q,0.0,0.0,1,0.002,0.001732050807568877,-0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.0020207259421636905,-0.0005,-0.0020233955941952875,-0.0005017358911767467,3.1843932149338412e-06,True,1.4979766044058047,2.5975744754621393,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,1,0.002,0.001732050807568877,-0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.0020207259421636905,-0.0005,-0.001950804021593422,-0.0004334561972267892,9.652539906032469e-05,True,1.5480491959784066,2.5976427551560892,0.0,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,1,0.002,0.001732050807568877,-0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.0020207259421636905,-0.0005,-0.002086448313697309,-0.000514508887816234,6.730481368867337e-05,True,1.4979135516863027,2.6475617024654996,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,1,0.002,0.001732050807568877,-0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.0020207259421636905,-0.0005,-0.0018821550380339058,-0.0003703064924587274,0.0001897954197806262,True,1.5981178449619662,2.5977059048608573,0.0,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,1,0.002,0.001732050807568877,-0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.0020207259421636905,-0.0005,-0.002156469850734144,-0.0005287239085656203,0.0001387496725663515,True,1.4978435301492659,2.6975474874447505,0.0,`gtol` termination condition is satisfied.
2,Q,0.0,0.0,1,0.0048,0.004156921938165304,-0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.004849742261192857,-0.0012,-0.00486514357711032,-0.0012100298386110708,1.8379287106784996e-05,True,1.4951348564228897,2.596866181514705,0.0,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,1,0.0048,0.004156921938165304,-0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.004849742261192857,-0.0012,-0.0046904566662218095,-0.0010455127868520542,0.00022189682240063608,True,1.5453095433337782,2.597030698566464,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,1,0.0048,0.004156921938165304,-0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.004849742261192857,-0.0012,-0.005017411750160017,-0.001241112217038598,0.00017263624161901033,True,1.49498258824984,2.6468350991362772,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,1,0.0048,0.004156921938165304,-0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.004849742261192857,-0.0012,-0.004525269149558087,-0.0008933779463782265,0.0004464301557256005,True,1.595474730850442,2.597182833406938,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,1,0.0048,0.004156921938165304,-0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.004849742261192857,-0.0012,-0.005186577025719341,-0.0012757245513324023,0.0003452417504707471,True,1.4948134229742807,2.6968004868019837,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,Q,0.0,0.0,1,0.005,0.004330127018922192,-0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.005051814855409226,-0.00125,-0.005068528224390301,-0.0012608854888833676,1.994569053523762e-05,True,1.4949314717756097,2.5968153258644326,0.0,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,1,0.005,0.004330127018922192,-0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.005051814855409226,-0.00125,-0.004886527870045176,-0.00108946533738985,0.00023041520225473464,True,1.5451134721299549,2.596986746015926,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,1,0.005,0.004330127018922192,-0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.005051814855409226,-0.00125,-0.005227211194085868,-0.0012932949555048978,0.00018066081144880956,True,1.4947727888059141,2.646782916397811,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,1,0.005,0.004330127018922192,-0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.005051814855409226,-0.00125,-0.004714425489635854,-0.0009309485719040111,0.00046435481897687703,True,1.5952855745103642,2.597145262781412,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,1,0.005,0.004330127018922192,-0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.005051814855409226,-0.00125,-0.005403508167655335,-0.0013293866476580263,0.00036054185014366773,True,1.4945964918323447,2.696746824705658,0.0,`gtol` termination condition is satisfied.
2,Q,0.0,0.0,1,0.01,0.008660254037844385,-0.005000000000000004,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.010103629710818452,-0.0025,-0.010170670742297938,-0.0025437848627976045,8.007255529854459e-05,True,1.489829329257702,2.5955324264905184,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,1,0.01,0.008660254037844385,-0.005000000000000004,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.010103629710818452,-0.0025,-0.009804923285825273,-0.0021985183135986297,0.0004244016205996624,True,1.5401950767141748,2.5958776930397174,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,1,0.01,0.008660254037844385,-0.005000000000000004,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.010103629710818452,-0.0025,-0.01049157089704189,-0.002610221169083715,0.0004032952641460468,True,1.489508429102958,2.645465990184232,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,1,0.01,0.008660254037844385,-0.005000000000000004,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.010103629710818452,-0.0025,-0.009459110808273552,-0.0018793230345823808,0.0008947874111417231,True,1.5905408891917265,2.5961968883187336,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,1,0.01,0.008660254037844385,-0.005000000000000004,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.010103629710818452,-0.0025,-0.01084834727213635,-0.0026842854681872197,0.0007671801482834777,True,1.4891516527278637,2.695391925885129,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,Q,0.0,0.0,1,0.02,0.01732050807568877,-0.010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.020207259421636904,-0.005,-0.020476932941239312,-0.005177109808240932,0.0003226324400147787,True,1.4795230670587607,2.592899101545075,1.3322676295501878e-15,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,1,0.02,0.01732050807568877,-0.010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.020207259421636904,-0.005,-0.019738385809522363,-0.004476694536895476,0.0007026315334884834,True,1.5302616141904777,2.5935995168164205,8.43769498715119e-15,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,1,0.02,0.01732050807568877,-0.010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.020207259421636904,-0.005,-0.021133100486053547,-0.005316663253096987,0.0009784974667428157,True,1.4788668995139465,2.642759548100219,0.0,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,1,0.02,0.01732050807568877,-0.010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.020207259421636904,-0.005,-0.019040269918164876,-0.0038295037166520274,0.001652853910829783,True,1.5809597300818352,2.594246707636664,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,1,0.02,0.01732050807568877,-0.010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,-0.020207259421636904,-0.005,-0.021863677151779726,-0.005472575989633466,0.0017225120500912459,True,1.4781363228482203,2.6926036353636826,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,Q,0.0,0.0,-1,0.002,-0.001732050807568877,0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.0020207259421636905,0.0005,0.002018062256084363,0.0004982717755126487,3.1752139152950867e-06,True,1.5020180622560844,2.5985744831288287,0.0,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,-1,0.002,-0.001732050807568877,0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.0020207259421636905,0.0005,0.0019457475642004063,0.00043037336345097543,0.00010232118880825745,True,1.5519457475642005,2.598506584716767,0.0,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,-1,0.002,-0.001732050807568877,0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.0020207259421636905,0.0005,0.002080558557381318,0.0005107941636199875,6.079848527747808e-05,True,1.5020805585573813,2.648587005516936,0.0,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,-1,0.002,-0.001732050807568877,0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.0020207259421636905,0.0005,0.0018773534248364143,0.0003675635510784758,0.00019517963963411656,True,1.6018773534248365,2.5984437749043945,0.0,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,-1,0.002,-0.001732050807568877,0.0010000000000000007,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.0020207259421636905,0.0005,0.002149922450795483,0.0005247182858734156,0.0001315398475716187,True,1.5021499224507955,2.6986009296391895,0.0,`gtol` termination condition is satisfied.
2,Q,0.0,0.0,-1,0.0048,-0.004156921938165304,0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.004849742261192857,0.0012,0.004834423418597078,0.001190076147193686,1.825239143223805e-05,True,1.504834423418597,2.5992662875005097,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,-1,0.0048,-0.004156921938165304,0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.004849742261192857,0.0012,0.004661331344170128,0.001027755330309521,0.00025527808345043645,True,1.5546613313441702,2.5991039666836255,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,-1,0.0048,-0.004156921938165304,0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.004849742261192857,0.0012,0.004983486574233531,0.0012197149361155013,0.0001351895705176997,True,1.5049834865742335,2.6492959262894313,0.0,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,-1,0.0048,-0.004156921938165304,0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.004849742261192857,0.0012,0.00449761173414398,0.0008775783132639603,0.0004774428260613333,True,1.604497611734144,2.59895378966658,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,-1,0.0048,-0.004156921938165304,0.0024000000000000015,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.004849742261192857,0.0012,0.005148863754407262,0.0012526515844810682,0.00030372003070456617,True,1.5051488637544073,2.699328862937797,0.0,`gtol` termination condition is satisfied.
2,Q,0.0,0.0,-1,0.005,-0.004330127018922192,0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.005051814855409226,0.00125,0.0050351947044280365,0.0012392343049971721,1.9802262687164035e-05,True,1.505035194704428,2.599315445658313,2.220446049250313e-16,`gtol` termination condition is satisfied.
2,plus_0.05_x,0.05,0.0,-1,0.005,-0.004330127018922192,0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.005051814855409226,0.00125,0.004854924858789023,0.0010701972265771964,0.000266635909246365,True,1.554854924858789,2.599146408579893,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.05_y,0.0,0.05,-1,0.005,-0.004330127018922192,0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.005051814855409226,0.00125,0.0051904000022358066,0.001270077367332867,0.00014003193778550573,True,1.5051904000022358,2.6493462887206487,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.10_x,0.1,0.0,-1,0.005,-0.004330127018922192,0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.005051814855409226,0.00125,0.004684415259474717,0.0009138048403003474,0.0004980056711507568,True,1.6046844152594748,2.5989900161936164,4.440892098500626e-16,`gtol` termination condition is satisfied.
2,plus_0.10_y,0.0,0.1,-1,0.005,-0.004330127018922192,0.002500000000000002,0.8660254037844385,-0.5000000000000003,1.0408329997330665,0.005051814855409226,0.00125,0.005362586621641352,0.0013043508115337943,0.00031548867079725254,True,1.5053625866216414,2.69938056216485,0.0,`gtol` termination condition is satisfied.
