global_worst_receiver_id,receiver_offset_label,receiver_offset_x_d,receiver_offset_y_d,sign,amplitude_d,delta_c_x_d,delta_c_y_d,status,failure_count,failures,broadcast_slots,tx_uses,action_count,records,final_apex_error_d,final_max_receiver_error_d,final_team_max_error_d,predicted_max_receiver_error_d,receiver_errors_json,predicted_receiver_errors_json,final_max_angle_error_rad
2,Q,0.0,0.0,1,0.0048,0.004156921938165304,-0.0024000000000000015,converged,0,{},4,12,28,40,0.004800000000000184,0.0049959948768425405,0.0049959948768425405,0.004995998398718719,"{""10"": 0.0025006001320455064, ""12"": 0.004849739930088193, ""13"": 0.0041569199400752765, ""14"": 0.0034640999505071157, ""2"": 0.00499599470871353, ""3"": 0.00250059746221403, ""4"": 0.004799996472081742, ""5"": 0.0029110537805529333, ""6"": 0.002402496321726257, ""7"": 0.0049959948768425405, ""8"": 0.003175558832305184, ""9"": 0.0025409757366526044}","{""10"": 0.002497999199359357, ""12"": 0.004849742261192855, ""13"": 0.004156921938165304, ""14"": 0.003464101615137753, ""2"": 0.004995998398718719, ""3"": 0.002497999199359357, ""4"": 0.004800000000000001, ""5"": 0.002909845356715713, ""6"": 0.0023999999999999985, ""7"": 0.004995998398718718, ""8"": 0.0031749015732775083, ""9"": 0.002539921258622006}",5.452037488140604e-09
2,Q,0.0,0.0,1,0.005,0.004330127018922192,-0.002500000000000002,converged,0,{},4,12,28,40,0.004999999999999799,0.005204161021475152,0.005204161021475152,0.0052041649986653326,"{""10"": 0.002604904916158794, ""12"": 0.005051812220453922, ""13"": 0.004330124760388632, ""14"": 0.00360843730032423, ""2"": 0.005204160823511115, ""3"": 0.002604901898249988, ""4"": 0.004999996009070328, ""5"": 0.0030324000839777507, ""6"": 0.0025027087808769974, ""7"": 0.005204161021475152, ""8"": 0.003307902191384953, ""9"": 0.0026468954319692414}","{""10"": 0.002602082499332664, ""12"": 0.005051814855409225, ""13"": 0.004330127018922192, ""14"": 0.0036084391824351596, ""2"": 0.0052041649986653326, ""3"": 0.0026020824993326637, ""4"": 0.005000000000000002, ""5"": 0.0030310889132455347, ""6"": 0.0024999999999999988, ""7"": 0.0052041649986653326, ""8"": 0.003307189138830738, ""9"": 0.00264575131106459}",6.163911603351835e-09
2,Q,0.0,0.0,1,0.01,0.008660254037844385,-0.005000000000000004,converged,0,{},4,12,33,45,0.009999999999999983,0.01040829887851944,0.01040829887851944,0.010408329997330665,"{""10"": 0.005215452625675228, ""12"": 0.010103608600693814, ""13"": 0.008660235943452221, ""14"": 0.0072168632862106286, ""2"": 0.010408295705728345, ""3"": 0.005215453011139101, ""4"": 0.009999967393401058, ""5"": 0.00606742552290566, ""6"": 0.005010844873976466, ""7"": 0.01040829887851944, ""8"": 0.006617238488497483, ""9"": 0.005296086548336034}","{""10"": 0.005204164998665328, ""12"": 0.01010362971081845, ""13"": 0.008660254037844385, ""14"": 0.007216878364870319, ""2"": 0.010408329997330665, ""3"": 0.005204164998665327, ""4"": 0.010000000000000004, ""5"": 0.006062177826491069, ""6"": 0.0049999999999999975, ""7"": 0.010408329997330665, ""8"": 0.006614378277661476, ""9"": 0.00529150262212918}",5.633332467169794e-09
2,Q,0.0,0.0,-1,0.0048,-0.004156921938165304,0.0024000000000000015,converged,0,{},4,12,28,40,0.004800000000000184,0.0049959948929528125,0.0049959948929528125,0.004995998398718719,"{""10"": 0.002495408092330021, ""12"": 0.004849739936539033, ""13"": 0.004156919945604631, ""14"": 0.0034640999542290274, ""2"": 0.0049959948929528125, ""3"": 0.0024954054330823872, ""4"": 0.004799996615747078, ""5"": 0.0029086345752466947, ""6"": 0.0023975079983398384, ""7"": 0.004995994725335938, ""8"": 0.0031742390566342612, ""9"": 0.002538864088691795}","{""10"": 0.002497999199359357, ""12"": 0.004849742261192855, ""13"": 0.004156921938165304, ""14"": 0.003464101615137753, ""2"": 0.004995998398718719, ""3"": 0.002497999199359357, ""4"": 0.004800000000000001, ""5"": 0.002909845356715713, ""6"": 0.0023999999999999985, ""7"": 0.004995998398718718, ""8"": 0.0031749015732775083, ""9"": 0.002539921258622006}",5.385584422867851e-09
2,Q,0.0,0.0,-1,0.005,-0.004330127018922192,0.002500000000000002,converged,0,{},4,12,28,40,0.004999999999999991,0.005204161040430441,0.005204161040430441,0.0052041649986653326,"{""10"": 0.002599271188274572, ""12"": 0.0050518122280491795, ""13"": 0.004330124766899424, ""14"": 0.0036084373057496677, ""2"": 0.005204161040430441, ""3"": 0.0025992681828271077, ""4"": 0.004999996178218869, ""5"": 0.0030297750777307864, ""6"": 0.002497296102017231, ""7"": 0.005204160843094994, ""8"": 0.0033064701436964867, ""9"": 0.0026446041475592084}","{""10"": 0.002602082499332664, ""12"": 0.005051814855409225, ""13"": 0.004330127018922192, ""14"": 0.0036084391824351596, ""2"": 0.0052041649986653326, ""3"": 0.0026020824993326637, ""4"": 0.005000000000000002, ""5"": 0.0030310889132455347, ""6"": 0.0024999999999999988, ""7"": 0.0052041649986653326, ""8"": 0.003307189138830738, ""9"": 0.00264575131106459}",6.085671522271241e-09
2,Q,0.0,0.0,-1,0.01,-0.008660254037844385,0.005000000000000004,converged,0,{},4,12,33,45,0.009999999999999983,0.010408299176665347,0.010408299176665347,0.010408329997330665,"{""10"": 0.0051929180258090835, ""12"": 0.010103608722222823, ""13"": 0.008660236047619119, ""14"": 0.007216863373016302, ""2"": 0.010408299176665347, ""3"": 0.005192917650759035, ""4"": 0.009999970099859732, ""5"": 0.00605692558273111, ""6"": 0.004989194188142401, ""7"": 0.010408296023998788, ""8"": 0.0066115102124928524, ""9"": 0.005286921341955269}","{""10"": 0.005204164998665328, ""12"": 0.01010362971081845, ""13"": 0.008660254037844385, ""14"": 0.007216878364870319, ""2"": 0.010408329997330665, ""3"": 0.005204164998665327, ""4"": 0.010000000000000004, ""5"": 0.006062177826491069, ""6"": 0.0049999999999999975, ""7"": 0.010408329997330665, ""8"": 0.006614378277661476, ""9"": 0.00529150262212918}",5.584756879173369e-09
2,plus_0.05_x,0.05,0.0,1,0.0048,0.004156921938165304,-0.0024000000000000015,converged,0,{},4,12,33,45,0.004800000000000184,0.004995995512094792,0.004995995512094792,0.004995998398718719,"{""10"": 0.0025005975907774914, ""12"": 0.0048497639633782175, ""13"": 0.004156943973364413, ""14"": 0.003464123983352163, ""2"": 0.004995995512094792, ""3"": 0.0025005971021854665, ""4"": 0.004799997559243856, ""5"": 0.0029110547182292575, ""6"": 0.0024024963146225364, ""7"": 0.004995994189966211, ""8"": 0.003175561003134517, ""9"": 0.002540977195289604}","{""10"": 0.002497999199359357, ""12"": 0.004849742261192855, ""13"": 0.004156921938165304, ""14"": 0.003464101615137753, ""2"": 0.004995998398718719, ""3"": 0.002497999199359357, ""4"": 0.004800000000000001, ""5"": 0.002909845356715713, ""6"": 0.0023999999999999985, ""7"": 0.004995998398718718, ""8"": 0.0031749015732775083, ""9"": 0.002539921258622006}",6.365424187748658e-09
2,plus_0.05_x,0.05,0.0,1,0.005,0.004330127018922192,-0.002500000000000002,converged,0,{},4,12,33,45,0.004999999999999799,0.005204161732155551,0.005204161732155551,0.0052041649986653326,"{""10"": 0.002604902042659979, ""12"": 0.0050518382997486455, ""13"": 0.0043301508396833555, ""14"": 0.0036084633796193977, ""2"": 0.005204161732155551, ""3"": 0.0026049014912312546, ""4"": 0.0049999972380290175, ""5"": 0.00303240114362121, ""6"": 0.0025027087725112787, ""7"": 0.005204160244932916, ""8"": 0.0033079046452435144, ""9"": 0.0026468970807719274}","{""10"": 0.002602082499332664, ""12"": 0.005051814855409225, ""13"": 0.004330127018922192, ""14"": 0.0036084391824351596, ""2"": 0.0052041649986653326, ""3"": 0.0026020824993326637, ""4"": 0.005000000000000002, ""5"": 0.0030310889132455347, ""6"": 0.0024999999999999988, ""7"": 0.0052041649986653326, ""8"": 0.003307189138830738, ""9"": 0.00264575131106459}",6.8814278719742106e-09
2,plus_0.05_x,0.05,0.0,1,0.01,0.008660254037844385,-0.005000000000000004,converged,0,{},4,12,36,48,0.009999999999999983,0.010408303093798959,0.010408303093798959,0.010408329997330665,"{""10"": 0.005215453985096651, ""12"": 0.010103629590327401, ""13"": 0.00866025391299452, ""14"": 0.007216878235661639, ""2"": 0.010408303093798959, ""3"": 0.005215449737534504, ""4"": 0.00999997725740037, ""5"": 0.00606742565585838, ""6"": 0.005010844876204649, ""7"": 0.010408292653886925, ""8"": 0.00661723823291889, ""9"": 0.005296086217253969}","{""10"": 0.005204164998665328, ""12"": 0.01010362971081845, ""13"": 0.008660254037844385, ""14"": 0.007216878364870319, ""2"": 0.010408329997330665, ""3"": 0.005204164998665327, ""4"": 0.010000000000000004, ""5"": 0.006062177826491069, ""6"": 0.0049999999999999975, ""7"": 0.010408329997330665, ""8"": 0.006614378277661476, ""9"": 0.00529150262212918}",8.787478300575913e-09
2,plus_0.05_x,0.05,0.0,-1,0.0048,-0.004156921938165304,0.0024000000000000015,converged,0,{},4,12,33,45,0.004800000000000184,0.004995995671095902,0.004995995671095902,0.004995998398718719,"{""10"": 0.00249540559944626, ""12"": 0.004849715969759583, ""13"": 0.004156895978824071, ""14"": 0.0034640759878916683, ""2"": 0.004995995671095902, ""3"": 0.0024954050766800755, ""4"": 0.004799997696159563, ""5"": 0.0029086355210729145, ""6"": 0.0023975080053686916, ""7"": 0.0049959940412490815, ""8"": 0.003174241218433199, ""9"": 0.0025388655416380985}","{""10"": 0.002497999199359357, ""12"": 0.004849742261192855, ""13"": 0.004156921938165304, ""14"": 0.003464101615137753, ""2"": 0.004995998398718719, ""3"": 0.002497999199359357, ""4"": 0.004800000000000001, ""5"": 0.002909845356715713, ""6"": 0.0023999999999999985, ""7"": 0.004995998398718718, ""8"": 0.0031749015732775083, ""9"": 0.002539921258622006}",7.488628162022337e-09
