path,path_index,receiver_id,anchor,t,circle_theta_rad,point_x,point_y,angle_01_rad,angle_02_rad,angle_12_rad,min_observed_angle_rad,endpoint_zero_or_pi_rows,nonsmooth_jacobian_rows,full_regular_row_count,full_rank,full_sigma_min,selected_indices,selected_regular_row_count,selected_rank,selected_sigma_min,selected_inverse_amplification,estimator_success,candidate_x,candidate_y,candidate_error_to_path_d,full_residual_rad,estimator_message
reference_ray,0,2,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,1;2,2,2,0.2517862645029434,3.9716225266462457,True,1.8,3.117691453623979,0.0,0.0,`gtol` termination condition is satisfied.
reference_ray,0,3,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;2,1,1,nan,nan,False,2.5,2.598076211353316,0.8717797887081346,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,4,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,1;2,2,2,0.2517862645029434,3.9716225266462457,True,1.7999999999999992,3.1176914536239773,1.9860273225978185e-15,4.440892098500626e-16,`gtol` termination condition is satisfied.
reference_ray,0,5,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;2,1,1,nan,nan,False,2.0,1.7320508075688772,1.4,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,6,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;2,1,1,nan,nan,False,3.0,1.7320508075688772,1.833030277982336,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,7,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,1;2,2,2,0.2517862645029434,3.9716225266462457,True,1.7999999999999998,3.1176914536239786,4.965068306494546e-16,0.0,`gtol` termination condition is satisfied.
reference_ray,0,8,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;1,1,1,nan,nan,False,1.5,0.8660254037844384,2.2715633383201097,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,9,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;1,1,1,nan,nan,False,2.5,0.8660254037844384,2.3579652245103193,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,10,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;2,1,1,nan,nan,False,3.5,0.8660254037844384,2.821347195933177,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,12,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;1,1,1,nan,nan,False,1.0,0.0,3.2186953878862163,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,13,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;1,1,1,nan,nan,False,2.0,0.0,3.1240998703626617,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,0,14,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,0;1,1,1,nan,nan,False,3.0,0.0,3.340658617698013,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,1,2,FY01_toward_FY11,0.01,,1.98,3.4294605989863767,3.1415926535897913,2.0856915492675463,1.0559011043222486,1.0559011043222486,0,0,2,2,0.21978111698720643,1;2,2,2,0.21978111698720643,4.549981425648185,True,1.9799999999999995,3.4294605989863762,6.280369834735101e-16,4.440892098500626e-15,`gtol` termination condition is satisfied.
reference_ray,1,3,FY01_toward_FY11,0.01,,1.98,3.4294605989863767,3.1415926535897913,2.0856915492675463,1.0559011043222486,1.0559011043222486,0,0,2,2,0.21978111698720643,0;2,1,1,nan,nan,False,2.5,2.598076211353316,0.9806120537705006,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,1,4,FY01_toward_FY11,0.01,,1.98,3.4294605989863767,3.1415926535897913,2.0856915492675463,1.0559011043222486,1.0559011043222486,0,0,2,2,0.21978111698720643,1;2,2,2,0.21978111698720643,4.549981425648185,True,1.98,3.4294605989863767,0.0,0.0,`gtol` termination condition is satisfied.
reference_ray,1,5,FY01_toward_FY11,0.01,,1.98,3.4294605989863767,3.1415926535897913,2.0856915492675463,1.0559011043222486,1.0559011043222486,0,0,2,2,0.21978111698720643,0;2,1,1,nan,nan,False,2.0,1.7320508075688772,1.6975276139138353,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,1,6,FY01_toward_FY11,0.01,,1.98,3.4294605989863767,3.1415926535897913,2.0856915492675463,1.0559011043222486,1.0559011043222486,0,0,2,2,0.21978111698720643,0;2,1,1,nan,nan,False,3.0,1.7320508075688772,1.9803030071178498,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
