configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual
7-12-15,36,3,33,24,24,24,1.8117318993582218e-16,1.2684072367049312e-16,24,24,24,4.159974706364194e-17
7-13-14,36,3,33,24,24,24,1.8410023934965615e-16,1.1514168584199803e-16,24,24,24,3.2107525776363864e-17
7-13-15,36,3,33,24,24,24,1.9104341637565393e-16,1.6993203109924034e-16,24,24,24,3.7256211483790237e-17
7-14-15,36,3,33,24,24,24,1.6641089504490119e-16,1.3683362218579375e-16,24,24,24,3.778932893471174e-17
8-9-10,36,3,33,22,22,22,9.53423698203693e-17,5.4444950728701805e-17,22,22,22,2.8477435492152374e-17
8-9-11,36,3,33,24,24,24,2.4381372067555285e-16,1.70984038147379e-16,24,24,24,3.467964414824225e-17
8-9-12,36,4,32,24,24,24,1.668805708895855e-16,9.623977318013207e-17,24,24,24,2.5867481225908437e-17
8-9-13,36,4,32,24,24,24,2.0275425027121737e-16,1.2751567382777714e-16,24,24,24,2.6581892913630532e-17
8-9-14,36,4,32,24,24,24,1.6741476024516044e-16,1.3732812710100096e-16,24,24,24,2.612064072552579e-17
8-9-15,36,3,33,24,24,24,2.3472209234055934e-16,1.4193847432720656e-16,24,24,24,2.756818537181684e-17
8-10-11,36,3,33,24,24,24,2.4958606562922657e-16,1.908611279852767e-16,24,24,24,3.948279762118855e-17
8-10-12,36,4,32,24,24,24,2.176626891863814e-16,1.9030485191639061e-16,24,24,24,3.094015920469677e-17
8-10-13,36,3,33,23,23,23,1.8945094780591758e-16,1.457526842402525e-16,23,23,23,2.897587229420385e-17
8-10-14,36,2,34,23,23,23,1.9559623545740588e-16,1.2502924129246307e-16,23,23,23,2.906636906441967e-17
8-10-15,36,5,31,24,24,24,1.6843844971760413e-16,1.0057243876387866e-16,24,24,24,3.2064628430065074e-17
8-11-12,36,6,30,24,24,24,1.8565290977776786e-16,1.0760852941425718e-16,24,24,24,3.9156132084283866e-17
