configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual
2-4-10,36,3,33,24,24,24,1.8089774359491064e-16,1.5429894235686238e-16,24,24,24,5.298734393139138e-17
2-4-11,36,6,30,20,20,20,7.344520707788956e-17,4.4269278781042555e-17,20,20,20,5.453121965329661e-17
2-4-12,36,3,33,24,24,24,2.291632040923622e-16,1.4272032599291222e-16,24,24,24,4.6083471369981835e-17
2-4-13,36,4,32,24,24,24,2.2099033820163252e-16,1.4409456533139165e-16,24,24,24,4.620946989671018e-17
2-4-14,36,5,31,24,24,24,1.7953531467362774e-16,1.1064200726434947e-16,24,24,24,5.029542276100777e-17
2-4-15,36,4,32,24,24,24,2.4265142946576456e-16,1.168284352155353e-16,24,24,24,5.441431194193033e-17
2-5-6,36,3,33,24,24,24,1.6127114136014423e-16,9.647859976709271e-17,24,24,24,5.709272680035302e-17
2-5-7,36,5,31,24,24,24,1.8310772654661483e-16,1.5933606300081844e-16,24,24,24,4.348915890883305e-17
2-5-8,36,4,32,24,24,24,1.7523303015587183e-16,7.120385202519844e-17,24,24,24,5.1314766689372586e-17
2-5-9,36,3,33,22,22,22,9.514717191575821e-17,6.673873433977059e-17,22,22,22,4.623885572907812e-17
2-5-10,36,2,34,24,24,24,2.7367784984790326e-16,1.4433521804798365e-16,24,24,24,5.088668182026583e-17
2-5-11,36,5,31,24,24,24,2.1928075300724404e-16,1.7598574983335937e-16,24,24,24,5.208751031372483e-17
2-5-12,36,4,32,24,24,24,2.234421323208187e-16,1.6765447485679067e-16,24,24,24,4.7736519829223556e-17
2-5-13,36,3,33,24,24,24,2.4270664060835106e-16,1.9769216738320218e-16,24,24,24,4.288276002018696e-17
2-5-14,36,3,33,22,22,22,1.5936508527598768e-16,9.26629986561275e-17,22,22,22,5.2740870656514616e-17
2-5-15,36,2,34,24,24,24,3.0096908213056136e-16,2.0789316294606466e-16,24,24,24,5.153774654376597e-17
2-6-7,36,3,33,24,24,24,3.2290052512553916e-16,1.9663840552461337e-16,24,24,24,5.146675967807215e-17
2-6-8,36,1,35,23,23,23,2.831430333070568e-16,1.7435379832133443e-16,23,23,23,5.3243564254878106e-17
2-6-9,36,3,33,23,23,23,1.8903385103681415e-16,1.517142222884932e-16,23,23,23,5.48650833292454e-17
2-6-10,36,3,33,24,24,24,1.4355535900009956e-16,1.1189144680956933e-16,24,24,24,6.240616326274552e-17
2-6-11,36,4,32,24,24,24,1.9834155201837066e-16,1.426210566321901e-16,24,24,24,5.91904819409467e-17
2-6-12,36,0,36,24,24,24,3.0713644444812765e-16,2.221549151929953e-16,24,24,24,5.159088408726804e-17
2-6-13,36,1,35,24,24,24,2.904891732019788e-16,2.0403155690451634e-16,24,24,24,5.239317470630133e-17
2-6-14,36,2,34,24,24,24,2.2550729772157183e-16,1.902088591598234e-16,24,24,24,5.640049110310346e-17
2-6-15,36,3,33,24,24,24,1.8760782209885745e-16,1.6956093138794854e-16,24,24,24,6.116752882144615e-17
2-7-8,36,5,31,24,24,24,2.0543555564631475e-16,9.033084122265068e-17,24,24,24,4.815456151837605e-17
2-7-9,36,7,29,24,24,24,2.2006799174637195e-16,1.669116989170421e-16,24,24,24,4.1822661259226224e-17
2-7-10,36,5,31,23,23,23,2.0682856774374625e-16,1.4145636399848576e-16,23,23,23,4.956173489014352e-17
2-7-11,36,6,30,20,20,20,5.128589554969646e-17,4.186245242285175e-17,20,20,20,5.1051162762451255e-17
2-7-12,36,3,33,23,23,23,1.5032472868646764e-16,8.709816266078622e-17,23,23,23,4.9682040405370514e-17
2-7-13,36,3,33,24,24,24,1.6662589912939926e-16,1.3891763948136458e-16,24,24,24,4.173368883443146e-17
2-7-14,36,5,31,23,23,23,1.9225576599314865e-16,1.4061900723681264e-16,23,23,23,4.714169294616149e-17
2-7-15,36,3,33,24,24,24,2.674640740569723e-16,1.778632068044369e-16,24,24,24,4.942279574523792e-17
2-8-9,36,4,32,23,23,23,2.2168400981647923e-16,1.6136351464291517e-16,23,23,23,4.857750682004412e-17
2-8-10,36,2,34,24,24,24,3.1522615553674234e-16,2.574780765036326e-16,24,24,24,5.343566444811016e-17
2-8-11,36,4,32,24,24,24,2.1986499587418437e-16,1.64922767470987e-16,24,24,24,5.220097176619738e-17
2-8-12,36,2,34,24,24,24,2.3675907937595496e-16,1.6625261887478353e-16,24,24,24,5.1222350415551494e-17
2-8-13,36,1,35,24,24,24,2.592928922262611e-16,1.7422347747104722e-16,24,24,24,4.9411888735315247e-17
2-8-14,36,2,34,24,24,24,2.736197423310469e-16,1.8015496921695724e-16,24,24,24,5.168973850549922e-17
2-8-15,36,0,36,24,24,24,2.5532632880375847e-16,2.393708853643688e-16,24,24,24,5.1417587703718086e-17
2-9-10,36,4,32,24,24,24,1.7934164644566057e-16,1.444718976505912e-16,24,24,24,5.286024228253206e-17
2-9-11,36,5,31,24,24,24,2.6940323408018913e-16,1.665528104275965e-16,24,24,24,4.958534691835792e-17
2-9-12,36,2,34,24,24,24,3.332791486140958e-16,2.248913419959581e-16,24,24,24,4.403323195049341e-17
2-9-13,36,3,33,24,24,24,2.3513439839946614e-16,1.3896534535352848e-16,24,24,24,4.5333347316385386e-17
2-9-14,36,3,33,22,22,22,1.8897682356516109e-16,1.0282993403405075e-16,22,22,22,5.101841638958784e-17
2-9-15,36,3,33,24,24,24,2.9366844114269523e-16,2.0317829751948725e-16,24,24,24,5.00174043736014e-17
2-10-11,36,3,33,24,24,24,3.7038725738682295e-16,1.6785886570245272e-16,24,24,24,5.664590329766062e-17
2-10-12,36,0,36,23,23,23,3.0952460087550644e-16,2.3021864154551885e-16,23,23,23,4.899550408554534e-17
2-10-13,36,0,36,24,24,24,2.8077878731963107e-16,2.4725738604052166e-16,24,24,24,4.7799847050308606e-17
2-10-14,36,2,34,23,23,23,2.012463253586637e-16,1.431241550575544e-16,23,23,23,5.748381170719844e-17
2-10-15,36,3,33,24,24,24,1.4485335251212754e-16,1.292303691608943e-16,24,24,24,6.141652128072091e-17
2-11-12,36,6,30,24,24,24,1.7581708453337746e-16,1.2278504887809464e-16,24,24,24,5.674352154599143e-17
2-11-13,36,6,30,24,24,24,2.45825165338865e-16,1.918374133158576e-16,24,24,24,5.498070686705119e-17
2-11-14,36,8,28,24,24,24,1.3547930010057334e-16,6.681471817310991e-17,24,24,24,5.983700631444124e-17
2-11-15,36,6,30,24,24,24,1.8297225237246057e-16,1.3222552105027072e-16,24,24,24,6.284483609241528e-17
2-12-13,36,3,33,24,24,24,2.446797727932122e-16,1.864749017908975e-16,24,24,24,4.8433440914123274e-17
2-12-14,36,5,31,23,23,23,1.7595128070715002e-16,1.54844195131624e-16,23,23,23,5.298808113327017e-17
2-12-15,36,3,33,24,24,24,2.796389768062119e-16,2.2589810425295215e-16,24,24,24,5.475419983197582e-17
2-13-14,36,5,31,24,24,24,1.9276169823116196e-16,1.6915542948028819e-16,24,24,24,5.20615277273171e-17
2-13-15,36,3,33,24,24,24,2.6265900358921057e-16,1.9314995205515148e-16,24,24,24,5.314002236965149e-17
2-14-15,36,5,31,24,24,24,2.3845188241755197e-16,1.3439401078632528e-16,24,24,24,6.188667188333188e-17
3-4-5,36,3,33,24,24,24,1.555489563208095e-16,1.1703186501557166e-16,24,24,24,4.914063325173063e-17
3-4-6,36,4,32,23,23,23,1.6648543107087784e-16,7.433721835863317e-17,23,23,23,4.962109833239656e-17
3-4-7,36,3,33,24,24,24,1.9598750575495045e-16,1.2951099922729975e-16,24,24,24,4.9341940677838575e-17
3-4-8,36,3,33,23,23,23,2.4791272020047226e-16,1.2182550671673618e-16,23,23,23,4.553214713846887e-17
3-4-9,36,1,35,23,23,23,3.275054253215356e-16,2.1329595077430198e-16,23,23,23,4.162211578110646e-17
3-4-10,36,3,33,24,24,24,3.424767833887724e-16,1.8685174467258917e-16,24,24,24,4.346718491439289e-17
3-4-11,36,3,33,24,24,24,2.4661575617064905e-16,1.5426276037568558e-16,24,24,24,5.141594170417453e-17
3-4-12,36,2,34,24,24,24,3.114604931451198e-16,2.1720044034861923e-16,24,24,24,4.607610745073619e-17
3-4-13,36,1,35,24,24,24,2.841093643783588e-16,2.19551654583396e-16,24,24,24,4.1561766511939144e-17
3-4-14,36,0,36,24,24,24,3.5829963919635514e-16,3.358484326096319e-16,24,24,24,4.522109272750148e-17
3-4-15,36,4,32,24,24,24,1.6401263022099396e-16,1.45536696323799e-16,24,24,24,4.42817072717236e-17
3-5-6,36,6,30,24,24,24,1.6437974841073034e-16,1.181900330941715e-16,24,24,24,4.176841872542571e-17
3-5-7,36,2,34,24,24,24,1.88050412794689e-16,1.6559664214576424e-16,24,24,24,4.4418319871015144e-17
3-5-8,36,3,33,22,22,22,7.717706764452413e-17,5.476565305465562e-17,22,22,22,4.315230401338363e-17
3-5-9,36,4,32,24,24,24,2.2831421054650404e-16,1.0641665386874158e-16,24,24,24,3.963953883918065e-17
3-5-10,36,5,31,24,24,24,2.226470981686342e-16,1.2105047139185975e-16,24,24,24,3.593945738209849e-17
3-5-11,36,2,34,24,24,24,2.829132912246429e-16,2.374345381697048e-16,24,24,24,5.376908133202935e-17
3-5-12,36,3,33,22,22,22,1.2186902894082267e-16,1.0828057964316931e-16,22,22,22,4.48860450812439e-17
3-5-13,36,3,33,24,24,24,2.8042655589807967e-16,1.7598360375016511e-16,24,24,24,3.5512690194196723e-17
3-5-14,36,4,32,24,24,24,2.1896728008404932e-16,1.802188166389313e-16,24,24,24,4.200564563039445e-17
3-5-15,36,5,31,24,24,24,1.7996321786012729e-16,7.471541904196619e-17,24,24,24,3.850601967974238e-17
3-6-7,36,3,33,24,24,24,3.4913648249909023e-16,2.3217066436693667e-16,24,24,24,4.2185349010414794e-17
3-6-8,36,6,30,23,23,23,1.6813770225151653e-16,9.451183838254172e-17,23,23,23,3.873725187463961e-17
3-6-9,36,4,32,23,23,23,1.7914720705207117e-16,1.545378623733591e-16,23,23,23,3.7088857922706024e-17
3-6-10,36,6,30,20,20,20,3.8964779803040874e-17,1.9123753845961498e-17,20,20,20,2.8571461045554663e-17
3-6-11,36,4,32,24,24,24,1.8778879975533305e-16,1.0002506277280437e-16,24,24,24,5.1515729992676316e-17
3-6-12,36,5,31,24,24,24,2.724442652667732e-16,1.572234378582009e-16,24,24,24,4.1659549371254516e-17
3-6-13,36,4,32,24,24,24,1.945941907837423e-16,1.4733096129046755e-16,24,24,24,3.4801637643420195e-17
3-6-14,36,3,33,24,24,24,1.7592410141790346e-16,1.1862367933898904e-16,24,24,24,3.6892876542749844e-17
3-6-15,36,6,30,20,20,20,5.5329681746983917e-17,4.7818341652258063e-17,20,20,20,2.6835978965046434e-17
3-7-8,36,4,32,24,24,24,2.8069723337190904e-16,1.5198975864007803e-16,24,24,24,4.659924513535316e-17
3-7-9,36,2,34,24,24,24,3.915114479292679e-16,2.4201839516950666e-16,24,24,24,4.2188263568632e-17
3-7-10,36,5,31,23,23,23,2.5104311182814606e-16,1.808953093977807e-16,23,23,23,4.1607759229169777e-17
3-7-11,36,3,33,24,24,24,2.4353499041868203e-16,1.4295275212717458e-16,24,24,24,5.157131208940827e-17
3-7-12,36,2,34,23,23,23,1.9766930173619442e-16,1.657582636400932e-16,23,23,23,5.065943657245514e-17
3-7-13,36,0,36,24,24,24,2.9904187893505497e-16,2.251960219218254e-16,24,24,24,4.057855791348199e-17
3-7-14,36,0,36,23,23,23,3.134805873699201e-16,2.1781191303306922e-16,23,23,23,4.3342347649215945e-17
3-7-15,36,3,33,24,24,24,3.543667004379641e-16,2.4618360815363307e-16,24,24,24,4.1509357870442986e-17
3-8-9,36,4,32,23,23,23,2.0087644936210195e-16,1.8831041924909462e-16,23,23,23,4.103734209254721e-17
3-8-10,36,7,29,24,24,24,2.0681624236191107e-16,1.4350455965729462e-16,24,24,24,4.0264402118362846e-17
3-8-11,36,3,33,24,24,24,2.8266942301725577e-16,1.772499908454033e-16,24,24,24,5.1795293902734055e-17
3-8-12,36,3,33,22,22,22,1.8322238056514867e-16,1.4476321255265457e-16,22,22,22,4.709250509027689e-17
3-8-13,36,3,33,24,24,24,3.0443106140950837e-16,1.8389544766790443e-16,24,24,24,4.0829995729997464e-17
3-8-14,36,2,34,24,24,24,2.72602113589131e-16,1.7827598963865446e-16,24,24,24,4.187388678408175e-17
3-8-15,36,5,31,24,24,24,1.9074413518471078e-16,1.5027863207182227e-16,24,24,24,3.710161912185822e-17
3-9-10,36,5,31,24,24,24,2.0661447549621649e-16,9.644094494600517e-17,24,24,24,3.592072584820213e-17
3-9-11,36,0,36,24,24,24,3.6320021704471117e-16,2.1870370496567295e-16,24,24,24,4.8571868846815644e-17
3-9-12,36,2,34,24,24,24,2.4955301656731095e-16,1.706494980971641e-16,24,24,24,4.168472301707147e-17
3-9-13,36,1,35,24,24,24,1.9165377111986404e-16,1.5511464237895775e-16,24,24,24,3.607522991319096e-17
3-9-14,36,2,34,24,24,24,2.7882136043767804e-16,1.4977731168830426e-16,24,24,24,4.0068965244832724e-17
3-9-15,36,4,32,24,24,24,2.3238592506029625e-16,1.1362251357798792e-16,24,24,24,3.347735600895592e-17
3-10-11,36,3,33,24,24,24,3.2313300569955854e-16,2.396068712337264e-16,24,24,24,5.0409198562486744e-17
3-10-12,36,5,31,23,23,23,2.3373158210590956e-16,1.4417159232212645e-16,23,23,23,3.968340726946152e-17
3-10-13,36,3,33,24,24,24,1.5058521502050488e-16,1.364265057845442e-16,24,24,24,3.1678719940174786e-17
3-10-14,36,3,33,23,23,23,1.5334407885479842e-16,1.2990922542937176e-16,23,23,23,3.866461141648146e-17
3-10-15,36,6,30,20,20,20,5.95984108402396e-17,5.249434181521101e-17,20,20,20,2.9507541003355147e-17
3-11-12,36,5,31,24,24,24,1.6545331677354773e-16,1.2923841889975848e-16,24,24,24,5.916998075234704e-17
3-11-13,36,3,33,24,24,24,2.514187108717001e-16,2.1590460510126709e-16,24,24,24,5.20908151153944e-17
3-11-14,36,3,33,24,24,24,2.7839818996384224e-16,2.490772471807519e-16,24,24,24,5.2292448247758157e-17
3-11-15,36,6,30,24,24,24,2.232308743299053e-16,1.335124865024408e-16,24,24,24,5.4863789469926235e-17
3-12-13,36,5,31,24,24,24,2.599650117086656e-16,1.7893937723259316e-16,24,24,24,4.451389813746355e-17
3-12-14,36,5,31,23,23,23,2.231929905340031e-16,1.2986705278902273e-16,23,23,23,4.6633412863468446e-17
3-12-15,36,8,28,24,24,24,2.1111729732976395e-16,1.4741742288222119e-16,24,24,24,4.65070466932252e-17
3-13-14,36,3,33,24,24,24,2.449390922232961e-16,2.1886213584937926e-16,24,24,24,3.961069954666848e-17
3-13-15,36,6,30,24,24,24,2.1225385717503205e-16,1.773213794073e-16,24,24,24,3.6408807636813584e-17
3-14-15,36,6,30,24,24,24,2.067252572741188e-16,1.4672373874885814e-16,24,24,24,4.131461609021345e-17
4-5-6,36,0,36,24,24,24,4.2059571342670676e-16,2.2829785947914914e-16,24,24,24,4.068964352951339e-17
4-5-7,36,4,32,23,23,23,1.0130109865761265e-16,7.81262499962464e-17,23,23,23,3.198772390734165e-17
4-5-8,36,4,32,24,24,24,1.403764868321419e-16,1.1914578050172034e-16,24,24,24,3.098566351406708e-17
4-5-9,36,4,32,23,23,23,1.0600969239186559e-16,6.265201068290582e-17,23,23,23,2.832888770882442e-17
4-5-10,36,1,35,24,24,24,2.552659300611429e-16,1.7199284678497203e-16,24,24,24,3.574562406298244e-17
4-5-11,36,4,32,24,24,24,1.9617069017276953e-16,1.6083470129549702e-16,24,24,24,3.650695517220722e-17
4-5-12,36,3,33,23,23,23,1.3815787070922937e-16,9.055663231644241e-17,23,23,23,2.943222340675209e-17
4-5-13,36,3,33,23,23,23,1.641495614548976e-16,1.0603332244123022e-16,23,23,23,2.889914527555645e-17
4-5-14,36,3,33,24,24,24,2.2032855941910411e-16,1.5998053879697385e-16,24,24,24,3.439237711821294e-17
4-5-15,36,2,34,24,24,24,3.4902518782281766e-16,2.0460698340634353e-16,24,24,24,3.743114327710852e-17
4-6-7,36,4,32,24,24,24,1.9803102737477474e-16,1.4986660867822946e-16,24,24,24,4.1645075113623964e-17
4-6-8,36,3,33,23,23,23,2.655373241533005e-16,1.968745575543754e-16,23,23,23,3.777984558731589e-17
4-6-9,36,3,33,23,23,23,2.32780466443573e-16,1.3866650965351322e-16,23,23,23,3.8167513858539973e-17
4-6-10,36,4,32,24,24,24,1.6141735334661073e-16,1.238369093528096e-16,24,24,24,4.433948958393045e-17
4-6-11,36,5,31,24,24,24,2.3850286329374376e-16,1.3659968431759242e-16,24,24,24,4.1217731458692896e-17
4-6-12,36,1,35,24,24,24,2.85952182886389e-16,2.1619963718569416e-16,24,24,24,3.6538197598387005e-17
4-6-13,36,3,33,24,24,24,2.932864478620708e-16,2.5855850621977743e-16,24,24,24,4.041983642750024e-17
4-6-14,36,1,35,24,24,24,2.7299008891090283e-16,2.134591221767581e-16,24,24,24,3.913304170434883e-17
4-6-15,36,5,31,24,24,24,2.0389465916766553e-16,1.2664618874890961e-16,24,24,24,4.209348116033776e-17
4-7-8,36,6,30,24,24,24,1.3381799430955357e-16,9.131878024681542e-17,24,24,24,2.7155766699714486e-17
4-7-9,36,6,30,23,23,23,1.6481674321986344e-16,1.139867493590612e-16,23,23,23,3.048262566213826e-17
4-7-10,36,5,31,24,24,24,1.8817345068025024e-16,1.251898284874441e-16,24,24,24,3.752609477014874e-17
4-7-11,36,6,30,20,20,20,5.602996470060153e-17,4.4794940315242735e-17,20,20,20,2.7199412409556448e-17
4-7-12,36,3,33,23,23,23,9.265706920483539e-17,6.742556066916702e-17,23,23,23,3.293711109384879e-17
4-7-13,36,4,32,23,23,23,1.1572334117876063e-16,6.642862067155862e-17,23,23,23,3.108942829412075e-17
4-7-14,36,3,33,24,24,24,2.4881523842078324e-16,1.8961379554611753e-16,24,24,24,3.607236362609432e-17
4-7-15,36,4,32,24,24,24,2.1349881196390446e-16,1.8077199636421336e-16,24,24,24,3.849582673424407e-17
4-8-9,36,4,32,23,23,23,1.612870758413852e-16,1.2490744752725639e-16,23,23,23,2.6191833833341222e-17
4-8-10,36,3,33,24,24,24,2.660869449365543e-16,1.3305951071576801e-16,24,24,24,3.533533167363771e-17
4-8-11,36,5,31,24,24,24,2.0606320803971596e-16,9.936942434966377e-17,24,24,24,3.117518451997161e-17
4-8-12,36,3,33,24,24,24,1.8112730066586996e-16,1.0425085330802963e-16,24,24,24,2.931802513430148e-17
4-8-13,36,0,36,24,24,24,3.079654552573111e-16,1.640021118879233e-16,24,24,24,2.980572838923514e-17
4-8-14,36,1,35,24,24,24,2.046436129274996e-16,1.5212559606282616e-16,24,24,24,3.255292447828392e-17
4-8-15,36,2,34,24,24,24,2.0769362242935935e-16,1.833213955813028e-16,24,24,24,3.276088917300915e-17
4-9-10,36,3,33,24,24,24,2.601785764790318e-16,2.0259291813661033e-16,24,24,24,3.455651764359952e-17
4-9-11,36,4,32,24,24,24,1.618185833773171e-16,1.5856327284821694e-16,24,24,24,3.2197921495243084e-17
4-9-12,36,1,35,23,23,23,2.660448796347848e-16,1.9157849925497895e-16,23,23,23,2.8421007726769437e-17
4-9-13,36,3,33,23,23,23,1.7015295268615148e-16,1.2539919226000297e-16,23,23,23,2.97865719891422e-17
4-9-14,36,3,33,24,24,24,2.804290905432429e-16,1.8832248345922362e-16,24,24,24,3.3333840611432334e-17
4-9-15,36,0,36,24,24,24,3.3182555734913165e-16,2.9168928029089753e-16,24,24,24,3.281007003738592e-17
4-10-11,36,3,33,24,24,24,3.0875262601217787e-16,1.9449513409361797e-16,24,24,24,3.885062244647633e-17
4-10-12,36,0,36,24,24,24,3.425383881462153e-16,2.280459338476683e-16,24,24,24,3.278240390511996e-17
4-10-13,36,1,35,24,24,24,3.3561667444975007e-16,2.656509331757978e-16,24,24,24,3.4107973836182397e-17
4-10-14,36,0,36,24,24,24,2.325230611357949e-16,1.852694435334181e-16,24,24,24,3.704901322025867e-17
4-10-15,36,4,32,24,24,24,1.3288462097801544e-16,1.0704527997548114e-16,24,24,24,4.089525679377004e-17
4-11-12,36,6,30,24,24,24,1.008691818077746e-16,5.883370194198267e-17,24,24,24,3.1294870050576804e-17
4-11-13,36,7,29,24,24,24,1.3999477906084081e-16,9.898457642651221e-17,24,24,24,3.834752553276872e-17
4-11-14,36,6,30,24,24,24,1.3118940610544368e-16,1.1330763068045842e-16,24,24,24,3.596010971467741e-17
4-11-15,36,7,29,24,24,24,1.8412786800143503e-16,1.4352635149036055e-16,24,24,24,4.1704253314059807e-17
4-12-13,36,4,32,23,23,23,1.1635366735571787e-16,9.414704321198784e-17,23,23,23,3.116591422547207e-17
4-12-14,36,3,33,24,24,24,2.210492104905942e-16,1.3525207228093542e-16,24,24,24,3.322761911892221e-17
4-12-15,36,4,32,24,24,24,2.8303859008997843e-16,2.16483594601186e-16,24,24,24,3.694078857710457e-17
4-13-14,36,4,32,24,24,24,1.627361755806341e-16,1.3465711073412996e-16,24,24,24,3.4864066123465074e-17
4-13-15,36,5,31,24,24,24,1.9550456279690818e-16,9.96691796274805e-17,24,24,24,3.887046191826974e-17
4-14-15,36,4,32,24,24,24,1.950279229694039e-16,1.749048372978264e-16,24,24,24,3.911414660139416e-17
5-6-7,36,1,35,24,24,24,2.752783761233219e-16,1.7809730348885777e-16,24,24,24,3.540126042415694e-17
5-6-8,36,4,32,23,23,23,1.2254139604370909e-16,8.795833057282414e-17,23,23,23,3.251528210583708e-17
5-6-9,36,4,32,24,24,24,2.1080917815750644e-16,1.4608467347962288e-16,24,24,24,3.0713079972537315e-17
5-6-10,36,4,32,23,23,23,8.542207640720891e-17,6.834093689313958e-17,23,23,23,3.2078343480343946e-17
5-6-11,36,2,34,24,24,24,2.30229510245679e-16,2.037290995695873e-16,24,24,24,4.283716456091145e-17
5-6-12,36,3,33,24,24,24,3.0393503848363625e-16,2.3202720643811464e-16,24,24,24,3.193771954552589e-17
5-6-13,36,3,33,23,23,23,1.447901695440806e-16,1.2782458184245117e-16,23,23,23,3.004412504506809e-17
5-6-14,36,3,33,23,23,23,1.29085285029366e-16,9.815676733345997e-17,23,23,23,3.0119688008172033e-17
5-6-15,36,4,32,24,24,24,1.1196669883721846e-16,9.34467043336266e-17,24,24,24,3.3219620987607034e-17
5-7-8,36,4,32,24,24,24,2.7721194197773125e-16,1.7241096696017388e-16,24,24,24,3.036191696454424e-17
5-7-9,36,4,32,23,23,23,2.3302429769299196e-16,1.3048591720912632e-16,23,23,23,3.040755214981232e-17
5-7-10,36,2,34,24,24,24,2.7818810576103565e-16,2.4108150608372024e-16,24,24,24,3.3025690335268014e-17
5-7-11,36,3,33,24,24,24,1.504078605286248e-16,1.125146756130842e-16,24,24,24,3.401295024578462e-17
5-7-12,36,2,34,23,23,23,1.4732322378960164e-16,1.372149611692275e-16,23,23,23,3.555433935776097e-17
5-7-13,36,1,35,23,23,23,2.9626595969484905e-16,1.5104351333397046e-16,23,23,23,2.9606761783107417e-17
5-7-14,36,2,34,24,24,24,2.36003299249349e-16,1.9499423125560934e-16,24,24,24,3.3134280433374736e-17
5-7-15,36,0,36,24,24,24,2.6564443462786996e-16,2.317971630480592e-16,24,24,24,3.5675837139714786e-17
5-8-9,36,6,30,24,24,24,2.27963212378739e-16,1.2159152699657596e-16,24,24,24,2.649167917638656e-17
5-8-10,36,4,32,23,23,23,1.7735224084531682e-16,1.646097653488396e-16,23,23,23,3.201857633267493e-17
5-8-11,36,3,33,24,24,24,2.3543231236962327e-16,1.3276068853293396e-16,24,24,24,4.031955175383942e-17
5-8-12,36,3,33,22,22,22,1.8193812464325898e-16,1.0895482120965018e-16,22,22,22,3.0292801485753703e-17
5-8-13,36,4,32,23,23,23,1.3316143972572343e-16,9.428494675139247e-17,23,23,23,2.8066440339609993e-17
5-8-14,36,4,32,23,23,23,1.366599653192681e-16,1.131738130740486e-16,23,23,23,2.918615234556426e-17
5-8-15,36,2,34,24,24,24,2.804483622807681e-16,1.897878030466217e-16,24,24,24,3.278266969777195e-17
5-9-10,36,4,32,24,24,24,2.2186510127299472e-16,1.4103626704245289e-16,24,24,24,2.789935442989345e-17
5-9-11,36,2,34,24,24,24,1.925321398944928e-16,1.6593709105132856e-16,24,24,24,3.945467576436679e-17
5-9-12,36,4,32,23,23,23,1.910634202458757e-16,1.4299075506979676e-16,23,23,23,2.6306637381476066e-17
5-9-13,36,4,32,23,23,23,1.4378018875290804e-16,1.2576186854537158e-16,23,23,23,2.2021968394913894e-17
5-9-14,36,3,33,22,22,22,1.7137949168219727e-16,1.0984335618532694e-16,22,22,22,2.5564289047371587e-17
5-9-15,36,3,33,24,24,24,2.382611745139678e-16,1.5393046664025268e-16,24,24,24,3.0103775306076413e-17
5-10-11,36,0,36,24,24,24,2.492568071081144e-16,2.0950999616408647e-16,24,24,24,4.058016340433882e-17
5-10-12,36,2,34,24,24,24,2.66970460821341e-16,1.8395093544399226e-16,24,24,24,2.955306772504469e-17
5-10-13,36,1,35,23,23,23,2.074074713369569e-16,1.724211398619669e-16,23,23,23,2.5801970095091824e-17
5-10-14,36,2,34,23,23,23,1.482423091283439e-16,1.1229616751721e-16,23,23,23,3.000377113394663e-17
5-10-15,36,3,33,24,24,24,1.3789221997898068e-16,1.1783819137704377e-16,24,24,24,3.3417586345045394e-17
5-11-12,36,5,31,24,24,24,1.7385719069676622e-16,1.515809462018658e-16,24,24,24,4.1000956221817754e-17
5-11-13,36,4,32,24,24,24,2.2923541600033966e-16,2.1859984391504594e-16,24,24,24,4.0517815588177195e-17
5-11-14,36,5,31,24,24,24,2.6959511790187397e-16,2.233361960021078e-16,24,24,24,3.9490996611457054e-17
5-11-15,36,3,33,24,24,24,3.1965314847716817e-16,2.355615632329198e-16,24,24,24,4.4610599260120795e-17
5-12-13,36,6,30,23,23,23,1.1599283310836765e-16,9.046242499401075e-17,23,23,23,2.8416131426299844e-17
5-12-14,36,7,29,24,24,24,2.3820543415088266e-16,2.122121594912882e-16,24,24,24,2.9949611566371447e-17
5-12-15,36,5,31,24,24,24,2.4048362182426555e-16,1.3606207477887202e-16,24,24,24,3.53434285554207e-17
5-13-14,36,6,30,23,23,23,1.4521302025019344e-16,9.886800833710179e-17,23,23,23,2.6245017014030965e-17
5-13-15,36,4,32,24,24,24,2.578720764904739e-16,1.777613595476857e-16,24,24,24,3.263529706432313e-17
5-14-15,36,5,31,24,24,24,2.411086424721153e-16,1.5134212373464174e-16,24,24,24,3.3622012733345776e-17
6-7-8,36,3,33,24,24,24,1.9385927503687443e-16,1.3753357976090283e-16,24,24,24,3.236495912946736e-17
6-7-9,36,3,33,24,24,24,2.450778663201295e-16,1.2325134400076092e-16,24,24,24,3.4278676103216106e-17
6-7-10,36,5,31,24,24,24,2.539845526607625e-16,1.4868690653709116e-16,24,24,24,3.530159131514245e-17
6-7-11,36,4,32,24,24,24,1.6411424250690615e-16,1.0582563848099096e-16,24,24,24,3.5963261362044713e-17
6-7-12,36,0,36,24,24,24,2.8009247766011626e-16,2.4504311975423395e-16,24,24,24,3.6508719388066054e-17
6-7-13,36,1,35,24,24,24,2.471586636589687e-16,1.923600603681879e-16,24,24,24,3.43076573001041e-17
6-7-14,36,0,36,24,24,24,3.5211289720453135e-16,2.606405915922496e-16,24,24,24,3.310315546009668e-17
6-7-15,36,3,33,24,24,24,2.358766646569884e-16,1.5682084609148567e-16,24,24,24,3.521161969118583e-17
