configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual,perturbation_level,perturbation_seed
3-7-11,36,0,36,24,24,24,3.73906866552278e-16,2.1553869803796937e-16,24,24,24,5.168033509215608e-17,0.013,20260906
3-7-12,36,0,36,24,24,24,3.479290591111572e-16,2.0494295806822649e-16,24,24,24,4.647092430064676e-17,0.013,20260906
3-7-13,36,0,36,24,24,24,3.5957224694930235e-16,2.433608355824327e-16,24,24,24,4.5404380578417575e-17,0.013,20260906
3-7-14,36,0,36,24,24,24,3.0311981183000245e-16,2.7915911275748094e-16,24,24,24,5.1581429095512196e-17,0.013,20260906
3-7-15,36,0,36,24,24,24,4.347312147724331e-16,3.015270990566029e-16,24,24,24,5.11707792190815e-17,0.013,20260906
3-8-9,36,0,36,24,24,24,2.7290080793396437e-16,2.4324795096577724e-16,24,24,24,3.453411127405616e-17,0.013,20260906
3-8-10,36,0,36,24,24,24,3.163498061095109e-16,2.519252396402414e-16,24,24,24,4.347139351594944e-17,0.013,20260906
3-8-11,36,0,36,24,24,24,4.0154592613247913e-16,2.971757755095408e-16,24,24,24,3.8794111989995024e-17,0.013,20260906
3-8-12,36,0,36,24,24,24,2.591791642476435e-16,2.1879487535027084e-16,24,24,24,4.2740023118258494e-17,0.013,20260906
3-8-13,36,0,36,24,24,24,3.1710538740305987e-16,1.7665718535296986e-16,24,24,24,3.542650413572739e-17,0.013,20260906
3-8-14,36,0,36,24,24,24,2.9166605951604437e-16,2.398662410588037e-16,24,24,24,4.441504793911259e-17,0.013,20260906
3-8-15,36,0,36,24,24,24,3.396510965476623e-16,3.1117531274602246e-16,24,24,24,4.032296593741029e-17,0.013,20260906
3-9-10,36,0,36,24,24,24,2.2902576936360916e-16,1.6946769218568263e-16,24,24,24,4.524688235718718e-17,0.013,20260906
3-9-11,36,0,36,24,24,24,2.955338420469924e-16,2.1871090337970385e-16,24,24,24,3.632145023824367e-17,0.013,20260906
3-9-12,36,0,36,24,24,24,2.409795984455779e-16,1.8585873189286312e-16,24,24,24,3.90189323590187e-17,0.013,20260906
3-9-13,36,0,36,24,24,24,2.8770576179905475e-16,2.118173341909554e-16,24,24,24,3.224289885970492e-17,0.013,20260906
3-9-14,36,0,36,24,24,24,2.722414346802246e-16,2.4258019837344997e-16,24,24,24,4.5360995100881627e-17,0.013,20260906
3-9-15,36,0,36,24,24,24,2.7100125842407786e-16,1.7993201715034295e-16,24,24,24,3.884070643956135e-17,0.013,20260906
3-10-11,36,0,36,24,24,24,3.8632693647919374e-16,2.4491617289820845e-16,24,24,24,4.4765786392298365e-17,0.013,20260906
3-10-12,36,0,36,24,24,24,4.588894324543886e-16,2.37417093225516e-16,24,24,24,4.7631555189375e-17,0.013,20260906
3-10-13,36,0,36,24,24,24,2.703940681850778e-16,1.7551083142313349e-16,24,24,24,3.988897063798797e-17,0.013,20260906
3-10-14,36,0,36,24,24,24,3.2132103550904427e-16,1.7232641937996564e-16,24,24,24,4.780926622317527e-17,0.013,20260906
3-10-15,36,0,36,24,24,24,1.8988529728425031e-16,1.202193884184422e-16,24,24,24,4.826281257323545e-17,0.013,20260906
3-11-12,36,0,36,24,24,24,2.571486716199017e-16,1.997143020479258e-16,24,24,24,4.3632661938363164e-17,0.013,20260906
3-11-13,36,0,36,24,24,24,2.734012291719585e-16,2.2624716298003364e-16,24,24,24,3.529441054602313e-17,0.013,20260906
3-11-14,36,0,36,24,24,24,3.365470250518036e-16,1.8721322373900136e-16,24,24,24,4.3930631086983943e-17,0.013,20260906
3-11-15,36,0,36,24,24,24,2.413388647538427e-16,2.1946619034954894e-16,24,24,24,4.198922146326327e-17,0.013,20260906
3-12-13,36,0,36,24,24,24,2.8683361211304845e-16,1.7039915925671612e-16,24,24,24,3.9249453014027365e-17,0.013,20260906
3-12-14,36,0,36,24,24,24,2.7773857951934637e-16,2.1083214278119593e-16,24,24,24,4.828902091424238e-17,0.013,20260906
3-12-15,36,0,36,24,24,24,3.413769872561823e-16,2.707429005103639e-16,24,24,24,4.7799761901344806e-17,0.013,20260906
3-13-14,36,0,36,24,24,24,2.5382654197043176e-16,2.187347300377673e-16,24,24,24,4.1915229273526653e-17,0.013,20260906
3-13-15,36,0,36,24,24,24,2.4811013112951405e-16,2.0781442050761e-16,24,24,24,4.0657347319638535e-17,0.013,20260906
3-14-15,36,0,36,24,24,24,2.650287238806086e-16,1.7098094376463798e-16,24,24,24,4.524743245322191e-17,0.013,20260906
4-5-6,36,0,36,24,24,24,3.394449482219516e-16,1.6870945445724953e-16,24,24,24,3.965981047946114e-17,0.013,20260906
4-5-7,36,0,36,24,24,24,2.2619163451235595e-16,1.0988042802796321e-16,24,24,24,4.865281823893454e-17,0.013,20260906
4-5-8,36,0,36,24,24,24,2.1597812223843387e-16,1.6149890493006527e-16,24,24,24,3.6371508509865514e-17,0.013,20260906
4-5-9,36,0,36,24,24,24,1.9097594430867296e-16,1.6638272777968435e-16,24,24,24,3.434955674516556e-17,0.013,20260906
4-5-10,36,0,36,24,24,24,2.508948605799856e-16,1.5779640534421963e-16,24,24,24,4.283166917128949e-17,0.013,20260906
4-5-11,36,0,36,24,24,24,1.873765997446281e-16,1.0031969608894983e-16,24,24,24,3.368277955365781e-17,0.013,20260906
4-5-12,36,0,36,24,24,24,2.241081369353985e-16,1.6753555014663654e-16,24,24,24,4.0510108568859623e-17,0.013,20260906
4-5-13,36,0,36,24,24,24,2.2559934702551755e-16,1.6880825985315408e-16,24,24,24,3.4909122688395097e-17,0.013,20260906
4-5-14,36,0,36,24,24,24,2.8701982748648584e-16,1.690791347400048e-16,24,24,24,4.4357908016018794e-17,0.013,20260906
4-5-15,36,0,36,24,24,24,2.305685117972407e-16,1.9696865999704048e-16,24,24,24,3.943736281531747e-17,0.013,20260906
4-6-7,36,0,36,24,24,24,2.0431545437539282e-16,1.926297856936285e-16,24,24,24,5.0989707027261224e-17,0.013,20260906
4-6-8,36,0,36,24,24,24,2.5371600570722336e-16,2.1528545061953277e-16,24,24,24,4.011172393319325e-17,0.013,20260906
4-6-9,36,0,36,24,24,24,2.751735207731843e-16,2.2538897127027623e-16,24,24,24,4.2357804896892065e-17,0.013,20260906
4-6-10,36,0,36,24,24,24,3.0863786883077873e-16,1.8963875562696812e-16,24,24,24,4.427082233655325e-17,0.013,20260906
4-6-11,36,0,36,24,24,24,3.3722329773390503e-16,2.307135330720008e-16,24,24,24,4.332271988333545e-17,0.013,20260906
4-6-12,36,0,36,24,24,24,2.7206606395921954e-16,2.4760886773183e-16,24,24,24,4.741988660087507e-17,0.013,20260906
4-6-13,36,0,36,24,24,24,3.625977381270199e-16,2.7985805998292735e-16,24,24,24,4.3434606699337255e-17,0.013,20260906
4-6-14,36,0,36,24,24,24,3.185923377905842e-16,1.9766515061403994e-16,24,24,24,4.68436108014611e-17,0.013,20260906
4-6-15,36,0,36,24,24,24,3.0285294637190124e-16,2.2915099430898655e-16,24,24,24,4.5256405969429454e-17,0.013,20260906
4-7-8,36,0,36,24,24,24,2.647213245418859e-16,1.27392162233236e-16,24,24,24,4.991222673000678e-17,0.013,20260906
4-7-9,36,0,36,24,24,24,3.0368912668509295e-16,2.6288282113395415e-16,24,24,24,4.7823369408616004e-17,0.013,20260906
4-7-10,36,0,36,24,24,24,2.9297986697843264e-16,2.619533346680463e-16,24,24,24,5.303269136752491e-17,0.013,20260906
4-7-11,36,0,36,24,24,24,1.8532151513545072e-16,1.2969844921982058e-16,24,24,24,5.927314729989096e-17,0.013,20260906
4-7-12,36,0,36,24,24,24,2.645762908814331e-16,1.232878652528571e-16,24,24,24,5.0034256292058594e-17,0.013,20260906
4-7-13,36,0,36,24,24,24,2.1080966062372802e-16,1.601193778338333e-16,24,24,24,5.082885343567809e-17,0.013,20260906
4-7-14,36,0,36,24,24,24,2.8470108478472925e-16,2.0881195228404566e-16,24,24,24,5.4874581415748865e-17,0.013,20260906
4-7-15,36,0,36,24,24,24,2.6174831519926476e-16,2.2040998162720846e-16,24,24,24,5.408648346308207e-17,0.013,20260906
4-8-9,36,0,36,24,24,24,2.9155681423661785e-16,1.763980512253577e-16,24,24,24,3.597148837816885e-17,0.013,20260906
4-8-10,36,0,36,24,24,24,2.741841030628891e-16,1.8744569598111975e-16,24,24,24,4.406545068695301e-17,0.013,20260906
4-8-11,36,0,36,24,24,24,2.210765505361253e-16,1.5410277738673961e-16,24,24,24,4.0701256789406634e-17,0.013,20260906
4-8-12,36,0,36,24,24,24,2.610204745414221e-16,1.6577668216044918e-16,24,24,24,4.848480427203043e-17,0.013,20260906
4-8-13,36,0,36,24,24,24,2.555398112099474e-16,1.7728939426923207e-16,24,24,24,4.0512768760089073e-17,0.013,20260906
4-8-14,36,0,36,24,24,24,2.379626105901549e-16,1.9173124933071168e-16,24,24,24,4.6863364859461296e-17,0.013,20260906
4-8-15,36,0,36,24,24,24,3.154880295071459e-16,2.1699674348936548e-16,24,24,24,4.29817749999799e-17,0.013,20260906
4-9-10,36,0,36,24,24,24,3.147109497537116e-16,1.8762722372092339e-16,24,24,24,4.5032042584887076e-17,0.013,20260906
4-9-11,36,0,36,24,24,24,3.0251897222593303e-16,2.2152420038931548e-16,24,24,24,3.808596815723129e-17,0.013,20260906
4-9-12,36,0,36,24,24,24,3.0085978428029233e-16,2.0801579364961828e-16,24,24,24,4.1211147921896184e-17,0.013,20260906
4-9-13,36,0,36,24,24,24,3.7858648798732005e-16,1.6439135180756233e-16,24,24,24,3.7032382337419105e-17,0.013,20260906
4-9-14,36,0,36,24,24,24,3.3266736243673885e-16,2.4387754898044212e-16,24,24,24,4.685774826759734e-17,0.013,20260906
4-9-15,36,0,36,24,24,24,2.9434890904094087e-16,2.177341730605465e-16,24,24,24,4.029706361480593e-17,0.013,20260906
4-10-11,36,0,36,24,24,24,3.232194927914195e-16,2.7077388018030382e-16,24,24,24,4.459855781430383e-17,0.013,20260906
4-10-12,36,0,36,24,24,24,2.7480568177321156e-16,2.1479525941762188e-16,24,24,24,4.7983530082764825e-17,0.013,20260906
4-10-13,36,0,36,24,24,24,2.924071385549887e-16,2.5129604285643135e-16,24,24,24,4.1386170479687167e-17,0.013,20260906
4-10-14,36,0,36,24,24,24,2.2675054558654603e-16,1.8824621284649457e-16,24,24,24,4.56379883592615e-17,0.013,20260906
4-10-15,36,0,36,24,24,24,2.574374260807082e-16,1.8467625617299326e-16,24,24,24,4.492197495304601e-17,0.013,20260906
4-11-12,36,0,36,24,24,24,2.0719852274997537e-16,1.2887671001718638e-16,24,24,24,4.7971369760543275e-17,0.013,20260906
4-11-13,36,0,36,24,24,24,2.835751721554286e-16,2.007126432256239e-16,24,24,24,3.977139918004815e-17,0.013,20260906
4-11-14,36,0,36,24,24,24,2.485277752117325e-16,1.74979795379424e-16,24,24,24,4.565824704440047e-17,0.013,20260906
4-11-15,36,0,36,24,24,24,2.6494886838095603e-16,2.0728526136474058e-16,24,24,24,4.3928253136062e-17,0.013,20260906
4-12-13,36,0,36,24,24,24,2.0702854447238434e-16,1.6472819783844418e-16,24,24,24,4.4811413606144625e-17,0.013,20260906
4-12-14,36,0,36,24,24,24,2.6758215853583305e-16,2.057692512942889e-16,24,24,24,5.0390360883993796e-17,0.013,20260906
4-12-15,36,0,36,24,24,24,3.069815417643822e-16,2.7841415457944806e-16,24,24,24,4.987672523017088e-17,0.013,20260906
4-13-14,36,0,36,24,24,24,2.1245866130610603e-16,1.5344243014287907e-16,24,24,24,4.586474155401428e-17,0.013,20260906
4-13-15,36,0,36,24,24,24,2.847591120810663e-16,2.461711711831198e-16,24,24,24,4.4017069557979186e-17,0.013,20260906
4-14-15,36,0,36,24,24,24,3.0364859778298326e-16,2.1746917478978914e-16,24,24,24,4.642713305902613e-17,0.013,20260906
5-6-7,36,0,36,24,24,24,1.889694609081693e-16,1.6403229959594801e-16,24,24,24,4.280518963755427e-17,0.013,20260906
5-6-8,36,0,36,24,24,24,2.206244837230609e-16,1.8015042075079457e-16,24,24,24,3.482469934488867e-17,0.013,20260906
5-6-9,36,0,36,24,24,24,2.380681014627947e-16,1.494758314219679e-16,24,24,24,3.3937638048202606e-17,0.013,20260906
5-6-10,36,0,36,24,24,24,2.1069542659121987e-16,1.3479674026907536e-16,24,24,24,4.223774176067789e-17,0.013,20260906
5-6-11,36,0,36,24,24,24,2.614075714446598e-16,1.5166466815825989e-16,24,24,24,3.361572387082911e-17,0.013,20260906
5-6-12,36,0,36,24,24,24,2.650981671117156e-16,2.156034794631425e-16,24,24,24,4.0416834643644285e-17,0.013,20260906
5-6-13,36,0,36,24,24,24,1.900055566688321e-16,1.580661001179104e-16,24,24,24,3.6992690801999206e-17,0.013,20260906
5-6-14,36,0,36,24,24,24,2.223892000706137e-16,1.5577698248774563e-16,24,24,24,4.291566212399595e-17,0.013,20260906
5-6-15,36,0,36,24,24,24,2.523450090394234e-16,1.663525808142216e-16,24,24,24,4.091813602280888e-17,0.013,20260906
5-7-8,36,0,36,24,24,24,2.768888988156004e-16,2.5856057190064257e-16,24,24,24,4.190344998920993e-17,0.013,20260906
5-7-9,36,0,36,24,24,24,3.4836209653234636e-16,2.5025325542877724e-16,24,24,24,4.118774817626538e-17,0.013,20260906
5-7-10,36,0,36,24,24,24,2.4303675511424007e-16,2.0738038923310309e-16,24,24,24,4.713640738340752e-17,0.013,20260906
5-7-11,36,0,36,24,24,24,2.085694514386581e-16,1.5601447922327508e-16,24,24,24,4.2193025329705345e-17,0.013,20260906
5-7-12,36,0,36,24,24,24,3.2174237373621993e-16,1.730439700290564e-16,24,24,24,3.921182797410554e-17,0.013,20260906
5-7-13,36,0,36,24,24,24,3.186445978331052e-16,1.9878502243364167e-16,24,24,24,4.051715508003744e-17,0.013,20260906
5-7-14,36,0,36,24,24,24,3.371528697905923e-16,2.962313181351263e-16,24,24,24,4.690219467066939e-17,0.013,20260906
5-7-15,36,0,36,24,24,24,2.9637299960475206e-16,2.3299899160248497e-16,24,24,24,4.5190114323848396e-17,0.013,20260906
5-8-9,36,0,36,24,24,24,2.448232217534445e-16,1.583951378768459e-16,24,24,24,2.827696106569798e-17,0.013,20260906
5-8-10,36,0,36,24,24,24,2.634359791569386e-16,1.9245640094566112e-16,24,24,24,4.1455807386067133e-17,0.013,20260906
5-8-11,36,0,36,24,24,24,3.024724024272475e-16,2.080271287539132e-16,24,24,24,3.3977158838612357e-17,0.013,20260906
5-8-12,36,0,36,24,24,24,2.5976071705849543e-16,1.8796416200764148e-16,24,24,24,3.9131344667531446e-17,0.013,20260906
5-8-13,36,0,36,24,24,24,2.494256005803205e-16,1.5566635916194103e-16,24,24,24,3.32443396302971e-17,0.013,20260906
5-8-14,36,0,36,24,24,24,3.2529153866470395e-16,1.787275052248944e-16,24,24,24,4.365262646081829e-17,0.013,20260906
5-8-15,36,0,36,24,24,24,3.642732173943959e-16,2.279070444947623e-16,24,24,24,3.897281236249601e-17,0.013,20260906
5-9-10,36,0,36,24,24,24,2.00222826085867e-16,1.299152285249976e-16,24,24,24,4.159609823924218e-17,0.013,20260906
5-9-11,36,0,36,24,24,24,2.2292626282160887e-16,1.8961708228516448e-16,24,24,24,2.971003587587629e-17,0.013,20260906
5-9-12,36,0,36,24,24,24,2.3435549305670915e-16,2.0886542919933654e-16,24,24,24,3.3525917031499096e-17,0.013,20260906
5-9-13,36,0,36,24,24,24,2.717840311367647e-16,1.8197156407161375e-16,24,24,24,2.7183972885448043e-17,0.013,20260906
5-9-14,36,0,36,24,24,24,3.0074519030055436e-16,1.7783797049727587e-16,24,24,24,4.262917364369615e-17,0.013,20260906
5-9-15,36,0,36,24,24,24,2.7380993794767183e-16,2.1588449607576353e-16,24,24,24,3.4897807643657565e-17,0.013,20260906
5-10-11,36,0,36,24,24,24,3.8926056934217814e-16,2.416267238426568e-16,24,24,24,3.874116678860441e-17,0.013,20260906
5-10-12,36,0,36,24,24,24,3.5675071530549166e-16,2.398811091050899e-16,24,24,24,4.214311340686374e-17,0.013,20260906
5-10-13,36,0,36,24,24,24,3.182497661010753e-16,2.737820624034232e-16,24,24,24,3.66399395897677e-17,0.013,20260906
5-10-14,36,0,36,24,24,24,2.7939746908686005e-16,2.0830642554615281e-16,24,24,24,4.0229215576762316e-17,0.013,20260906
5-10-15,36,0,36,24,24,24,1.6914206326931774e-16,1.430989885189795e-16,24,24,24,4.200077739337459e-17,0.013,20260906
5-11-12,36,0,36,24,24,24,2.2091392159885967e-16,2.1989298762712275e-16,24,24,24,3.4789414110029955e-17,0.013,20260906
5-11-13,36,0,36,24,24,24,2.8766280480695963e-16,2.417827929968519e-16,24,24,24,2.985904632340082e-17,0.013,20260906
5-11-14,36,0,36,24,24,24,3.3285217907078696e-16,2.47234758940764e-16,24,24,24,3.853714455244147e-17,0.013,20260906
5-11-15,36,0,36,24,24,24,3.2718023943174403e-16,2.9331944819338483e-16,24,24,24,3.591298905204074e-17,0.013,20260906
5-12-13,36,0,36,24,24,24,2.181569249219618e-16,2.0349424480034606e-16,24,24,24,3.3467822915516423e-17,0.013,20260906
5-12-14,36,0,36,24,24,24,3.033518553418001e-16,2.351250422220609e-16,24,24,24,4.4193536452475666e-17,0.013,20260906
5-12-15,36,0,36,24,24,24,2.1498347312105425e-16,1.9266473197455128e-16,24,24,24,4.270732071606005e-17,0.013,20260906
5-13-14,36,0,36,24,24,24,2.1260141531173126e-16,1.6564972357359114e-16,24,24,24,3.8593935416625044e-17,0.013,20260906
5-13-15,36,0,36,24,24,24,2.1889329922360025e-16,1.7867825095463115e-16,24,24,24,3.7792692673761075e-17,0.013,20260906
5-14-15,36,0,36,24,24,24,1.9720426925293465e-16,1.7384798298192538e-16,24,24,24,3.752152571579302e-17,0.013,20260906
6-7-8,36,0,36,24,24,24,3.012490074910866e-16,2.2127538977629488e-16,24,24,24,4.004656339734934e-17,0.013,20260906
6-7-9,36,0,36,24,24,24,2.627331505494685e-16,1.7138421345021034e-16,24,24,24,4.3378169727275025e-17,0.013,20260906
6-7-10,36,0,36,24,24,24,2.857685668344634e-16,2.1994055129002178e-16,24,24,24,4.539924498508669e-17,0.013,20260906
6-7-11,36,0,36,24,24,24,2.2530419389308696e-16,1.6659864404703205e-16,24,24,24,4.4880477001804265e-17,0.013,20260906
6-7-12,36,0,36,24,24,24,2.7203579455094877e-16,2.0396996873656513e-16,24,24,24,4.2617793561214467e-17,0.013,20260906
6-7-13,36,0,36,24,24,24,3.308429141586031e-16,2.235737955100761e-16,24,24,24,4.4614247811418014e-17,0.013,20260906
6-7-14,36,0,36,24,24,24,4.425013779188008e-16,2.539477768731969e-16,24,24,24,4.5936477330928724e-17,0.013,20260906
6-7-15,36,0,36,24,24,24,3.3829049639101286e-16,2.5146818944349354e-16,24,24,24,4.672343392381273e-17,0.013,20260906
6-8-9,36,0,36,24,24,24,2.729630178353263e-16,1.9420597224044476e-16,24,24,24,3.425452140973145e-17,0.013,20260906
6-8-10,36,0,36,24,24,24,2.677977175797232e-16,1.5303142063173407e-16,24,24,24,3.759761218194765e-17,0.013,20260906
6-8-11,36,0,36,24,24,24,3.5603616937860437e-16,2.4662435135750474e-16,24,24,24,3.772521601917967e-17,0.013,20260906
6-8-12,36,0,36,24,24,24,2.225111627169555e-16,1.7739042866728276e-16,24,24,24,4.192231626232516e-17,0.013,20260906
6-8-13,36,0,36,24,24,24,3.076846282969337e-16,1.7076763526614288e-16,24,24,24,3.791927613126399e-17,0.013,20260906
6-8-14,36,0,36,24,24,24,2.5874910627243784e-16,2.2697601494011207e-16,24,24,24,4.120158113167142e-17,0.013,20260906
6-8-15,36,0,36,24,24,24,2.4411956840989666e-16,1.6705123904923582e-16,24,24,24,3.9688794615333444e-17,0.013,20260906
6-9-10,36,0,36,24,24,24,2.1454098609857098e-16,1.5241180826093685e-16,24,24,24,4.269200487885389e-17,0.013,20260906
6-9-11,36,0,36,24,24,24,1.9372558129184284e-16,1.3945251391105058e-16,24,24,24,3.835233247949237e-17,0.013,20260906
6-9-12,36,0,36,24,24,24,2.5284287231648015e-16,2.05541915189279e-16,24,24,24,4.215962297764939e-17,0.013,20260906
6-9-13,36,0,36,24,24,24,2.0779296222615421e-16,1.5314588522753545e-16,24,24,24,4.040874950257751e-17,0.013,20260906
6-9-14,36,0,36,24,24,24,1.7701202062477702e-16,1.3342564958900305e-16,24,24,24,4.6694605294679346e-17,0.013,20260906
6-9-15,36,0,36,24,24,24,2.0303002908313555e-16,1.2535181907126797e-16,24,24,24,4.168496958209117e-17,0.013,20260906
6-10-11,36,0,36,24,24,24,2.547990437147871e-16,1.9870527166929573e-16,24,24,24,4.0352215823991e-17,0.013,20260906
6-10-12,36,0,36,24,24,24,2.572539198045482e-16,2.3415498280243636e-16,24,24,24,4.546092936675951e-17,0.013,20260906
6-10-13,36,0,36,24,24,24,2.308984831944651e-16,1.6865888762936887e-16,24,24,24,3.6592998128729996e-17,0.013,20260906
6-10-14,36,0,36,24,24,24,1.4480430722266704e-16,9.256392140404766e-17,24,24,24,4.195967247490352e-17,0.013,20260906
6-10-15,36,0,36,24,24,24,1.2433024679632596e-16,1.0754314153067184e-16,24,24,24,4.267846488030986e-17,0.013,20260906
6-11-12,36,0,36,24,24,24,2.8501611754586245e-16,1.958855890980569e-16,24,24,24,4.538757916744614e-17,0.013,20260906
6-11-13,36,0,36,24,24,24,2.5889502944601374e-16,1.7862288712178486e-16,24,24,24,4.0735268592472426e-17,0.013,20260906
6-11-14,36,0,36,24,24,24,2.708720403193102e-16,2.356214589825804e-16,24,24,24,4.234295831667262e-17,0.013,20260906
6-11-15,36,0,36,24,24,24,2.77873856846878e-16,1.8278331037630453e-16,24,24,24,4.300416181976201e-17,0.013,20260906
6-12-13,36,0,36,24,24,24,2.621706033057273e-16,2.1825904278813576e-16,24,24,24,4.445371291568498e-17,0.013,20260906
6-12-14,36,0,36,24,24,24,2.307392765563019e-16,2.014253102869538e-16,24,24,24,4.7764903825074466e-17,0.013,20260906
6-12-15,36,0,36,24,24,24,2.740203638105685e-16,2.4687993328583424e-16,24,24,24,4.9022653283584834e-17,0.013,20260906
6-13-14,36,0,36,24,24,24,2.1313026529010143e-16,1.4194724986804415e-16,24,24,24,4.3962803426266286e-17,0.013,20260906
6-13-15,36,0,36,24,24,24,2.520282648303531e-16,1.8624096177055405e-16,24,24,24,4.5546987796887927e-17,0.013,20260906
6-14-15,36,0,36,24,24,24,1.6524268614508025e-16,1.377570322648077e-16,24,24,24,4.394808665518964e-17,0.013,20260906
7-8-9,36,0,36,24,24,24,2.1263360285830943e-16,1.7292242764860837e-16,24,24,24,4.277089438782362e-17,0.013,20260906
7-8-10,36,0,36,24,24,24,2.5156220754409706e-16,1.972846242554301e-16,24,24,24,4.404779249646865e-17,0.013,20260906
7-8-11,36,0,36,24,24,24,1.6695663130339257e-16,1.284043386201818e-16,24,24,24,4.3605393004902403e-17,0.013,20260906
7-8-12,36,0,36,24,24,24,1.3842421676666326e-16,9.629890231303428e-17,24,24,24,3.916746401261571e-17,0.013,20260906
7-8-13,36,0,36,24,24,24,1.6697773429039077e-16,1.175357560130665e-16,24,24,24,4.179950152824865e-17,0.013,20260906
7-8-14,36,0,36,24,24,24,2.5649039971950387e-16,1.9153037217167127e-16,24,24,24,4.8287189799315325e-17,0.013,20260906
7-8-15,36,0,36,24,24,24,2.16475945184917e-16,1.527838979356134e-16,24,24,24,4.6062391225675367e-17,0.013,20260906
7-9-10,36,0,36,24,24,24,3.0189328984518014e-16,2.5919644785185006e-16,24,24,24,5.131968366981429e-17,0.013,20260906
7-9-11,36,0,36,24,24,24,2.334580152259341e-16,2.010218866036093e-16,24,24,24,4.488041295307531e-17,0.013,20260906
7-9-12,36,0,36,24,24,24,3.4229414344167577e-16,2.3648549953183994e-16,24,24,24,3.917888226354465e-17,0.013,20260906
7-9-13,36,0,36,24,24,24,2.3166429922999806e-16,2.095641544465974e-16,24,24,24,4.3993925595986796e-17,0.013,20260906
7-9-14,36,0,36,24,24,24,2.4821437040195697e-16,1.928146415391536e-16,24,24,24,5.002979382963547e-17,0.013,20260906
7-9-15,36,0,36,24,24,24,1.8925339307192455e-16,1.6197451381314326e-16,24,24,24,4.586479607612851e-17,0.013,20260906
7-10-11,36,0,36,24,24,24,2.8104676539130103e-16,2.4319456436888503e-16,24,24,24,5.2408386213997576e-17,0.013,20260906
7-10-12,36,0,36,24,24,24,2.4058786707309887e-16,2.273913235425098e-16,24,24,24,4.907936491962104e-17,0.013,20260906
7-10-13,36,0,36,24,24,24,1.9838142581609556e-16,1.2944649885179945e-16,24,24,24,4.653224898413481e-17,0.013,20260906
7-10-14,36,0,36,24,24,24,2.8330588192065125e-16,2.3964977153134093e-16,24,24,24,4.874744110467201e-17,0.013,20260906
7-10-15,36,0,36,24,24,24,2.458929165649151e-16,2.0579147925043412e-16,24,24,24,5.227256670230508e-17,0.013,20260906
7-11-12,36,0,36,24,24,24,1.3789648373565636e-16,1.2813230523232408e-16,24,24,24,5.566622845651552e-17,0.013,20260906
7-11-13,36,0,36,24,24,24,1.9664084532301758e-16,1.6310186807869193e-16,24,24,24,4.8183119347698165e-17,0.013,20260906
7-11-14,36,0,36,24,24,24,2.490429524182072e-16,1.9023152818468017e-16,24,24,24,5.152880064040413e-17,0.013,20260906
7-11-15,36,0,36,24,24,24,1.7367225178205592e-16,1.5145173426955803e-16,24,24,24,5.313885249123909e-17,0.013,20260906
7-12-13,36,0,36,24,24,24,1.4266691006882168e-16,1.2406239712265514e-16,24,24,24,4.2860531684363896e-17,0.013,20260906
7-12-14,36,0,36,24,24,24,1.9807793197228113e-16,1.5747504909060334e-16,24,24,24,4.901656451250857e-17,0.013,20260906
7-12-15,36,0,36,24,24,24,1.7996306049805442e-16,1.2191070927947704e-16,24,24,24,4.8419071309733226e-17,0.013,20260906
7-13-14,36,0,36,24,24,24,1.8700375779838875e-16,1.6753057777014894e-16,24,24,24,4.9646870383965165e-17,0.013,20260906
7-13-15,36,0,36,24,24,24,2.1286758322939044e-16,1.6043371026404836e-16,24,24,24,4.9617572797830335e-17,0.013,20260906
7-14-15,36,0,36,24,24,24,1.8902705465259335e-16,1.606305825097971e-16,24,24,24,4.8584239533010836e-17,0.013,20260906
8-9-10,36,0,36,24,24,24,1.8092701593182566e-16,1.5258865548634226e-16,24,24,24,4.3955340945784634e-17,0.013,20260906
8-9-11,36,0,36,24,24,24,3.026825438228676e-16,1.8568039165661847e-16,24,24,24,3.5014943694634184e-17,0.013,20260906
8-9-12,36,0,36,24,24,24,1.8966510415352383e-16,1.4543738669160794e-16,24,24,24,3.715988698929725e-17,0.013,20260906
8-9-13,36,0,36,24,24,24,2.314928123521186e-16,1.733098918389696e-16,24,24,24,3.245371162116661e-17,0.013,20260906
8-9-14,36,0,36,24,24,24,2.1652836998770391e-16,1.473662270326217e-16,24,24,24,4.5689054647237304e-17,0.013,20260906
8-9-15,36,0,36,24,24,24,2.5849841057861384e-16,2.0355286902691734e-16,24,24,24,3.817544572640395e-17,0.013,20260906
8-10-11,36,0,36,24,24,24,2.4868774538684e-16,1.7979077524343623e-16,24,24,24,4.291877027360031e-17,0.013,20260906
8-10-12,36,0,36,24,24,24,2.3316957917229024e-16,1.9230774952370368e-16,24,24,24,4.5621221037780724e-17,0.013,20260906
8-10-13,36,0,36,24,24,24,2.547126642473954e-16,1.6268950566029704e-16,24,24,24,3.9020897724098197e-17,0.013,20260906
8-10-14,36,0,36,24,24,24,3.161053797031983e-16,2.2877692947891206e-16,24,24,24,4.236722087477118e-17,0.013,20260906
8-10-15,36,0,36,24,24,24,2.6219799010688e-16,1.617001014462243e-16,24,24,24,4.233714522955817e-17,0.013,20260906
