configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual,perturbation_level,perturbation_seed
1-6-7,36,0,36,24,24,24,2.7429583441414855e-16,1.5883195768597998e-16,24,24,24,5.513129771641942e-17,0.013,20260906
1-6-8,36,0,36,24,24,24,2.87756687349093e-16,1.793725849781476e-16,24,24,24,4.6110790104483836e-17,0.013,20260906
1-6-9,36,0,36,24,24,24,1.997607586030033e-16,1.533296564556459e-16,24,24,24,4.861306148257418e-17,0.013,20260906
1-6-10,36,0,36,24,24,24,2.3926445543550797e-16,1.255865435127793e-16,24,24,24,5.2840004746207113e-17,0.013,20260906
1-6-11,36,0,36,24,24,24,2.8734332132028617e-16,2.251483819307011e-16,24,24,24,5.035614347482682e-17,0.013,20260906
1-6-12,36,0,36,24,24,24,3.6517372883923027e-16,2.1039001378478093e-16,24,24,24,5.4471536432174263e-17,0.013,20260906
1-6-13,36,0,36,24,24,24,2.151525367300532e-16,1.5907406042519144e-16,24,24,24,4.8171073183574604e-17,0.013,20260906
1-6-14,36,0,36,24,24,24,4.3238868874629945e-16,2.839357244837663e-16,24,24,24,5.396617562072097e-17,0.013,20260906
1-6-15,36,0,36,24,24,24,2.6128843373662796e-16,1.6414607028330801e-16,24,24,24,5.1854922721363894e-17,0.013,20260906
1-7-8,36,0,36,24,24,24,3.0727139339859477e-16,2.1761658120541913e-16,24,24,24,5.5377646863733166e-17,0.013,20260906
1-7-9,36,0,36,24,24,24,3.660253300362722e-16,2.6905576869581433e-16,24,24,24,5.388106593510885e-17,0.013,20260906
1-7-10,36,0,36,24,24,24,3.2292569601815047e-16,1.5846913924522168e-16,24,24,24,5.988044699926703e-17,0.013,20260906
1-7-11,36,0,36,24,24,24,3.222369285761761e-16,2.3223314211309706e-16,24,24,24,6.584235002633733e-17,0.013,20260906
1-7-12,36,0,36,24,24,24,2.550580085839626e-16,1.811404986118345e-16,24,24,24,5.840202946942262e-17,0.013,20260906
1-7-13,36,0,36,24,24,24,2.603998873590764e-16,2.118456813332071e-16,24,24,24,5.5095934428320745e-17,0.013,20260906
1-7-14,36,0,36,24,24,24,3.7194239477598307e-16,2.465651504057731e-16,24,24,24,6.0245471709611e-17,0.013,20260906
1-7-15,36,0,36,24,24,24,3.770797560357983e-16,1.9678582147220972e-16,24,24,24,5.948509233470692e-17,0.013,20260906
1-8-9,36,0,36,24,24,24,2.2217711008409023e-16,2.1773843226099514e-16,24,24,24,4.4580251133928386e-17,0.013,20260906
1-8-10,36,0,36,24,24,24,3.5172018606354645e-16,2.67918277914476e-16,24,24,24,5.0164146579447546e-17,0.013,20260906
1-8-11,36,0,36,24,24,24,3.194515828328398e-16,2.528518563012144e-16,24,24,24,4.9702997878298766e-17,0.013,20260906
1-8-12,36,0,36,24,24,24,2.569685165960911e-16,1.9795314684483933e-16,24,24,24,5.469296662229404e-17,0.013,20260906
1-8-13,36,0,36,24,24,24,2.9480962603490797e-16,1.985860830864521e-16,24,24,24,4.6937851801111254e-17,0.013,20260906
1-8-14,36,0,36,24,24,24,2.360829710949779e-16,2.1684554531468813e-16,24,24,24,5.3158786008766046e-17,0.013,20260906
1-8-15,36,0,36,24,24,24,2.8312651568745946e-16,2.2712146741961104e-16,24,24,24,4.773691064947548e-17,0.013,20260906
1-9-10,36,0,36,24,24,24,3.631868963957231e-16,1.701006357341078e-16,24,24,24,5.2818786038585565e-17,0.013,20260906
1-9-11,36,0,36,24,24,24,2.7071569743556803e-16,1.979850783733189e-16,24,24,24,4.551475889037933e-17,0.013,20260906
1-9-12,36,0,36,24,24,24,2.836570242372771e-16,1.9949228719434287e-16,24,24,24,4.897854718110461e-17,0.013,20260906
1-9-13,36,0,36,24,24,24,2.2853235913106247e-16,1.8581781935063966e-16,24,24,24,4.231606397542388e-17,0.013,20260906
1-9-14,36,0,36,24,24,24,2.503796197876508e-16,2.1486484311467578e-16,24,24,24,5.3848275830002243e-17,0.013,20260906
1-9-15,36,0,36,24,24,24,2.3116267341546327e-16,1.9342666224306677e-16,24,24,24,4.567557781474986e-17,0.013,20260906
1-10-11,36,0,36,24,24,24,2.6151584751924275e-16,2.215181937857494e-16,24,24,24,5.2605596316779446e-17,0.013,20260906
1-10-12,36,0,36,24,24,24,3.793990115825983e-16,2.747629605883824e-16,24,24,24,5.5455681907975224e-17,0.013,20260906
1-10-13,36,0,36,24,24,24,2.648761522732223e-16,2.308395299127742e-16,24,24,24,4.693727984111676e-17,0.013,20260906
1-10-14,36,0,36,24,24,24,2.703564292124332e-16,1.6753543708977627e-16,24,24,24,5.4651266579957046e-17,0.013,20260906
1-10-15,36,0,36,24,24,24,2.1500071069571148e-16,1.8157418765057207e-16,24,24,24,5.473281514961316e-17,0.013,20260906
1-11-12,36,0,36,24,24,24,2.045381839207259e-16,1.4390938637729761e-16,24,24,24,5.869357113307539e-17,0.013,20260906
1-11-13,36,0,36,24,24,24,2.3197442296898954e-16,1.773891818183025e-16,24,24,24,4.649421308344079e-17,0.013,20260906
1-11-14,36,0,36,24,24,24,2.945237727605136e-16,2.004363020866295e-16,24,24,24,5.377112656203256e-17,0.013,20260906
1-11-15,36,0,36,24,24,24,2.683671417471698e-16,2.2017626390761566e-16,24,24,24,5.131722222569312e-17,0.013,20260906
1-12-13,36,0,36,24,24,24,2.7256239947865484e-16,1.67881928671575e-16,24,24,24,5.246999910368499e-17,0.013,20260906
1-12-14,36,0,36,24,24,24,2.5641733566972005e-16,2.2951546398569385e-16,24,24,24,5.857256653552202e-17,0.013,20260906
1-12-15,36,0,36,24,24,24,2.710161941575751e-16,2.1127394169507003e-16,24,24,24,5.716716875348681e-17,0.013,20260906
1-13-14,36,0,36,24,24,24,2.602202899560998e-16,1.768826198647851e-16,24,24,24,5.23372608016762e-17,0.013,20260906
1-13-15,36,0,36,24,24,24,2.1153977919319975e-16,1.8555302583022108e-16,24,24,24,4.933059388606599e-17,0.013,20260906
1-14-15,36,0,36,24,24,24,1.919117277101546e-16,1.5248973412737561e-16,24,24,24,5.63991541883838e-17,0.013,20260906
2-3-4,36,0,36,24,24,24,1.7138470179270413e-16,1.1771502024370716e-16,24,24,24,5.0343514180074884e-17,0.013,20260906
2-3-5,36,0,36,24,24,24,1.9785174980340773e-16,1.3258381865744424e-16,24,24,24,4.9019503642774756e-17,0.013,20260906
2-3-6,36,0,36,24,24,24,2.5029019075901064e-16,1.208297646282743e-16,24,24,24,5.3559070199947744e-17,0.013,20260906
2-3-7,36,0,36,24,24,24,2.61783693395577e-16,2.0181598173500155e-16,24,24,24,5.873293151274458e-17,0.013,20260906
2-3-8,36,0,36,24,24,24,2.719854162395383e-16,1.4971021845238312e-16,24,24,24,4.582813607561558e-17,0.013,20260906
2-3-9,36,0,36,24,24,24,3.224785916824411e-16,2.358289133449286e-16,24,24,24,4.6445276692817087e-17,0.013,20260906
2-3-10,36,0,36,24,24,24,2.37428198163387e-16,1.8025033458495832e-16,24,24,24,5.34168435137252e-17,0.013,20260906
2-3-11,36,0,36,24,24,24,2.487373339821365e-16,1.9719579754445073e-16,24,24,24,4.873994955040439e-17,0.013,20260906
2-3-12,36,0,36,24,24,24,3.4506795071162006e-16,2.421450960275877e-16,24,24,24,5.2127601552347985e-17,0.013,20260906
2-3-13,36,0,36,24,24,24,2.637317829928077e-16,2.2269075569653365e-16,24,24,24,4.422140180108847e-17,0.013,20260906
2-3-14,36,0,36,24,24,24,2.995030565803606e-16,1.9857737968648157e-16,24,24,24,5.516913122641571e-17,0.013,20260906
2-3-15,36,0,36,24,24,24,3.010222424699714e-16,1.975952664402239e-16,24,24,24,5.353963347468221e-17,0.013,20260906
2-4-5,36,0,36,24,24,24,1.7170614331113865e-16,1.0739594921690739e-16,24,24,24,3.898135590458283e-17,0.013,20260906
2-4-6,36,0,36,24,24,24,3.926116950555445e-16,1.8217733205659763e-16,24,24,24,4.3422807813545646e-17,0.013,20260906
2-4-7,36,0,36,24,24,24,2.4163952727946053e-16,1.772140606002781e-16,24,24,24,5.522464147322931e-17,0.013,20260906
2-4-8,36,0,36,24,24,24,2.930730341529339e-16,2.2137360965608347e-16,24,24,24,4.2767152995788433e-17,0.013,20260906
2-4-9,36,0,36,24,24,24,3.6915512034454724e-16,2.0191215194792427e-16,24,24,24,4.160257439169281e-17,0.013,20260906
