case,gain,status,epochs,measurement_slots,failed_local_fits,slot,epoch,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
table1_gain_0.25,0.25,quiet_full_cycle,8,224,0,224,8,0.00015227360527492228,0.0001054899768336792,6.815272006122086e-05,7.802008655444764e-05,7.161987328885289e-05
table1_gain_0.5,0.5,quiet_full_cycle,7,196,0,196,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
table1_gain_1,1.0,quiet_full_cycle,7,196,0,196,7,9.049344726003427e-06,4.7764622463595e-06,4.317388530239441e-06,4.8722056634464995e-06,4.872205671802021e-06
nominal,0.5,quiet_full_cycle,2,56,0,56,2,0.0,0.0,1.4210854715202004e-14,0.0,4.263256414560601e-14
cartesian_perturbation_1,0.5,quiet_full_cycle,7,196,0,196,7,6.980936448320261e-05,3.623031444744917e-05,3.300396576833009e-05,3.782215355757305e-05,3.782215355130347e-05
cartesian_perturbation_2,0.5,quiet_full_cycle,7,196,0,196,7,7.464538321340433e-05,4.254077368763343e-05,3.1930852799177956e-05,4.04426011859673e-05,4.04426011826331e-05
cartesian_perturbation_3,0.5,quiet_full_cycle,7,196,0,196,7,5.697297091989693e-05,2.990852893140732e-05,2.98459116407912e-05,2.7805520031270953e-05,2.0162434054782352e-05
