slot,epoch,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
65,3,0.09884732233583166,0.06636359965024766,0.09173793857901558,0.035087628460491994,0.04123664416806605
66,3,0.09884732233583166,0.06543434965235413,0.09173793857901558,0.03749054039140156,0.03449965106494801
67,3,0.09576149681362464,0.06039607067365054,0.07791130246799582,0.042649100580195914,0.04264910058019211
68,3,0.10165807359486617,0.05277481809870074,0.0581416334587459,0.054740494578656505,0.054740494578673804
69,3,0.10165807359486617,0.04865798945070332,0.03477947725718877,0.054740494578656505,0.054740494578673804
70,3,0.06925362080824793,0.04192777233815695,0.02521062481213221,0.03728732709733496,0.03728732709733151
71,3,0.06735377379628402,0.03648337253494563,0.02406693429533391,0.036502325273147236,0.02847384390187102
72,3,0.06735377379628402,0.035392568802808944,0.027733977218986183,0.036502325273147236,0.03216893611291738
73,3,0.06735377379628402,0.036853337730877476,0.029567354929980638,0.036502325273147236,0.03401757826028984
74,3,0.06735377379628402,0.039997821875421204,0.030483971941549726,0.036502325273147236,0.03494244726386597
75,3,0.039057363237801804,0.026128030682658454,0.01890792057659496,0.02102932803706283,0.021029328037066364
76,3,0.02619766261939586,0.020361115815190962,0.015796398091737274,0.014072285703088678,0.014072285703086607
77,3,0.028644720077905462,0.017598075964813553,0.014760862375496231,0.015422722939075087,0.015422722939099742
78,3,0.028644720077905462,0.015428767212501786,0.010325286470816764,0.015422722939075087,0.015422722939099742
79,3,0.02007460769359252,0.011940155886995348,0.007648778966085956,0.010808175801255232,0.010808175801280129
80,3,0.01780539616982575,0.010556657577375528,0.007247945269753586,0.00958640001982893,0.009586400019820474
81,3,0.01780539616982575,0.010084937728994098,0.0070825159373981705,0.00958640001982893,0.009586400019820474
82,3,0.014875595409527872,0.008376909356413666,0.006086898554244158,0.008008969195172199,0.008008969195167026
83,3,0.014875595409527872,0.007745745842933279,0.0055890804799787475,0.008008969195172199,0.008008969195167026
84,3,0.014875595409527872,0.008001748047112418,0.006587353472937707,0.008008969195172199,0.008008969195167026
85,4,0.01472772405329712,0.008229111621529632,0.006116723277784786,0.007929408132927914,0.007929408132909543
86,4,0.010282633849801439,0.006617273959564335,0.005486123411841959,0.005536213876966479,0.005536213876965235
87,4,0.010282633849801439,0.00503650559608686,0.0035163987223967297,0.005536213876966479,0.005536213876965235
88,4,0.010282633849801439,0.004243499707644866,0.0035163987223967297,0.005536213876966479,0.005536213876965235
89,4,0.010282633849801439,0.004162178727396868,0.0035163987223967297,0.005536213876966479,0.005536213876965235
90,4,0.010282633849801439,0.005015476316565628,0.0039806023788742095,0.005536213876966479,0.005536213876965235
91,4,0.01049440889167868,0.007051208951614212,0.007616000171850601,0.005536213876966479,0.005536213876965235
92,4,0.006505607212295259,0.004415960866885644,0.005452785066637489,0.0029693969316562418,0.0029693969316682
93,4,0.005897192859048299,0.003983317359028075,0.005449352458157364,0.0021316320204924004,0.00254804374053208
94,4,0.005897192859048299,0.003924678084284095,0.005449352458157364,0.002261730856615925,0.0021189206076144274
95,4,0.00573573067429401,0.003611269004005557,0.004651603556254713,0.0025293802118524084,0.002365167349694275
96,4,0.006051522402658341,0.0031664160393601814,0.0034830038586619594,0.003185631131712832,0.003185631131742639
97,4,0.006051522402658341,0.0029232607551016,0.0023892127899074467,0.003185631131712832,0.003185631131742639
98,4,0.004090413813543732,0.0025855671764830547,0.0016908988955037785,0.002166701335120519,0.00216670133511343
99,4,0.003995668050950739,0.0023311564759361174,0.002116951303833048,0.002144723549833981,0.0017417820131981898
100,4,0.003995668050950739,0.002448160760224745,0.002116951303833048,0.002144723549833981,0.0019516342208092397
101,4,0.003995668050950739,0.0025456591491534626,0.002329976497634334,0.002144723549833981,0.0020565640382130823
102,4,0.00416626026978886,0.0027523257834893154,0.0024364885893675137,0.0023109106308948205,0.002310910630910712
103,4,0.002816590388410972,0.0018825493114303664,0.001410802005054279,0.0015516986276906614,0.001551698627693554
104,4,0.002143036814202612,0.0015344192962247817,0.001410802005054279,0.0011720905188693277,0.0011720905188781217
105,4,0.0021823772929929863,0.0014511877876989153,0.0011005739564495798,0.0011744747924506281,0.0011744747924495869
106,4,0.0021823772929929863,0.0013806575831789723,0.0009106954291269176,0.0011744747924506281,0.0011744747924495869
107,4,0.001514663187740138,0.0009527086399907623,0.0006673263504097804,0.0008152367104577933,0.0008152367104727887
108,4,0.0013059827505566555,0.0007759662454559364,0.0005456420690848063,0.0007030141073183436,0.0007030141073229856
109,4,0.0013059827505566555,0.0007187428530517613,0.0005115531177324328,0.0007030141073183436,0.0007030141073229856
110,4,0.0010203257621545874,0.0005446982765518566,0.00039369057290628007,0.0005492810434376222,0.0005492810434546413
111,4,0.0010203257621545874,0.0004834844495743502,0.00034929597103428023,0.0005492810434376222,0.0005492810434546413
112,4,0.0010203257621545874,0.0004919634068497326,0.00037596764470038124,0.0005492810434376222,0.0005492810434546413
113,5,0.0009252859092714517,0.00048578552800146175,0.00035809283106402745,0.0004981443795594153,0.0004981443795628593
114,5,0.000583349443810132,0.0003670112373429706,0.0002620534769732785,0.0003169874780865274,0.0003169874780937221
115,5,0.000583349443810132,0.0002927662292724606,0.00020090213062928797,0.0003169874780865274,0.0003169874780937221
116,5,0.000583349443810132,0.00025806841845228906,0.00018496808166901246,0.0003169874780865274,0.0003169874780937221
117,5,0.000583349443810132,0.00027424565106836697,0.00025147867243902056,0.0003169874780865274,0.0003169874780937221
118,5,0.000583349443810132,0.00029414284368083765,0.00020444724539459003,0.0003169874780865274,0.0003169874780937221
119,5,0.000583349443810132,0.00036608083693568126,0.00029299771507851347,0.0003169874780865274,0.0003169874780937221
120,5,0.00032895379527677065,0.00023554279179337245,0.0002463402167336426,0.0001726628375883697,0.0001726628375990913
121,5,0.0002888921953429894,0.00020147146438282207,0.00025630720415392716,0.00011794360475384905,0.00011153173195310728
122,5,0.0002888921953429894,0.00019344080140767158,0.00025630720415392716,0.00012157358855424322,9.410445871083084e-05
123,5,0.0002846562741406789,0.00018205083662057033,0.00022400931547394975,0.00013105068962859944,0.00013105068963881195
124,5,0.0003090576266138376,0.00016567286870487174,0.00016979329492983197,0.00016468477157782077,0.00016468477156905692
125,5,0.0003090576266138376,0.00015743157780816265,0.00011358342587186598,0.00016468477157782077,0.00016468477156905692
126,5,0.0002195298698860521,0.0001414626190049901,9.55335528658452e-05,0.00011734836140076942,0.00011734836138543869
127,5,0.0002094751348674528,0.0001262656704124156,0.00011888688931094293,0.00011463302581645264,9.034165732657584e-05
128,5,0.0002094751348674528,0.00013235101052446363,0.00011888688931094293,0.00011463302581645264,9.992393612634487e-05
129,5,0.0002094751348674528,0.0001373330857312771,0.0001305635691153384,0.00011463302581645264,0.00010471508445419886
130,5,0.0002171054133154557,0.00014881605973717811,0.0001364019112202186,0.00012143537462444992,0.00012143537463060738
131,5,0.00015074777075366606,0.00010557048574022268,8.494854300522547e-05,8.357573334462382e-05,8.357573334905055e-05
132,5,0.00011770933773895763,8.824763471475089e-05,8.494854300522547e-05,6.464592022354205e-05,6.464592021160342e-05
133,5,0.00013065806950781196,8.460738201130692e-05,6.574743625265e-05,7.033394543989306e-05,7.033394545885585e-05
134,5,0.00013065806950781196,8.186441082865566e-05,5.32825047798724e-05,7.033394543989306e-05,7.033394545885585e-05
135,5,9.594850630972068e-05,5.971639349731361e-05,3.800357687566702e-05,5.165262063396523e-05,5.165262065531806e-05
136,5,8.669222887750808e-05,5.053698364379284e-05,3.61250443887684e-05,4.667223087113918e-05,4.667223090137895e-05
137,5,8.669222887750808e-05,4.80829156009192e-05,2.9666007250739312e-05,4.667223087113918e-05,4.667223090137895e-05
138,5,7.264420357026372e-05,3.99324714604974e-05,2.7546310533921314e-05,3.9110328532663046e-05,3.911032852244034e-05
139,5,7.264420357026372e-05,3.7401503131612554e-05,2.4853555260051508e-05,3.9110328532663046e-05,3.911032852244034e-05
140,5,7.264420357026372e-05,3.742634705563304e-05,2.4853555260051508e-05,3.9110328532663046e-05,3.911032852244034e-05
141,6,6.575717854241238e-05,3.8194955439417165e-05,2.81736693352741e-05,3.5403132874377435e-05,3.5403132869760157e-05
142,6,5.180445604679123e-05,3.064344218870649e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
143,6,5.180445604679123e-05,2.769363020638746e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
144,6,5.180445604679123e-05,2.6837843859423494e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
145,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
146,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
147,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
148,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
149,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
150,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
151,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
152,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
153,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
154,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
155,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
156,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
157,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
158,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
159,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
160,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
161,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
162,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
163,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
164,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
165,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
166,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
167,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
168,6,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
169,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
170,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
171,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
172,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
173,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
174,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
175,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
176,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
177,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
178,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
179,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
180,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
181,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
182,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
183,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
184,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
185,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
186,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
187,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
188,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
189,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
190,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
191,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
192,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
193,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
194,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
195,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
196,7,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
