seed,sigma_theta_deg,eta_c,eta_r,n_bootstrap,n_main,online_status,original_1e-8_stop_applicable,production_acceptance_hits,original_angle_stop_hits,bootstrap_failure_count,receiver_failure_count,failure_count,final_reference_error_norm_d,final_receiver_rms_d,final_receiver_max_d,final_team_rms_d,final_team_max_d,bootstrap_action_displacement_d,main_action_displacement_d,total_action_displacement_d,measurement_slots,transmitter_uses
11,0.01,0.25,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.010305683540116227,0.00752887138991476,0.010561311640207011,0.0072406904187356175,0.010561311640207011,0.08970721810535667,0.503213470400698,0.5929206885060546,34,86
11,0.01,0.5,0.5,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.0005925450534729027,0.0004901993091483506,0.0009481938541329177,0.00046437441737384337,0.0009481938541329177,0.09962225947489366,0.5163849342362424,0.6160071937111361,34,86
11,0.01,0.75,0.75,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.0002143256301687214,0.000445597912393246,0.0007893317163104198,0.00040237838494778746,0.0007893317163104198,0.10254262181707557,0.5542328659253575,0.656775487742433,34,86
11,0.01,1.0,1.0,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.00034446885603234013,0.0007326037349617743,0.0012851452636746456,0.0006612693643055266,0.0012851452636746456,0.10806052905221478,0.6108511966061799,0.7189117256583947,34,86
11,0.01,0.5,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.0005925450534729027,0.0004158925867834503,0.0006126059115874201,0.0004022196220385377,0.0006126059115874201,0.09962225947489366,0.4824995720204254,0.582121831495319,34,86
23,0.01,0.25,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.010047954203156403,0.007392566608510458,0.010393059255162557,0.007102872078269438,0.010393059255162557,0.08998715925225724,0.48061348445887736,0.5706006437111346,34,86
23,0.01,0.5,0.5,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.0002517258485361024,0.00032434630686252745,0.0006563796126621256,0.00029729583741065627,0.0006563796126621256,0.1002445106707099,0.512556652815356,0.612801163486066,34,86
23,0.01,0.75,0.75,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.00034314126961383233,0.00044346994183093284,0.0008264759112957805,0.0004064261312631169,0.0008264759112957805,0.10366299798554132,0.5507466254765203,0.6544096234620617,34,86
23,0.01,1.0,1.0,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.000583161585407296,0.0005834871354328771,0.0009654126004407625,0.0005431736543244543,0.0009654126004407625,0.10932166263325775,0.6053451562626794,0.7146668188959371,34,86
23,0.01,0.5,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.0002517258485361024,0.0002882484955086173,0.0004885268283357744,0.00026588371452911477,0.0004885268283357744,0.1002445106707099,0.480894972301308,0.5811394829720179,34,86
