2.000000028562510579e+00,3.464101603184603029e+00
1.500000035265832476e+00,2.598076211811952696e+00
2.500000029077253494e+00,2.598076189603137465e+00
1.000000037173363054e+00,1.732050822585602168e+00
2.000000029838750137e+00,1.732050804864049720e+00
3.000000029935702806e+00,1.732050774954917660e+00
5.000000342858008651e-01,8.660254499391824012e-01
1.500000022869996119e+00,8.660253982717929233e-01
2.500000017632745930e+00,8.660253911161346352e-01
3.500000014933874581e+00,8.660253802939511525e-01
0.000000000000000000e+00,0.000000000000000000e+00
1.000000025216897903e+00,-5.494287178114212156e-09
2.000000018143397007e+00,-9.349364892381172291e-09
3.000000027759749610e+00,-6.027010206057081234e-09
4.000000000000000000e+00,0.000000000000000000e+00
