gain,difference_step_m,absolute_frobenius_error,relative_frobenius_error,max_entry_error,selection_changes,clipped_decisions,failed_fits
0.25,0.001,3.051574744565721e-07,2.5801280480426453e-07,1.0629700843145518e-07,0,0,0
0.25,0.0001,3.0624183501207727e-07,2.589296393299246e-07,1.2285880525431114e-07,0,0,0
0.25,1e-05,5.8457785996408743e-08,4.9426471871418526e-08,1.638585300778317e-08,0,0,0
0.5,0.001,2.2594769601046622e-07,8.886555847118317e-08,1.4185909996689006e-07,0,0,0
0.5,0.0001,7.776026622312809e-07,3.058322614834748e-07,3.94132389724966e-07,0,0,0
0.5,1e-05,3.3819504331895266e-05,1.3301260392286794e-05,2.3086007042120104e-05,0,0,0
1.0,0.001,3.709995744766531e-07,7.218520376247876e-08,2.146199082897482e-07,0,0,0
1.0,0.0001,2.77154171703835e-06,5.392575014751493e-07,1.0324406805040098e-06,0,0,0
1.0,1e-05,1.0498277342428013e-06,2.0426446315664698e-07,3.7303493627405254e-07,0,0,0
