stage,rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
bootstrap,0.1,11,1.0,1,1,-0.12594414353126782,-0.12503872927614879,1.9999999999999996,3.4641016151377535,1
main,0.1,11,1.0,1,2,-0.16182357830396032,-0.03689373596604062,1.4999999999999987,2.598076211353315,1
main,0.1,11,1.0,1,3,-0.09544080209911154,-0.018581927593472436,2.499999999999999,2.598076211353316,1
main,0.1,11,1.0,1,4,-0.11068963088055028,-0.06265224052226803,0.9999999999999998,1.732050807568877,1
main,0.1,11,1.0,1,5,-0.12478359675844652,0.04286772224551294,1.9999999999999996,1.7320508075688772,1
main,0.1,11,1.0,1,6,-0.17310607801165157,-0.022072672246964187,2.999999999999999,1.7320508075688779,1
main,0.1,11,1.0,1,7,-0.0960431570794088,-0.061896827170640045,0.5000000000000002,0.8660254037844387,1
main,0.1,11,1.0,1,8,-0.052585587954625757,-0.07294751745608907,1.5000000000000915,0.8660254037845208,1
main,0.1,11,1.0,1,9,-0.11726237486527502,-0.020852504673540606,2.4999999999999996,0.8660254037844387,1
main,0.1,11,1.0,1,10,-0.0780339140392785,-0.045762304446523516,3.499999999999998,0.8660254037844625,1
main,0.1,11,1.0,1,12,-0.06902183322744193,-0.02073700604215401,1.0,-3.469446951953614e-18,1
main,0.1,11,1.0,1,13,0.03574942833403205,0.0029619656785569697,1.9999999999999998,1.0495077029659683e-16,1
main,0.1,11,1.0,1,14,-0.04121636422576902,0.0414483774283776,2.9999999999999996,-1.734723475976807e-16,1
