receiver_id,emitter_id,alpha_01_deg,alpha_0U_deg,alpha_1U_deg
2,3,70.0,70.0,140.0
2,4,70.0,50.00000000000001,120.00000000000001
2,5,70.0,30.000000000000004,100.00000000000001
2,6,70.0,9.999999999999975,80.0
2,7,70.0,9.999999999999975,60.00000000000002
2,8,70.0,29.999999999999996,40.00000000000001
2,9,70.0,50.0,19.999999999999993
3,2,50.00000000000001,70.0,19.999999999999993
3,4,50.00000000000001,70.00000000000001,120.00000000000001
3,5,50.00000000000001,50.00000000000001,100.00000000000001
3,6,50.00000000000001,29.999999999999996,80.0
3,7,50.00000000000001,9.999999999999975,60.00000000000002
3,8,50.00000000000001,9.999999999999975,40.00000000000001
3,9,50.00000000000001,30.000000000000004,20.00000000000001
4,2,29.999999999999996,50.00000000000001,19.999999999999993
4,3,29.999999999999996,70.0,39.99999999999999
4,5,29.999999999999996,70.0,100.0
4,6,29.999999999999996,50.0,80.0
4,7,29.999999999999996,30.000000000000004,60.00000000000001
4,8,29.999999999999996,9.999999999999975,40.000000000000014
4,9,29.999999999999996,9.999999999999975,19.999999999999975
5,2,9.999999999999975,29.999999999999996,20.00000000000001
5,3,9.999999999999975,50.00000000000001,40.00000000000001
5,4,9.999999999999975,70.00000000000001,59.99999999999999
5,6,9.999999999999975,70.0,80.00000000000001
5,7,9.999999999999975,50.00000000000001,60.00000000000002
5,8,9.999999999999975,30.000000000000004,40.00000000000002
5,9,9.999999999999975,9.999999999999975,20.000000000000032
6,2,9.999999999999975,9.999999999999975,19.999999999999993
6,3,9.999999999999975,29.999999999999996,39.99999999999999
6,4,9.999999999999975,50.0,59.99999999999999
6,5,9.999999999999975,70.0,79.99999999999999
6,7,9.999999999999975,70.00000000000001,60.00000000000001
6,8,9.999999999999975,50.000000000000014,40.00000000000002
6,9,9.999999999999975,30.000000000000004,19.999999999999975
7,2,29.999999999999996,9.99999999999994,20.000000000000032
7,3,29.999999999999996,9.999999999999975,40.00000000000001
7,4,29.999999999999996,29.999999999999996,60.00000000000001
7,5,29.999999999999996,50.00000000000001,80.0
7,6,29.999999999999996,70.00000000000003,100.00000000000001
7,8,29.999999999999996,70.0,40.00000000000002
7,9,29.999999999999996,49.99999999999998,20.00000000000001
8,2,49.99999999999998,29.999999999999996,19.999999999999954
8,3,49.99999999999998,9.999999999999975,40.00000000000001
8,4,49.99999999999998,9.999999999999975,59.99999999999999
8,5,49.99999999999998,29.999999999999996,79.99999999999999
8,6,49.99999999999998,50.00000000000001,100.0
8,7,49.99999999999998,69.99999999999999,119.99999999999999
8,9,49.99999999999998,70.0,19.999999999999954
9,2,70.0,50.0,20.00000000000001
9,3,70.0,30.000000000000004,40.00000000000001
9,4,70.0,9.999999999999975,59.99999999999999
9,5,70.0,9.999999999999975,80.0
9,6,70.0,30.000000000000004,100.0
9,7,70.0,49.99999999999999,119.99999999999999
9,8,70.0,70.0,140.00000000000003
