epoch,slot,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,12.01113974324003,7.414802070024728,12.000000000000014,0.2799999999999826,0.45999999999999375
1,28,2.153026662780537,1.373278203484279,1.2865381319191442,1.1563720776913935,1.156372077691394
2,56,0.21439246190352843,0.12485421036998726,0.10941658455604397,0.11540813296382943,0.11540813296385721
3,84,0.014875595409527872,0.008001748047112418,0.006587353472937707,0.008008969195172199,0.008008969195167026
4,112,0.0010203257621545874,0.0004919634068497326,0.00037596764470038124,0.0005492810434376222,0.0005492810434546413
5,140,7.264420357026372e-05,3.742634705563304e-05,2.4853555260051508e-05,3.9110328532663046e-05,3.911032852244034e-05
6,168,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
7,196,5.180445604679123e-05,2.757656521548579e-05,2.4791094546117165e-05,2.807128644256536e-05,2.807128644377599e-05
