slot,receiver_id,transmitters,angle_0_rad,angle_1_rad,angle_2_rad,angle_3_rad,angle_4_rad,angle_5_rad
1,4,0-1-2-3,0.5116286301664975,0.8343917055336777,1.3152525659582543,0.3227630753671805,0.803623935791757,0.4808608604245765
1,5,0-1-2-3,0.1775484615125849,0.525693170700692,0.9554941507230457,0.3481447091881078,0.7779456892104615,0.4298009800223535
1,6,0-1-2-3,0.16422378773074356,0.16391607755236626,0.5257804371632917,0.3281398652831116,0.6900042248940363,0.3618643596109245
1,7,0-1-2-3,0.5101089890173605,0.16820026749330033,0.1814832048929182,0.3419087215240608,0.6915921939102793,0.3496834723862188
1,8,0-1-2-3,0.8862218167026121,0.5242096408364972,0.18591446018965915,0.36201217586611534,0.7003073565129524,0.3382951806468381
1,9,0-1-2-3,1.06873020324995,0.7946993963764577,0.5242096408364968,0.2740308068734929,0.5445205624134534,0.27048975553996074
2,3,0-1-2-4,0.8037257068066666,1.0401414529277548,1.216694953205137,0.2364157461210884,2.0204206600118035,2.256836406132892
2,5,0-1-2-4,0.1781724615671857,0.5162123266010465,1.2949109904228904,0.3380398650338603,1.1167385288557046,0.7786986638218438
2,6,0-1-2-4,0.16910582711156916,0.160794622716749,0.8444246929968495,0.32990044982831757,1.013530520108419,0.6836300702801014
2,7,0-1-2-4,0.5167010448044678,0.1730862436274933,0.5140351232679332,0.34361480117697496,1.0307361680724003,0.6871213668954255
2,8,0-1-2-4,0.8793268395695444,0.5181042364664856,0.16798118814289978,0.3612226031030585,1.0473080277124431,0.6860854246093843
2,9,0-1-2-4,1.1182101917015952,0.8061609220002435,0.18166172677582154,0.3120492697013516,0.9365484649257739,0.6244991952244225
3,3,0-1-2-5,0.8356813401632639,1.086319465873069,0.8459696621753177,0.25063812570980515,1.6816510023385818,1.9322891280483867
3,4,0-1-2-5,0.5144876581024851,0.8216040060956777,1.155711539251589,0.3071163479931931,1.670199197354074,1.9773155453472668
3,6,0-1-2-5,0.1717111408421316,0.16224797192604132,1.176334297788092,0.33395911276817125,1.3480454386302227,1.0140863258620514
3,7,0-1-2-5,0.5201156565752538,0.17368442555971716,0.8781666404243861,0.346431231015535,1.3982822969996398,1.0518510659841047
3,8,0-1-2-5,0.8759254692542983,0.5148030985328345,0.5450399145262018,0.3611223707214635,1.4209653837805003,1.0598430130590362
3,9,0-1-2-5,1.1651799848791669,0.8227093801156842,0.19290474956839598,0.3424706047634821,1.358084734447563,1.0156141296840804
4,3,0-1-2-6,0.8743409215593317,1.1555317674097492,0.4955997344724024,0.28119084585041754,1.3699406560317342,1.6511315018821515
4,4,0-1-2-6,0.531258975093756,0.8464526188014799,0.838078164235944,0.3151936437077234,1.3693371393297002,1.684530783037424
4,5,0-1-2-6,0.17639908488047584,0.5093081170799589,1.223748710620964,0.3329090321994842,1.400147795501438,1.7330568277009228
4,7,0-1-2-6,0.5218220158935939,0.17560110749165103,1.2710098784996453,0.3462209084019422,1.792831894393239,1.4466109859912968
4,8,0-1-2-6,0.8742547666759867,0.5172937038092167,0.9193122674488922,0.3569610628667703,1.7935670341248786,1.4366059712581083
4,9,0-1-2-6,1.1927434281326228,0.8406237290348686,0.5556366021629999,0.3521196990977544,1.7483800302956225,1.3962603311978685
5,3,0-1-2-7,0.8856231233991583,1.1918411891741958,0.142155983109157,0.3062180657750378,1.027779106508317,1.3339971722833546
5,4,0-1-2-7,0.5367153960236276,0.8600190514704383,0.48555800115093495,0.32330365544681144,1.0222733971745623,1.345577052621373
5,5,0-1-2-7,0.1826865253617227,0.5161514755545981,0.8424511076009195,0.3334649501928741,1.0251376329626432,1.358602583155518
5,6,0-1-2-7,0.17307732661512362,0.16363495734355138,1.1825560185673423,0.33671228395867536,1.009478691952219,1.346190975910894
5,8,0-1-2-7,0.8730651644057486,0.5221092561355737,1.2574348255180534,0.3509559082701752,2.130499989923802,1.7795440816536268
5,9,0-1-2-7,1.2062768771249672,0.8551414849568164,0.896412831516164,0.35113539216815093,2.102689708641131,1.7515543164729799
6,3,0-1-2-8,0.8832575816838277,1.2077521324894345,0.2006797309623335,0.3244945508056064,0.6825778507214929,1.0070724015270998
6,4,0-1-2-8,0.534189904597832,0.8669864268030396,0.14515095993546376,0.3327965222052073,0.6793408645332972,1.0121373867385048
6,5,0-1-2-8,0.18220027805547132,0.5199589492225085,0.4963783591805507,0.3377586711670369,0.6785786372360221,1.0163373084030594
6,6,0-1-2-8,0.1705966868461212,0.16892040357491278,0.8439158706104274,0.3395170904210342,0.6733191837643051,1.0128362741853392
6,7,0-1-2-8,0.5226226645555654,0.17907384389725287,1.195647494006508,0.3435488206583112,0.6730248294509424,1.0165736501092542
6,9,0-1-2-8,1.2130831216041094,0.8639184327564177,1.2343458039435715,0.34916468884769164,2.4474289255476807,2.0982642366999893
7,3,0-1-2-9,0.8772606425619001,1.214019962807153,0.5472977584517709,0.3367593202452531,0.32996288411012936,0.6667222043553822
7,4,0-1-2-9,0.528906202694906,0.8700269808685588,0.1989948413949564,0.34112077817365266,0.32991136129994936,0.6710321394736024
7,5,0-1-2-9,0.17862480571625095,0.5219380037871507,0.15157700311991226,0.34331319807089966,0.33020180883616307,0.6735150069070629
7,6,0-1-2-9,0.17218629706806035,0.1717086277943017,0.5017964089901569,0.3438949248623625,0.3296101119220954,0.6735050367844583
7,7,0-1-2-9,0.5227263190620809,0.17688454962565062,0.8534691698866905,0.3458417694364293,0.33074285082460947,0.676584620261039
7,8,0-1-2-9,0.8726491540544802,0.524439731899567,1.206579908192762,0.3482094221549134,0.3339307541382818,0.6821401762931953
8,2,0-1-3-4,1.248527870864408,1.1852822566395202,0.8507757098149182,2.4338101275039286,2.0993035806793263,0.3345065468246022
8,5,0-1-3-4,0.1726392343853045,0.8893380089413279,1.2197754259736395,0.7166987745560239,1.0471361915883357,0.3304374170323118
8,6,0-1-3-4,0.17667386395099485,0.5376698024049158,0.8669444593828841,0.7143436663559103,1.0436183233338787,0.32927465697796837
8,7,0-1-3-4,0.5258436451613303,0.18809897754076593,0.5180955467112424,0.7139426227020962,1.0439391918725722,0.32999656917047643
8,8,0-1-3-4,0.8745578787696497,0.16077596191920393,0.16984342138897485,0.7137819168504475,1.0444013001586248,0.33061938330817764
8,9,0-1-3-4,1.2169343063478513,0.5070219662708882,0.17642962627379058,0.7099123400769631,1.0405046800740618,0.33059233999709897
9,2,0-1-3-5,1.2334766786207672,1.202989070288242,0.5344614823599935,2.436465748909009,1.7679381609807612,0.6685275879282481
9,4,0-1-3-5,0.5214588229577812,1.2391272147030785,1.2409539222832648,0.7176683917452971,1.7624127452410463,2.4800811369863434
9,6,0-1-3-5,0.17559656778949057,0.539762248271735,1.1999985935020434,0.7153588160612246,1.3755951612915331,0.6602363452303085
9,7,0-1-3-5,0.524726509876058,0.19027853315876042,0.85204829019688,0.7150050430348183,1.3767748000729376,0.6617697570381195
9,8,0-1-3-5,0.873655346951987,0.1588255976921159,0.5038138963126629,0.7148297492598713,1.3774692432646498,0.6626394940047782
9,9,0-1-3-5,1.2195632517234303,0.5066104079364369,0.1561538082746664,0.7129528437869936,1.3757170599980961,0.6627642162111027
10,2,0-1-3-6,1.2267807197819622,1.2121692025768558,0.20072965795170766,2.4389499223588182,1.42751037773367,1.0114395446251485
10,4,0-1-3-6,0.5199801265566157,1.2298602849422342,0.8929608267864954,0.7098801583856187,1.4129409533431108,2.1228211117287294
10,5,0-1-3-6,0.1736008963290677,0.8902961628674957,1.241715295547804,0.7166952665384291,1.4153161918768706,2.1320114584152994
10,7,0-1-3-6,0.5241480925786446,0.19514044200800265,1.2026873141476604,0.7192885345866473,1.726835406726305,1.0075468721396577
10,8,0-1-3-6,0.8731575849767167,0.15287150718383083,0.8537577000858182,0.7202860777928856,1.7269152850625344,1.0066292072696494
10,9,0-1-3-6,1.2209356214571927,0.5000897763559522,0.5051639109316366,0.7208458451012404,1.7260995323888295,1.005253687287589
11,2,0-1-3-7,1.2238436208316028,1.2168854959053643,0.1441547548757771,2.4407291167369674,1.0796888659558268,1.3610402507811405
11,4,0-1-3-7,0.5236393501043102,1.2246950164724562,0.5366514308288811,0.7010556663681462,1.0602907809331914,1.7613464473013374
11,5,0-1-3-7,0.16972163064159745,0.8812762827877731,0.8878365012719835,0.7115546521461749,1.0575581319135816,1.7691127840597565
11,6,0-1-3-7,0.17505895227325782,0.5431292377286084,1.2347457841315408,0.7181881900018664,1.059686831858283,1.7778750218601491
11,8,0-1-3-7,0.8728635420896118,0.148613005058943,1.2087999512979621,0.7242505370306694,2.081663493387574,1.3574129563569046
11,9,0-1-3-7,1.2212583236041574,0.4941662811698593,0.8598758471213546,0.727092042434298,2.081134170725512,1.3540421282912138
12,2,0-1-3-8,1.2225811943255305,1.2192890903256468,0.4948445617682769,2.4418702846511775,0.7277366325572538,1.7141336520939237
12,4,0-1-3-8,0.5273508928364542,1.2222204099833995,0.18071738634635773,0.6948695171469456,0.7080682791828111,1.4029377963297567
12,5,0-1-3-8,0.17048093511242138,0.8766627481959999,0.5334421784556517,0.7061818130835787,0.7039231135680731,1.4101049266516519
12,6,0-1-3-8,0.1809714856988383,0.5333880338706004,0.8837520763484037,0.7143595195694378,0.7027805906495667,1.417140110219004
12,7,0-1-3-8,0.5238636347213667,0.1975978589544906,1.2294025272482565,0.7214614936758579,0.7055388925268897,1.4270003862027474
12,9,0-1-3-8,1.2213798150224195,0.4907187579054161,1.214096002825152,0.7306610571170039,2.4354758178475717,1.704814760730568
13,2,0-1-3-9,1.2220533741246915,1.2205060912202415,0.8497068578852986,2.442559465344933,0.37234651623939263,2.07021294910554
13,4,0-1-3-9,0.5295862340909719,1.2214287674763105,0.17278004478863587,0.6918425333853386,0.35680618930233654,1.0486487226876748
13,5,0-1-3-9,0.1724417513190529,0.8743574569142214,0.1811022201567207,0.7019157055951686,0.3535439714757734,1.055459677070942
13,6,0-1-3-9,0.18136103209147347,0.5284487133737296,0.533321435321242,0.7098097454652028,0.35196040322976885,1.0617701486949718
13,7,0-1-3-9,0.5311446783245782,0.18621822248144673,0.8827643197971219,0.7173629008060255,0.35161964147254327,1.068982542278569
13,8,0-1-3-9,0.8727415566735424,0.14683531308705278,1.2268627395536615,0.7259062435864898,0.35412118288011984,1.0800274264666092
14,2,0-1-4-5,1.2218411382703338,0.9125107880192304,0.5640796417727165,2.134351926289564,1.7859207800430499,0.3484311462465136
14,3,0-1-4-5,0.8687170847424557,1.270994030059828,0.9172339467217197,2.1397111148022834,1.7859510314641753,0.3537600833381078
14,6,0-1-4-5,0.1790377928028146,0.8469017095091806,1.2000706844170743,1.0259395023119955,1.3791084772198894,0.3531689749078939
14,7,0-1-4-5,0.5308455954700082,0.5009198945510521,0.8534532837881784,1.0317654900210598,1.384298879258186,0.3525333892371267
14,8,0-1-4-5,0.8793754139226518,0.1591143768473981,0.510774794100067,1.0384897907700497,1.3901502080227186,0.35166041725266906
14,9,0-1-4-5,1.221501395802293,0.1715147042890412,0.1789579372669356,1.049986691513252,1.4004593330692283,0.3504726415559759
15,2,0-1-4-6,1.2225717722734295,0.8924428008555763,0.19168367780861942,2.115014573129006,1.4142554500820488,0.700759123046957
15,3,0-1-4-6,0.8708659394752069,1.2454820718033879,0.5429941838727634,2.1163480112785953,1.4138601233479706,0.7024878879306242
15,5,0-1-4-6,0.17464449216673253,1.194431271945244,1.2257730512204996,1.0197867797785112,1.4004175433872323,2.420204323165744
15,7,0-1-4-6,0.5272467472230902,0.5083633651231884,1.218947712291045,1.035610112346279,1.7461944595141357,0.7105843471678566
15,8,0-1-4-6,0.8760438190468045,0.1647843567075371,0.8727492380248622,1.0408281757543416,1.7487930570716668,0.7079648813173252
15,9,0-1-4-6,1.2216282946542227,0.17345493318744812,0.5318556925368256,1.0481733614667759,1.7534839871910484,0.7053106257242729
16,2,0-1-4-7,1.222444755874836,0.882536546629326,0.1691115916811513,2.104981302504162,1.0533331641936847,1.0516481383104774
16,3,0-1-4-7,0.8718349293436496,1.2333150884733586,0.1819108516158869,2.1051500178170084,1.0537457809595374,1.051404236857471
16,5,0-1-4-7,0.18315224867835592,1.2078372511767275,0.8653937036988394,1.0246850024983731,1.0485459523771936,2.0732309548755663
16,6,0-1-4-7,0.17679571953942425,0.8530824192234445,1.2204020576445562,1.029878138762868,1.0436063381051326,2.0734844768680007
16,8,0-1-4-7,0.8743577653168566,0.16547507700114436,1.2257746793724766,1.0398328423180008,2.1001324446893332,1.0602996023713327
16,9,0-1-4-7,1.2216249910444605,0.17660609614336956,0.8805864865270162,1.0450188949010923,2.1022114775714766,1.0571925826703845
17,2,0-1-4-8,1.2222075740422045,0.8776051083484655,0.5243607030886279,2.0998126823906698,0.6978468709535766,1.4019658114370932
17,3,0-1-4-8,0.8722799509166096,1.227411695164566,0.17360764461460895,2.0996916460811756,0.6986723063020014,1.401019339779174
17,5,0-1-4-8,0.18320789035050686,1.2149923301107255,0.5142165084655059,1.0317844397602185,0.697424398816013,1.7292088385762314
17,6,0-1-4-8,0.17049294326126196,0.8627653723387386,0.8658530726911345,1.0332583156000001,0.6953601294298732,1.728618445029873
17,7,0-1-4-8,0.5254333448179871,0.5100096414441444,1.2184978953039953,1.0354429862621315,0.6930645504860085,1.72850753674814
17,9,0-1-4-8,1.2215964733797229,0.17915594305842483,1.228230903743789,1.0424405303212982,2.449827377123512,1.4073868468022137
18,2,0-1-4-9,1.2220220895492269,0.8751401991004754,0.8772706926394519,2.0971622886497023,0.34475139690977513,1.752410891739927
18,3,0-1-4-9,0.8724861131988662,1.2245237824172066,0.5269346717449337,2.0970098956160728,0.34555144145393285,1.7514584541621399
18,5,0-1-4-9,0.1803028427716592,1.2184932075144004,0.16542910024745444,1.0381903647427413,0.3457319430191129,1.3839223077618543
18,6,0-1-4-9,0.17031517831375184,0.8677575733504573,0.5155957649350295,1.038072751664208,0.3452805866212781,1.3833533382854868
18,7,0-1-4-9,0.5214818373746698,0.5167464364401354,0.8661741213797917,1.0382282738148052,0.3446922840051217,1.3829205578199273
18,8,0-1-4-9,0.8735088003286312,0.16533217594668412,1.2172678770989782,1.038840976275317,0.3437590767703473,1.3826000530456641
19,2,0-1-5-6,1.221901106731075,0.526488866254322,0.1821188348651615,1.7483899729853967,1.404019941596236,0.34437003138916117
19,3,0-1-5-6,0.8725819110259808,0.8762551913706768,0.5321657192948784,1.7488371023966574,1.4047476303208593,0.3440894720757983
19,4,0-1-5-6,0.5303548106773311,1.2198230366469207,0.8756104398748688,1.750177847324252,1.4059652505521998,0.3442125967720522
19,7,0-1-5-6,0.5223988323117783,0.867365258135263,1.2116008772233648,1.389764090447041,1.733999709535143,0.3442356190881024
19,8,0-1-5-6,0.8720554546107435,0.5171519552486884,0.8614913901621332,1.3892074098594318,1.7335468447728763,0.3443394349134443
19,9,0-1-5-6,1.2216054423535816,0.16671045629007816,0.5111642979893583,1.3883158986436608,1.7327697403429396,0.3444538416992792
20,2,0-1-5-7,1.2218411352206715,0.5250502123619019,0.16714985799287602,1.7468913475825734,1.0546912772277957,0.6922000703547779
20,3,0-1-5-7,0.8726334975612894,0.8744514185006161,0.18254679791539233,1.7470849160619057,1.0551802954766818,0.6919046205852237
20,4,0-1-5-7,0.52694760034449,1.220704621938467,0.5288115375133828,1.7476522222829571,1.0557591378578732,0.6918930844250843
20,6,0-1-5-7,0.17287833052546459,1.2174413756846802,1.2268533619230748,1.3903197062101453,1.0539750313976097,2.444294737607755
20,8,0-1-5-7,0.8723392172035602,0.5212318496281053,1.2148012245849156,1.3935710668316652,2.087140441788476,0.6935693749568106
20,9,0-1-5-7,1.2216065486422898,0.17215938224486524,0.8651235553856931,1.3937659308871553,2.086730104027983,0.6929641731408277
21,2,0-1-5-8,1.2217976330453693,0.5243278902376246,0.5164872635954704,1.746125523282994,0.7053103694498993,1.0408151538330948
21,3,0-1-5-8,0.8726539105539658,0.8735543278381912,0.16724773008185304,1.7462082383921569,0.7054061804721126,1.0408020579200443
21,4,0-1-5-8,0.5252594743001715,1.2211781401752853,0.18023526903264978,1.7464376144754568,0.7054947433328213,1.0409428711426356
21,6,0-1-5-8,0.1705021713953732,1.219530961557745,0.8742128558600345,1.3900331329531186,0.7037106844646607,2.0937438174177796
21,7,0-1-5-8,0.5229987547067216,0.8698074648771307,1.2255439417087652,1.392806219583852,0.702545187002044,2.095351406585896
21,9,0-1-5-8,1.2216176146422753,0.1749430296531409,1.2170526872735525,1.3965606442954162,2.438670301915828,1.0421096576204116
22,2,0-1-5-9,1.2217697768500888,0.5239650776577457,0.8659203934154515,1.7457348545078346,0.3558493834346373,1.389885471073197
22,3,0-1-5-9,0.8726616187085922,0.8731077536560442,0.5172135297666743,1.7457693723646361,0.35544808894191826,1.3903212834227183
22,4,0-1-5-9,0.5244224939262622,1.2214341040245953,0.16923624602923934,1.7458565979508576,0.3551862478970234,1.3906703500538344
22,6,0-1-5-9,0.16963840389635423,1.2206201184701861,0.523545566379772,1.3902585223665402,0.353907162483418,1.744165684849958
22,7,0-1-5-9,0.5213501887100774,0.8712172344308671,0.8744579900042808,1.3925674231409444,0.35310780129420316,1.7456752244351479
22,8,0-1-5-9,0.8724943552077747,0.5227047956414258,1.2251112599876728,1.3951991508492003,0.35261690477989865,1.7478160556290985
23,2,0-1-6-7,1.2217529513663639,0.1830057291268974,0.16576610060839156,1.4047586804932626,1.0559868507579717,0.34877182973529053
23,3,0-1-6-7,0.8726642751489507,0.5328260495492017,0.184054910266024,1.4054903246981527,1.0567191854149751,0.3487711392831779
23,4,0-1-6-7,0.5240073814523474,0.8826045168659723,0.5335427870736892,1.4066118983183191,1.0575501685260364,0.3490617297922831
23,5,0-1-6-7,0.17644445025268143,1.2329558748051912,0.8823483352771382,1.4094003250578733,1.0587927855298203,0.35060753952805285
23,8,0-1-6-7,0.8713864178073435,0.8658397934386811,1.2160863595693783,1.7372262112460246,2.0874727773767217,0.3502465661306972
23,9,0-1-6-7,1.221649045577547,0.5185314588495161,0.8684111821706703,1.7401805044270628,2.090060227748217,0.349879723321154
24,2,0-1-6-8,1.221686094601625,0.17879161997776574,0.5185725872187636,1.4004777145793905,0.7031135073828615,0.6973642071965289
24,3,0-1-6-8,0.8726630407536556,0.5282168306982019,0.1690142327522602,1.4008798714518576,0.7036488080013952,0.6972310634504626
24,4,0-1-6-8,0.5238042737940537,0.8775849341271328,0.18026832539593926,1.4013892079211865,0.7040725991899927,0.6973166087311937
24,5,0-1-6-8,0.17548344911997676,1.2271618352398344,0.5290591328535389,1.4026452843598132,0.7045425819735176,0.6981027023862952
24,7,0-1-6-8,0.5204948970057893,1.214767487124338,1.2222877701503878,1.7352623841301271,0.701792873144599,2.437055257274726
24,9,0-1-6-8,1.2216446873041984,0.5203174519158326,1.2198990072746054,1.741962139220031,2.441543694578804,0.6995815553587732
25,2,0-1-6-9,1.2216689740455138,0.17667513159031206,0.86656855597196,1.3983441056358252,0.35510041807355364,1.0432436875622715
25,3,0-1-6-9,0.8726602309258907,0.5259138383445952,0.5173443334786153,1.398574069270486,0.35531589744727493,1.0432581718232106
25,4,0-1-6-9,0.5237019196278101,0.8751054412089826,0.16827297878451228,1.3988073608367924,0.35542894084329824,1.0433784199934943
25,5,0-1-6-9,0.17500611411971015,1.2243584829858822,0.18051746085500522,1.3993645971055908,0.35552357497471404,1.0438410221308771
25,7,0-1-6-9,0.5189213743085601,1.218250375891257,0.8734106440721665,1.737171750199817,0.3544892697636068,2.091661019963424
25,8,0-1-6-9,0.8720203137469318,0.8672980950260685,1.2253717860207827,1.7393184087730003,0.3533514722738513,2.0926698810468514
26,2,0-1-7-8,1.2216771734009313,0.1694346451456901,0.5184021230151176,1.0522425282552421,0.7032750503858137,0.3489674778694281
26,3,0-1-7-8,0.8726598828358269,0.18032294392873177,0.1685435433332333,1.0529828267645596,0.7041163395025946,0.34886648726196495
26,4,0-1-7-8,0.5236504948047901,0.5301137573310446,0.18116477178806362,1.0537642521358344,0.7048152665928531,0.3489489855429817
26,5,0-1-7-8,0.17476861596751198,0.8801830155400417,0.5308335683337657,1.0549516315075536,0.7056021843012775,0.34934944720627564
26,6,0-1-7-8,0.16959364160636312,1.22710606684632,0.8762242675798486,1.057512425239956,0.7066306259734842,0.350881799266472
26,9,0-1-7-8,1.2216740582753496,0.8673895081617762,1.217807827182813,2.089063566437126,2.439481885458163,0.35041831902103715
27,2,0-1-7-9,1.2215879518279078,0.1719649108791717,0.8672634998330222,1.049623040948737,0.3543244519948866,0.6952985889538513
27,3,0-1-7-9,0.872633850004934,0.17744606351104983,0.5178610441006244,1.0500799135159833,0.35477280590430954,0.6953071076116738
27,4,0-1-7-9,0.5236213983908627,0.5268597050419142,0.1685985008251563,1.0504811034327768,0.35502289756570626,0.6954582058670706
27,5,0-1-7-9,0.17465064016559945,0.8763788645496512,0.18057401298827852,1.0510295047152514,0.35522465315387924,0.6958048515613723
27,6,0-1-7-9,0.17207234023543422,1.2242421334972158,0.5274861899031528,1.0521697932617824,0.35541384966771944,0.6967559435940629
27,8,0-1-7-9,0.8698347675150735,1.2166865556790074,1.2235084125850606,2.0865213231940807,0.3536736450699867,2.440194968264068
28,2,0-1-8-9,1.2215965491554388,0.5197433552845144,0.8680499818277255,0.7018531938709244,0.35354656732771356,0.34830662654321115
28,3,0-1-8-9,0.8726329043544073,0.17000083501642174,0.5185176169575416,0.7026320693379854,0.3541152873968647,0.34851678194111996
