rho,seed,gain,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.0,ideal,1.0,1,2,3.141592653589793,1.85183122829771,1.289761425292083,3.141592653589793,1.85183122829771,1.289761425292083,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,3,1.85183122829771,3.141592653589793,1.289761425292083,1.85183122829771,3.141592653589793,1.289761425292083,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,4,3.141592653589793,1.5707963267948966,1.5707963267948968,3.141592653589793,1.5707963267948966,1.5707963267948968,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,5,2.2845207057396624,2.2845207057396624,1.7141438957002622,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,6,1.5707963267948966,3.141592653589793,1.5707963267948968,1.5707963267948966,3.141592653589793,1.5707963267948968,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,7,3.141592653589793,1.289761425292083,1.8518312282977105,3.141592653589793,1.289761425292083,1.8518312282977105,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,8,2.2845207057396624,1.714143895700262,2.2845207057396624,2.2845207057396624,1.714143895700262,2.2845207057396624,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,9,1.714143895700262,2.2845207057396624,2.2845207057396624,1.714143895700262,2.2845207057396624,2.2845207057396624,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,10,1.289761425292083,3.141592653589793,1.8518312282977105,1.289761425292083,3.141592653589793,1.8518312282977105,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,12,1.8518312282977103,1.289761425292083,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,13,1.5707963267948966,1.5707963267948966,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,1.0,1,14,1.289761425292083,1.8518312282977103,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,0.0,1,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,1,2,3.1256053294357184,1.8678332884977562,1.289746689246112,3.141592653589793,1.85183122829771,1.289761425292083,0.01600206020004613,1,3,1.5160123586952838,2.6020120808772553,4.440892098500626e-16,True,4,-0.016012358695283835,-0.003935869523939317,True,observe_and_move,
0.01,11,1.0,1,3,1.8411734094364403,3.1293691695364045,1.288195760099964,1.85183122829771,3.141592653589793,1.289761425292083,0.012223484053388578,1,3,2.5094491417574796,2.6000819072877053,2.220446049250313e-16,True,4,-0.009449141757479573,-0.002005695934389262,True,observe_and_move,
0.01,11,1.0,1,4,3.135365891272322,1.5771065671339364,1.5707128487733282,3.141592653589793,1.5707963267948966,1.5707963267948968,0.006310240339039819,1,3,1.0108899845787394,1.7384596256672777,0.0,True,4,-0.010889984578739353,-0.006408818098400548,True,observe_and_move,
0.01,11,1.0,1,5,2.2731091872008498,2.2936381899284686,1.7164379300502681,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.011411518538812615,1,3,2.0124667736376707,1.7280017854716045,0.0,True,4,-0.01246677363767068,0.004049022097272648,True,observe_and_move,
0.01,11,1.0,1,6,1.56092476257492,3.1254923684589144,1.5645676058839941,1.5707963267948966,3.141592653589793,1.5707963267948968,0.01610028513087869,1,3,3.0171579012433862,1.7345333840156607,4.440892098500626e-16,True,4,-0.01715790124338623,-0.002482576446783513,True,observe_and_move,
0.01,11,1.0,1,7,3.1349475247617833,1.293771841601672,1.8544659408161313,3.141592653589793,1.289761425292083,1.8518312282977105,0.0066451288280098275,1,3,0.5094363940994261,0.8723346432167448,2.220446049250313e-16,True,4,-0.009436394099426093,-0.006309239432306435,True,observe_and_move,
0.01,11,1.0,1,8,2.285331282680203,1.7187709810892722,2.279083043410111,2.2845207057396624,1.714143895700262,2.2845207057396624,0.0054376623295513404,1,3,1.505101171298143,0.8733595053654055,4.440892098500626e-16,True,4,-0.005101171298143026,-0.007334101580967145,True,observe_and_move,
0.01,11,1.0,1,9,1.7090476789552311,2.293502349466465,2.2806352787578907,1.714143895700262,2.2845207057396624,2.2845207057396624,0.008981643726802435,1,3,2.5116129067357824,0.8682932048119704,4.440892098500626e-16,True,4,-0.011612906735782413,-0.0022678010275319904,True,observe_and_move,
0.01,11,1.0,1,10,1.2875123704502356,3.1296152035436324,1.8421028330933966,1.289761425292083,3.141592653589793,1.8518312282977105,0.011977450046160687,1,3,3.5076745446503033,0.8707017996568146,2.220446049250313e-16,True,4,-0.007674544650303261,-0.004676395872376227,True,observe_and_move,
