panel,drone_id,x_d,y_d,error_d
initial,1,2.12156127305323,3.41717095092679,0.130305910647233
initial,2,1.57465705924521,2.47858131470789,0.140899633851353
initial,3,2.58918316741355,2.4569138830123,0.166974370166716
initial,4,1.08905937608156,1.73167840737593,0.0890601546705387
initial,5,2.08346766571322,1.71160562453099,0.0859351891198619
initial,6,3.06031864657863,1.63591567427914,0.113491422485199
initial,7,0.524137960408136,0.915368941298583,0.0549311007269521
initial,8,1.5096897683138,0.826207861997595,0.0409796076594459
initial,9,2.50138163221228,0.788120109756656,0.0779175445270525
initial,10,3.51395418427803,0.787087872947472,0.0801614186095917
initial,11,0,0,0
initial,12,0.986027416868664,-0.0119558080677783,0.0183895194585295
initial,13,1.95726655490569,-0.0405547205447876,0.0589137733309811
initial,14,3.0473866274939,-0.100174689547605,0.110817240947446
initial,15,4,0,0
reference_locked,1,2.00379878978291,3.46263503188116,0.00407205970772599
reference_locked,2,1.57465705924521,2.47858131470789,0.140899633851353
reference_locked,3,2.58918316741355,2.4569138830123,0.166974370166716
reference_locked,4,1.08905937608156,1.73167840737593,0.0890601546705387
reference_locked,5,2.08346766571322,1.71160562453099,0.0859351891198619
reference_locked,6,3.06031864657863,1.63591567427914,0.113491422485199
reference_locked,7,0.524137960408136,0.915368941298583,0.0549311007269521
reference_locked,8,1.5096897683138,0.826207861997595,0.0409796076594459
reference_locked,9,2.50138163221228,0.788120109756656,0.0779175445270525
reference_locked,10,3.51395418427803,0.787087872947472,0.0801614186095917
reference_locked,11,0,0,0
reference_locked,12,0.986027416868664,-0.0119558080677783,0.0183895194585295
reference_locked,13,1.95726655490569,-0.0405547205447876,0.0589137733309811
reference_locked,14,3.0473866274939,-0.100174689547605,0.110817240947446
reference_locked,15,4,0,0
final,1,2.00379878978291,3.46263503188116,0.00407205970772599
final,2,1.50620885358595,2.59527659802808,0.00681085146090941
final,3,2.50393176874048,2.59522896800825,0.00485444127522832
final,4,1.00614326714602,1.73393982780873,0.00642714000889145
final,5,2.00517643166866,1.73139374250382,0.00521796697191652
final,6,3.00402425279479,1.72779414124239,0.00585779982343332
final,7,0.504240549524783,0.87192879859355,0.0072685851817522
final,8,1.50319072427667,0.86402671103536,0.00376503573886439
final,9,2.50234763525848,0.863150799906064,0.00371143351879555
final,10,3.5022224017458,0.861704182711954,0.00485922021285516
final,11,0,0,0
final,12,1.0019705064154,-0.00150740273095117,0.00248095919482638
final,13,2.00092959540622,-0.00253506494515587,0.0027001299775053
final,14,3.00480930615857,-0.00309258677208765,0.00571782464489186
final,15,4,0,0
