slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,0,,0,0,0.0,0.0,11.675841012498854,5.428427251994076,11.668610263894479,0.28711837730577794,0.5375844538616548
1,1,0-1-2-3,4,4,16.24702022786926,16.24702022786926,9.946489991733277,4.754272850961395,9.731470769428043,1.6545107378713027,1.65451073787127
2,1,0-1-2-4,4,8,12.069644011942021,28.31666423981128,9.946489991733277,5.377784852397574,9.731470769428043,2.287118377305781,2.45817741854065
3,1,0-1-2-5,4,12,11.875156306482504,40.19182054629378,8.054208271821693,4.998514768745596,6.340996409335389,3.6864066290081845,3.857465670243066
4,1,0-1-2-6,4,16,13.628968528396506,53.82078907469029,6.183223151314458,4.575421793975944,5.728062014359665,3.045811508647398,3.216870549882259
5,1,0-1-2-7,4,20,14.597984489747763,68.41877356443806,4.813617371099569,3.825898657688868,4.803904205975243,2.0345250403138158,1.7548463788233875
6,1,0-1-2-8,4,24,16.145793716301174,84.56456728073923,4.813617371099569,3.517417724731848,4.803904205975243,2.494076796094753,2.494076796094781
7,1,0-1-2-9,4,28,20.375013629060387,104.93958090979962,8.083706754230192,4.635051442134312,6.606928586301379,2.5849054943388032,2.494076796094781
8,1,0-1-3-4,4,32,8.03408156522075,112.97366247502036,8.083706754230192,4.729571683605195,6.606928586301379,2.5849054943388032,2.3123618996218624
9,1,0-1-3-5,4,36,12.121647344636145,125.0953098196565,8.561456747713565,4.87399685642601,6.606928586301379,4.171059041234883,4.1710590412348765
10,1,0-1-3-6,4,40,9.573103173641252,134.66841299329775,10.485697369387795,5.096099388366728,6.606928586301379,5.44065853454015,5.440658534540148
11,1,0-1-3-7,4,44,7.151647159340904,141.82006015263866,11.483773064104138,5.200624805557333,6.606928586301379,6.085288383681987,6.085288383681998
12,1,0-1-3-8,4,48,6.721723145388708,148.54178329802738,11.976031219724197,5.217839812609476,6.606928586301379,6.4048304756636805,6.4048304756636725
13,1,0-1-3-9,4,52,8.937019108451093,157.47880240647848,12.210025552301314,5.297586506721059,6.606928586301379,6.559205987344053,6.559205987344065
14,1,0-1-4-5,4,56,11.43734886191708,168.91615126839557,8.321616011865295,3.871497207504827,4.646187417039769,4.559205987344076,4.559205987344065
15,1,0-1-4-6,4,60,7.670770536417039,176.58692180481262,5.41800939781999,3.2113532170087375,4.229789196287541,2.9720578119091345,2.9720578119091243
16,1,0-1-4-7,4,64,5.306712498801998,181.89363430361462,4.5624918594082855,3.0192380122375075,4.229789196287541,2.177930962957788,2.682420531009612
17,1,0-1-4-8,4,68,4.4264907368039665,186.3201250404186,4.451460603403749,3.0050725007926196,4.229789196287541,1.8261609769830625,2.604692154575467
18,1,0-1-4-9,4,72,3.829643874555213,190.1497689149738,4.451460603403749,3.0654161227568593,4.229789196287541,1.7808838631711386,2.559415040763568
19,1,0-1-5-6,4,76,7.922201521106186,198.07197043608,4.283687274299782,2.8046354016372423,3.7335668046502946,1.3993985765097086,1.1998074387032034
20,1,0-1-5-7,4,80,4.039089365235429,202.11105980131543,4.320730580203577,2.8635656150056015,3.7335668046502946,1.8592807389417694,1.592428120448922
21,1,0-1-5-8,4,84,2.8586714639379016,204.96973126525333,4.607747425416964,3.0080709534955847,3.7335668046502946,2.006450890993755,1.7854136543271935
22,1,0-1-5-9,4,88,2.200288585003905,207.17001985025723,4.831217351811041,3.13984838455137,3.7335668046502946,2.159173360897774,1.8800374027691191
23,1,0-1-6-7,4,92,7.742384903839101,214.91240475409634,4.831217351811041,2.9417014679713347,2.953241727493918,2.159173360897774,2.036017474671077
24,1,0-1-6-8,4,96,4.300197273474142,219.21260202757048,4.831217351811041,3.082476153187605,2.953241727493918,2.3232512009629285,2.1853203317654746
25,1,0-1-6-9,4,100,3.387410204158335,222.6000122317288,5.219865252998596,3.330946525545803,2.953241727493918,2.624951837015532,2.1853203317654746
26,1,0-1-7-8,4,104,8.890933063869618,231.49094529559844,5.219865252998596,3.4190133161281624,2.3995480368631235,2.624951837015532,2.415425760313177
27,1,0-1-7-9,4,108,5.126602775300344,236.61754807089878,5.219865252998596,3.717765218733265,2.5568818416570736,2.747092002988739,2.6964934431882597
28,1,0-1-8-9,4,112,12.504075254885027,249.12162332578382,6.472210495179653,4.257487756599666,4.099515904305491,3.5115383674833596,3.511538367483361
29,2,0-1-2-3,4,116,9.83928391084202,258.9609072366258,6.87268154329699,4.762805850709876,3.8442353741088624,3.6687713806927786,3.6687713806927746
30,2,0-1-2-4,4,120,9.854926867242163,268.815834103868,6.472210495179653,3.962457382941461,3.4066024139398507,3.5115383674833596,3.511538367483361
31,2,0-1-2-5,4,124,11.096595345570123,279.9124294494381,6.472210495179653,3.117567928764814,2.2792679914539917,3.5115383674833596,3.511538367483361
32,2,0-1-2-6,4,128,9.366075715966328,289.2785051654044,6.472210495179653,2.6515990856113554,2.2792679914539917,3.5115383674833596,3.511538367483361
33,2,0-1-2-7,4,132,8.444652343561868,297.72315750896627,6.472210495179653,2.6469034834922915,2.2792679914539917,3.5115383674833596,3.511538367483361
34,2,0-1-2-8,4,136,9.569795683478478,307.29295319244477,6.472210495179653,3.1662835050672604,2.425015111977416,3.5115383674833596,3.511538367483361
35,2,0-1-2-9,4,140,13.377168444133165,320.67012163657796,6.668998938200684,4.337522255569536,4.759675634388145,3.5115383674833596,3.511538367483361
