condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,final_below_1mm,joint_success_1cm,joint_success_1mm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,record_stays_1cm_after_first,first_1mm_slot,first_1mm_tx,sustained_1mm_from_slot,record_stays_1mm_after_first,max_position_error_m,rms_position_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds,gain,budget_exhausted,fit_failed,link_bias_std_deg,source_kind,source_dir,summary_path,cache_sha256,tail100_local_decisions,tail100_nominal_selected_matches,tail100_nominal_selected_match_rate,tail100_holding_count,tail100_radial_clip_count,tail100_angular_clip_count
exact,11.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,34.0,136.0,34.0,True,43.0,172.0,43.0,True,1.6016787144953401e-06,6.325574001734755e-07,86.0,344.0,51.52929064228969,0.0,13.330881791000138,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_011,appendix1/evaluation_560/exact/trial_011/summary.json,7fb58d4273c3be264752be6cff70d4990abca06df5cd223c7417cf64a6a3a91b,,,,,,
exact,12.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,1.6402269406365496e-06,6.490270397670992e-07,92.0,368.0,83.46733620417557,0.0,16.06829329199536,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_012,appendix1/evaluation_560/exact/trial_012/summary.json,f0a8443bc075c3b70808678c272fb504206b23c803b99ba72885deaa8cfc1020,,,,,,
exact,13.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,30.0,120.0,30.0,True,39.0,156.0,39.0,True,1.1284957722325135e-06,5.181698977528592e-07,82.0,328.0,45.03133487601544,0.0,6.66797287499503,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_013,appendix1/evaluation_560/exact/trial_013/summary.json,99b9f26ca0595eb268d3c6e5ddf3c865571e322cf41fed346c93cc79f32c9ecd,,,,,,
exact,14.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,1.7019485154044333e-06,6.744859684392697e-07,92.0,368.0,94.86743380974515,0.0,4.7455779160009115,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_014,appendix1/evaluation_560/exact/trial_014/summary.json,2a4bfa45370973f5d1136c550dd35815287584dc3890cfa863e2614444cb9564,,,,,,
exact,15.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,33.0,132.0,33.0,True,43.0,172.0,43.0,True,1.504693779325628e-06,5.969848757439044e-07,86.0,344.0,65.59918835684981,0.0,4.177787000000535,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_015,appendix1/evaluation_560/exact/trial_015/summary.json,6f1ceeda446702f194a765408d7eb48e1bcfab8d86bca544225b133d75b2475c,,,,,,
exact,16.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,35.0,140.0,35.0,True,45.0,180.0,45.0,True,1.5184028452609653e-06,6.076125288014844e-07,88.0,352.0,45.41704684112286,0.0,3.066197459003888,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_016,appendix1/evaluation_560/exact/trial_016/summary.json,8572ae6d4484b784d443ef3810bf99eecb3dcbaafc8ba0f6f510bcfefe06c05c,,,,,,
exact,17.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,38.0,152.0,38.0,True,47.0,188.0,47.0,True,1.7003319720376622e-06,6.734817165775413e-07,90.0,360.0,46.8015309686767,0.0,2.9209317919958266,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_017,appendix1/evaluation_560/exact/trial_017/summary.json,60f3b069eeae71d2f9dd12a29d904d6a83fd9b70bb06139fe3353f59816f5d76,,,,,,
exact,18.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,44.0,176.0,44.0,True,53.0,212.0,53.0,True,1.0986034473385701e-06,5.02883654851406e-07,96.0,384.0,103.7275658438993,0.0,3.079125208001642,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_018,appendix1/evaluation_560/exact/trial_018/summary.json,a205b9dd7e1768990fd25e8f214d0c5476a5fb0d7ee4671cf52dbe8e9994c445,,,,,,
exact,19.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,42.0,168.0,42.0,True,51.0,204.0,51.0,True,1.5847200300601748e-06,6.275141855066112e-07,94.0,376.0,81.88402395627173,0.0,2.816989666003792,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_019,appendix1/evaluation_560/exact/trial_019/summary.json,ff98d525639c23cab3a0410a54b730ff8f09cabd65fca7541702b841061aeaef,,,,,,
exact,20.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,42.0,168.0,42.0,True,51.0,204.0,51.0,True,1.647163485691653e-06,6.523114745477273e-07,94.0,376.0,75.7859334756233,0.0,2.821583916003874,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_020,appendix1/evaluation_560/exact/trial_020/summary.json,b2b87a7598ca5ad0bb635d9c12c03a8c1a3104b2c0ee9cd4828394d9f5349e3d,,,,,,
