2.001088731241150942e+00,3.468935273967298283e+00
1.495167316525118473e+00,2.596155278859695770e+00
2.502168396573744236e+00,2.600055497961138329e+00
9.907836194766591609e-01,1.733095641070416804e+00
2.005878804782178726e+00,1.727648364749126308e+00
3.006705137088905744e+00,1.732252805842354970e+00
4.947157934739136453e-01,8.732327668092654260e-01
1.504787521051438759e+00,8.639456942857303146e-01
2.507503029037240871e+00,8.621212267677671459e-01
3.506638276955793554e+00,8.643165795841855070e-01
0.000000000000000000e+00,0.000000000000000000e+00
1.001933242017813530e+00,4.071792616364759004e-03
2.005449213889462623e+00,-3.923906364892613963e-03
3.003761979854420616e+00,-6.742792868607450779e-03
4.000000000000000000e+00,0.000000000000000000e+00
