each_angle_bound_deg,linear_apex_bound_d,exact_apex_bound_d
0.01,0.0013962634015954637,0.001396685633694883
0.05,0.006981317007977318,0.0069918870163729885
0.1,0.013962634015954637,0.014004985292195293
