apex_position_budget_d,equal_angle_bound_rad,equal_angle_bound_deg,verified_exact_bound_d
0.002,0.00024989178847771934,0.014317744814749213,0.0019999999999993356
0.0048,0.00059937703726082,0.03434177457210047,0.0048000000000003595
0.005,0.0006243240681666234,0.03577113415438543,0.004999999999999449
0.01,0.0012472988704992749,0.07146496107104307,0.010000000000001119
