stage,round,measurement_slot_count,measurement_tx_count,relay_scalar_count,alpha_rad,beta_rad,c_hat_x,c_hat_y,c_hat_error_to_target_d,event,failure,calibration_delta_x,calibration_delta_y,calibration_action_applied,receiver_id,c_hat_x_used,c_hat_y_used,angle_error_to_target_rad,estimated_x,estimated_y,estimated_position_error_d,estimator_success,estimator_residual_rad,selected_indices,delta_x,delta_y,action_applied
dynamic_calibration,1,2,4,2,1.0151845911895643,1.0681790092401808,2.121561273053233,3.4171709509267933,0.13030591064723307,measure_current_reference,,-0.12156127305323317,0.04693066421096104,True,,,,,,,,,,,,,
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,2,2.121561273053233,3.4171709509267933,0.05075680349677847,1.5746570592452147,2.4785813147078866,0.1408996338513531,True,4.440892098500626e-16,1;2,-0.05599279443391103,0.08962117248407209,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,3,2.121561273053233,3.4171709509267933,0.06807624537511359,2.589183167413551,2.4569138830122954,0.16697437016671612,True,4.440892098500626e-16,0;2,-0.06688737556016311,0.10587174625576545,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,4,2.121561273053233,3.4171709509267933,0.02475085083356654,1.08905937608157,1.7316784073759424,0.08906015467054973,True,5.995204332975845e-15,1;2,-0.06679453206117758,0.0002793001447011223,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,5,2.121561273053233,3.4171709509267933,0.01074876626892629,2.0834676657133167,1.7116056245309395,0.0859351891199685,True,9.459100169806334e-14,1;2,-0.06260074928498749,0.015333887278453306,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,6,2.121561273053233,3.4171709509267933,0.0363591642501504,3.060318646578633,1.635915674279138,0.113491422485199,True,4.440892098500626e-16,0;2,-0.04523898493397471,0.07210134996730433,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,7,2.121561273053233,3.4171709509267933,0.04822793153049787,0.5241379604081365,0.9153689412985838,0.054931100726952904,True,4.440892098500626e-16,1;2,-0.018103470306102404,-0.03700765313560908,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,8,2.121561273053233,3.4171709509267933,0.054912717061416094,1.5096897683137978,0.8262078619975948,0.04097960765944588,True,0.0,1;2,-0.007267326235348315,0.0298631563401327,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,9,2.121561273053233,3.4171709509267933,0.08609600970679798,2.50138163221227,0.7881201097566288,0.07791754452707965,True,2.531308496145357e-14,0;2,-0.001036224159202459,0.05842897052085716,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,10,2.121561273053233,3.4171709509267933,0.0663073541000343,3.5139541842780297,0.7870878729474722,0.08016141860959175,True,4.440892098500626e-16,0;2,-0.01046563820852231,0.05920314812772465,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,12,2.121561273053233,3.4171709509267933,0.0427104982515476,0.9860274168686646,-0.011955808067777813,0.018389519458529097,True,4.440892098500626e-16,0;1,0.010479437348501569,0.00896685605083336,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,13,2.121561273053233,3.4171709509267933,0.06733010079995205,1.9572665549056893,-0.040554720544787294,0.058913773330981405,True,4.440892098500626e-16,0;1,0.03205008382073299,0.030416040408590472,True
